Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1988,2.42,2.11,2.08,2.52,1.48,26
1989,2.59,2.44,2.09,2.99,1.52,37
1990,3.15,2.72,2.44,2.8,1.6,17
1991,3.17,3.19,2.36,3.52,1.62,17
1992,3.09,3.49,2.22,3.18,1.55,22
1993,4.13,3.57,2.3,3.53,1.57,36
1994,5.41,3.8,2.12,4.57,1.33,41
1995,6.07,5.18,2.68,4.33,1.87,35
1996,4.9,4.43,2.11,4.52,1.24,41
1997,3.09,2.55,1.35,2.43,0.88,71
1998,1.48,1.57,0.98,1.56,0.62,81
1999,0.91,0.88,0.76,1.2,0.34,110
2000,0.95,0.93,0.83,1.28,0.46,156
2001,1.06,1.13,0.85,1.39,0.61,56
2002,0.85,1,0.87,1.23,0.62,33
2003,1.52,1.16,0.71,1.4,0.39,40
2004,1.27,1.31,0.87,1.34,0.53,67
2005,0.99,0.96,0.84,1.31,0.42,65
2006,1.07,0.94,0.85,1.38,0.41,84
2007,1.25,1.29,1.08,1.68,0.55,69
2008,0.84,0.83,0.63,1.05,0.38,66
2009,0.87,0.74,0.67,1.06,0.23,23
2010,0.95,0.8,0.54,0.94,0.16,49
2011,0.53,0.34,0.21,0.4,0.03,45
2012,0.28,0.22,0.17,0.28,0.02,57
2013,0.2,0.13,0.03,0.16,0,57
2014,0.08,0.06,0.01,0.08,0,80
2015,0.02,0.08,0,0,0,58
2016,0,0.01,0,0,0,66
