Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1988,2.42,2.11,2.08,2.52,1.48,26
1989,2.59,2.44,2.09,2.99,1.52,37
1990,3.15,2.72,2.44,2.8,1.6,17
1991,3.17,3.19,2.36,3.52,1.62,17
1992,3.09,3.49,2.22,3.18,1.55,22
1993,4.13,3.57,2.3,3.53,1.57,36
1994,5.41,3.8,2.12,4.57,1.33,41
1995,6.07,5.18,2.68,4.33,1.87,35
1996,4.9,4.43,2.11,4.52,1.24,41
1997,3.1,2.55,1.35,2.43,0.88,71
1998,1.48,1.57,0.98,1.56,0.62,81
1999,0.91,0.89,0.76,1.2,0.34,110
2000,0.96,0.94,0.84,1.28,0.46,156
2001,1.08,1.13,0.89,1.39,0.61,56
2002,0.86,1.01,0.87,1.23,0.62,33
2003,1.53,1.16,0.71,1.4,0.39,40
2004,1.29,1.32,0.88,1.34,0.53,67
2005,1.04,1,0.94,1.35,0.42,65
2006,1.11,0.99,0.91,1.45,0.42,84
2007,1.32,1.34,1.08,1.68,0.55,69
2008,0.87,0.85,0.7,1.22,0.38,66
2009,0.91,0.78,0.67,1.09,0.23,23
2010,1.09,0.9,0.56,1.05,0.16,49
2011,0.56,0.36,0.21,0.59,0.03,45
2012,0.32,0.25,0.19,0.36,0.06,57
2013,0.22,0.15,0.04,0.2,0,57
2014,0.1,0.08,0.01,0.11,0,80
2015,0.04,0.09,0,0,0,59
2016,0.01,0.01,0,0,0,66
