VINTAGE YEAR,POOLED RETURN,ARITHMETIC MEAN,MEDIAN,UPPER QUARTILE,LOWER QUARTILE,NUMBER OF FUNDS
1993,4.13,3.57,2.3,3.53,1.57,36
1994,5.41,3.8,2.12,4.57,1.33,41
1995,6.07,5.18,2.68,4.33,1.87,35
1996,4.96,4.52,2.19,4.57,1.33,40
1997,3.12,2.59,1.36,2.53,0.92,70
1998,1.49,1.57,0.98,1.56,0.62,81
1999,0.92,0.89,0.77,1.23,0.34,107
2000,0.98,0.96,0.87,1.39,0.5,153
2001,1.1,1.16,0.94,1.39,0.63,54
2002,0.88,1.02,0.87,1.32,0.62,33
2003,1.57,1.24,0.9,1.42,0.39,37
2004,1.33,1.35,0.95,1.34,0.55,67
2005,1.15,1.09,0.96,1.48,0.57,64
2006,1.18,1.08,1.03,1.55,0.5,79
2007,1.42,1.46,1.17,1.79,0.69,68
2008,0.96,0.93,0.74,1.32,0.41,66
2009,0.98,0.84,0.81,1.13,0.26,23
2010,1.2,0.99,0.62,1.29,0.22,49
2011,0.6,0.41,0.24,0.58,0.09,44
2012,0.43,0.32,0.25,0.42,0.09,55
2013,0.26,0.19,0.09,0.22,0,58
2014,0.13,0.1,0.05,0.17,0,81
2015,0.08,0.09,0,0.11,0,65
2016,0.01,0.01,0,0,0,68
