,,,,,,,Total Value to Paid In (TVPI),,,Distributions to Paid In (DPI),,
,,CA,S&P 500,,Russell 2000® Index,,CA,S&P 500,Russell 2000®,CA,S&P 500,Russell 2000®
Vintage Year,Number of  Funds,Benchmark,Index,,,,Benchmark,Index,Index,Benchmar,Index,Index
,,IRR,mPME IRR,Value-Add,mPME IRR,Value-Add,TVPI,mPME TVPI,mPME TVPI,DPI,mPME DPI,mPME DPI
1988,26,18.88,15.2,368,13.66,522,2.46,2.05,1.88,2.42,1.99,1.82
1989,37,19.16,16.65,251,14.34,483,2.59,2.28,1.97,2.59,2.28,1.97
1990,17,33.11,15.81,"1,730",15.48,"1,763",3.15,1.71,1.65,3.15,1.71,1.65
1991,17,27.89,18.76,913,15.04,"1,285",3.17,2.11,1.8,3.17,2.11,1.8
1992,22,32.6,20.45,"1,215",14.17,"1,843",3.09,1.94,1.59,3.09,1.94,1.58
1993,36,46.71,23.27,"2,344",14.33,"3,238",4.13,1.89,1.49,4.13,1.89,1.49
1994,41,59.31,22.01,"3,730",12.63,"4,668",5.41,1.79,1.43,5.41,1.79,1.43
1995,35,88.48,19.33,"6,915",10.1,"7,838",6.07,1.55,1.31,6.07,1.55,1.31
1996,41,100.83,12.06,"8,877",8.29,"9,254",4.91,1.37,1.31,4.9,1.35,1.29
1997,71,91.8,5.78,"8,602",7.32,"8,448",3.1,1.18,1.28,3.09,1.17,1.26
1998,81,11.88,1.61,"1,027",7.49,439,1.5,1.08,1.43,1.48,1.06,1.4
1999,110,-0.89,2.08,-296,6.79,-768,0.94,1.15,1.52,0.91,1.08,1.44
2000,156,0.73,5.25,-452,7.87,-714,1.05,1.46,1.72,0.95,1.24,1.48
2001,56,2.72,6.84,-412,8.46,-575,1.19,1.56,1.71,1.06,1.31,1.44
2002,33,-0.49,7.64,-813,8.59,-907,0.97,1.68,1.76,0.85,1.27,1.35
2003,40,9.18,7.08,210,7.52,166,1.74,1.54,1.58,1.52,1.32,1.36
2004,67,8.33,7.62,71,7.71,62,1.66,1.63,1.63,1.27,1.18,1.2
2005,65,7.14,9.4,-226,9.29,-214,1.54,1.8,1.77,0.99,1.07,1.08
2006,84,8.8,10.1,-130,10.02,-122,1.66,1.81,1.79,1.07,1.09,1.1
2007,69,15.41,12.18,323,11.97,344,2.06,1.8,1.77,1.25,1.03,1.03
2008,66,11.86,14.38,-252,13.48,-163,1.67,1.91,1.82,0.84,0.84,0.82
2009,23,15.37,14.59,78,13.28,209,1.88,1.84,1.74,0.87,0.81,0.78
2010,49,27.75,14.77,"1,299",13.04,"1,471",2.8,1.76,1.64,0.95,0.62,0.59
2011,45,19.67,14.59,508,12.67,700,1.96,1.65,1.55,0.53,0.45,0.43
2012,57,17.69,13.77,392,11.77,592,1.72,1.54,1.45,0.28,0.24,0.23
2013,57,19.31,13.6,570,11.6,770,1.51,1.34,1.29,0.2,0.18,0.17
2014,80,14.36,14.49,-14,13.21,115,1.3,1.3,1.27,0.08,0.08,0.08
2015,58,13.3,17.6,-431,16.31,-301,1.17,1.23,1.21,0.02,0.03,0.03
2016,66,2.18,21.41,"-1,923",18.12,"-1,594",1.01,1.15,1.12,0,0.01,0.01
,,,,,,,,,,,,
