Año,VC en operación,Rendimiento %,Volatilidad (%)
1996,40,31.34,7.55755913
1997,71,28.53,7.268692569
1998,81,171.01,28.61210161
1999,110,23.9,20.42379739
2000,156,-47.34,5.074580442
2001,56,-39.04,1.093648329
2002,33,-3.99,2.377062263
2003,40,14.53,3.369761366
2004,67,5.94,2.364522503
2005,65,16.42,3.804598095
2006,84,14.85,1.796392218
2007,69,-16.84,5.61267019
2008,66,2.83,2.550364353
2009,23,13.22,3.611117094
2010,49,12.78,3.490907236
2011,45,7.04,1.824445121
2012,57,26.3,4.427207547
2013,57,20.54,3.521462764
2014,80,12.41,3.168115896
2015,58,0.49,2.731817161
2016,66,10.65,0.897120393
,,,
,,,
