Years,Horizon Return (%),Rendimientos
1 Year,11.08,-0.503610108
2 Years,5.5,0.46
3 Years,8.03,0.448318804
4 Years,11.63,0.315563199
5 Years,15.3,-0.107843137
6 Years,13.65,-0.005860806
7 Years,13.57,0.002210759
8 Years,13.6,-0.097794118
9 Years,12.27,-0.263243684
10 Years,9.04,0.060840708
11 Years,9.59,0.059436913
12 Years,10.16,-0.027559055
13 Years,9.88,0.03340081
14 Years,10.21,-0.074436827
15 Years,9.45,-0.258201058
16 Years,7.01,-0.379457917
17 Years,4.35,0.23908046
18 Years,5.39,2.810760668
19 Years,20.54,0.11489776
20 Years,22.9,
,,0.185006304
,,18.50063044
