Quarter Ending,Year ,Horizon Return,RND,Years ,Annualized return,Annualized STD,
Q1,1997,-0.15,-96.33333333,1997,31.34,7.55755913,
Q2,1997,14.3,-0.001398601,,,,
Q3,1997,14.28,-0.796218487,,,,
Q4,1997,2.91,2.467353952,,,,
Q1,1998,10.09,-0.470763132,1998,28.53,7.268692569,
Q2,1998,5.34,-1.372659176,,,,
Q3,1998,-1.99,-8.582914573,,,,
Q4,1998,15.09,0.284294235,,,,
Q1,1999,19.38,0.993292054,1999,171.01,28.61210161,
Q2,1999,38.63,-0.24980585,,,,
Q3,1999,28.98,1.899240856,,,,
Q4,1999,84.02,-0.649607236,,,,
Q1,2000,29.44,-0.873980978,2000,23.9,20.42379739,
Q2,2000,3.71,1.889487871,,,,
Q3,2000,10.72,-2.862873134,,,,
Q4,2000,-19.97,-0.246369554,,,,
Q1,2001,-15.05,-0.519601329,2001,-47.34,5.074580442,
Q2,2001,-7.23,1.387275242,,,,
Q3,2001,-17.26,-0.548088065,,,,
Q4,2001,-7.8,0.065384615,,,,
Q1,2002,-8.31,0.3188929,2002,-39.04,1.093648329,
Q2,2002,-10.96,-0.090328467,,,,
Q3,2002,-9.97,-0.017051153,,,,
Q4,2002,-9.8,-0.57244898,,,,
Q1,2003,-4.19,-1.128878282,2003,-3.99,2.377062263,
Q2,2003,0.54,-3.592592593,,,,
Q3,2003,-1.4,-1.757142857,,,,
Q4,2003,1.06,0.509433962,,,,
Q1,2004,1.6,-1.025,2004,14.53,3.369761366,
Q2,2004,-0.04,-170.5,,,,
Q3,2004,6.78,-0.087020649,,,,
Q4,2004,6.19,-1.319870759,,,,
Q1,2005,-1.98,-2.186868687,2005,5.94,2.364522503,
Q2,2005,2.35,0.425531915,,,,
Q3,2005,3.35,-0.337313433,,,,
Q4,2005,2.22,0.621621622,,,,
Q1,2006,3.6,-0.713888889,2006,16.42,3.804598095,
Q2,2006,1.03,1.13592233,,,,
Q3,2006,2.2,3.359090909,,,,
Q4,2006,9.59,-0.743482795,,,,
Q1,2007,2.46,1.56504065,2007,14.85,1.796392218,
Q2,2007,6.31,-0.59429477,,,,
Q3,2007,2.56,0.375,,,,
Q4,2007,3.52,-1.53125,,,,
Q1,2008,-1.87,-1.128342246,2008,-16.84,5.61267019,
Q2,2008,0.24,-12.66666667,,,,
Q3,2008,-2.8,3.432142857,,,,
Q4,2008,-12.41,-0.788879936,,,,
Q1,2009,-2.62,-1.06870229,2009,2.83,2.550364353,
Q2,2009,0.18,10.27777778,,,,
Q3,2009,2.03,0.596059113,,,,
Q4,2009,3.24,-0.817901235,,,,
Q1,2010,0.59,-0.033898305,2010,13.22,3.611117094,
Q2,2010,0.57,5.771929825,,,,
Q3,2010,3.86,1.124352332,,,,
Q4,2010,8.2,-0.409756098,,,,
Q1,2011,4.84,0.477272727,2011,12.78,3.490907236,
Q2,2011,7.15,-1.102097902,,,,
Q3,2011,-0.73,-3.082191781,,,,
Q4,2011,1.52,1.953947368,,,,
Q1,2012,4.49,-0.830734967,2012,7.04,1.824445121,
Q2,2012,0.76,0,,,,
Q3,2012,0.76,0.355263158,,,,
Q4,2012,1.03,1.45631068,,,,
Q1,2013,2.53,0.766798419,2013,26.3,4.427207547,
Q2,2013,4.47,0.467561521,,,,
Q3,2013,6.56,0.942073171,,,,
Q4,2013,12.74,-0.627943485,,,,
Q1,2014,4.74,-0.38185654,2014,20.54,3.521462764,
Q2,2014,2.93,-0.098976109,,,,
Q3,2014,2.64,2.875,,,,
Q4,2014,10.23,-0.571847507,,,,
Q1,2015,4.38,0.557077626,2015,12.41,3.168115896,
Q2,2015,6.82,-1.064516129,,,,
Q3,2015,-0.44,-4.75,,,,
Q4,2015,1.65,-3.024242424,,,,
Q1,2016,-3.34,-1.155688623,2016,0.49,2.731817161,
Q2,2016,0.52,5.384615385,,,,
Q3,2016,3.32,-1.003012048,,,,
Q4,2016,-0.01,-325,,,,
Q1,2017,3.24,-0.583333333,2017,10.65,0.897120393,
Q2,2017,1.35,1.4,,,,
Q3,2017,3.24,-0.12962963,,,,
Q4,2017,2.82,-1,,,,
,,,,,,,
