iShares 1-3 Year Treasury Bond ETF,
,
Fund Inception,22-Jul-2002
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2002",--
"Aug 31, 2002",0.32
"Sep 30, 2002",0.84
"Oct 31, 2002",0.22
"Nov 30, 2002",-0.36
"Dec 31, 2002",0.97
"Jan 31, 2003",-0.04
"Feb 28, 2003",0.41
"Mar 31, 2003",0.19
"Apr 30, 2003",0.18
"May 31, 2003",0.34
"Jun 30, 2003",0.17
"Jul 31, 2003",-0.56
"Aug 31, 2003",0.03
"Sep 30, 2003",0.94
"Oct 31, 2003",-0.38
"Nov 30, 2003",-0.08
"Dec 31, 2003",0.57
"Jan 31, 2004",0.19
"Feb 29, 2004",0.49
"Mar 31, 2004",0.31
"Apr 30, 2004",-1.02
"May 31, 2004",-0.14
"Jun 30, 2004",0.01
"Jul 31, 2004",0.36
"Aug 31, 2004",0.68
"Sep 30, 2004",-0.08
"Oct 31, 2004",0.29
"Nov 30, 2004",-0.51
"Dec 31, 2004",0.22
"Jan 31, 2005",-0.06
"Feb 28, 2005",-0.25
"Mar 31, 2005",-0.01
"Apr 30, 2005",0.56
"May 31, 2005",0.37
"Jun 30, 2005",0.19
"Jul 31, 2005",-0.33
"Aug 31, 2005",0.64
"Sep 30, 2005",-0.27
"Oct 31, 2005",-0.03
"Nov 30, 2005",0.33
"Dec 31, 2005",0.37
"Jan 31, 2006",0.16
"Feb 28, 2006",0.04
"Mar 31, 2006",0.14
"Apr 30, 2006",0.29
"May 31, 2006",0.15
"Jun 30, 2006",0.17
"Jul 31, 2006",0.74
"Aug 31, 2006",0.70
"Sep 30, 2006",0.50
"Oct 31, 2006",0.40
"Nov 30, 2006",0.51
"Dec 31, 2006",-0.04
"Jan 31, 2007",0.23
"Feb 28, 2007",0.81
"Mar 31, 2007",0.36
"Apr 30, 2007",0.36
"May 31, 2007",-0.11
"Jun 30, 2007",0.42
"Jul 31, 2007",0.89
"Aug 31, 2007",1.05
"Sep 30, 2007",0.68
"Oct 31, 2007",0.41
"Nov 30, 2007",1.73
"Dec 31, 2007",0.26
"Jan 31, 2008",1.75
"Feb 29, 2008",1.05
"Mar 31, 2008",0.27
"Apr 30, 2008",-0.87
"May 31, 2008",-0.36
"Jun 30, 2008",0.25
"Jul 31, 2008",0.41
"Aug 31, 2008",0.48
"Sep 30, 2008",0.78
"Oct 31, 2008",0.97
"Nov 30, 2008",1.16
"Dec 31, 2008",0.55
"Jan 31, 2009",-0.36
"Feb 28, 2009",-0.11
"Mar 31, 2009",0.51
"Apr 30, 2009",-0.18
"May 31, 2009",0.13
"Jun 30, 2009",-0.16
"Jul 31, 2009",0.12
"Aug 31, 2009",0.39
"Sep 30, 2009",0.22
"Oct 31, 2009",0.21
"Nov 30, 2009",0.59
"Dec 31, 2009",-0.81
"Jan 31, 2010",0.72
"Feb 28, 2010",0.19
"Mar 31, 2010",-0.26
"Apr 30, 2010",0.26
"May 31, 2010",0.44
"Jun 30, 2010",0.45
"Jul 31, 2010",0.24
"Aug 31, 2010",0.19
"Sep 30, 2010",0.16
"Oct 31, 2010",0.21
"Nov 30, 2010",-0.19
"Dec 31, 2010",-0.20
"Jan 31, 2011",0.14
"Feb 28, 2011",-0.10
"Mar 31, 2011",-0.05
"Apr 30, 2011",0.45
"May 31, 2011",0.36
"Jun 30, 2011",0.01
"Jul 31, 2011",0.27
"Aug 31, 2011",0.35
"Sep 30, 2011",-0.16
"Oct 31, 2011",0.08
"Nov 30, 2011",0.05
"Dec 31, 2011",0.04
"Jan 31, 2012",0.12
"Feb 29, 2012",-0.16
"Mar 31, 2012",-0.06
"Apr 30, 2012",0.21
"May 31, 2012",0.02
"Jun 30, 2012",-0.07
"Jul 31, 2012",0.23
"Aug 31, 2012",0.00
"Sep 30, 2012",-0.01
"Oct 31, 2012",-0.06
"Nov 30, 2012",0.07
"Dec 31, 2012",0.02
"Jan 31, 2013",0.00
"Feb 28, 2013",0.07
"Mar 31, 2013",0.00
"Apr 30, 2013",0.10
"May 31, 2013",-0.17
"Jun 30, 2013",-0.06
"Jul 31, 2013",0.15
"Aug 31, 2013",-0.11
"Sep 30, 2013",0.21
"Oct 31, 2013",0.09
"Nov 30, 2013",0.08
"Dec 31, 2013",-0.14
"Jan 31, 2014",0.14
"Feb 28, 2014",0.07
"Mar 31, 2014",-0.13
"Apr 30, 2014",0.13
"May 31, 2014",0.17
"Jun 30, 2014",-0.07
"Jul 31, 2014",-0.09
"Aug 31, 2014",0.19
"Sep 30, 2014",-0.07
"Oct 31, 2014",0.27
"Nov 30, 2014",0.14
"Dec 31, 2014",-0.27
"Jan 31, 2015",0.53
"Feb 28, 2015",-0.24
"Mar 31, 2015",0.23
"Apr 30, 2015",0.03
"May 31, 2015",0.07
"Jun 30, 2015",0.01
"Jul 31, 2015",0.04
"Aug 31, 2015",-0.05
"Sep 30, 2015",0.29
"Oct 31, 2015",-0.12
"Nov 30, 2015",-0.26
"Dec 31, 2015",-0.10
"Jan 31, 2016",0.58
"Feb 29, 2016",0.10
"Mar 31, 2016",0.18
"Apr 30, 2016",0.01
"May 31, 2016",-0.11
"Jun 30, 2016",0.58
"Jul 31, 2016",-0.07
"Aug 31, 2016",-0.17
"Sep 30, 2016",0.12
"Oct 31, 2016",-0.10
"Nov 30, 2016",-0.41
"Dec 31, 2016",0.04
"Jan 31, 2017",0.08
"Feb 28, 2017",0.11
"Mar 31, 2017",0.05
"Apr 30, 2017",0.12
"May 31, 2017",0.12
"Jun 30, 2017",-0.10
"Jul 31, 2017",0.20
"Aug 31, 2017",0.19
"Sep 30, 2017",-0.19
"Oct 31, 2017",-0.07
"Nov 30, 2017",-0.23
"Dec 31, 2017",-0.01
"Jan 31, 2018",-0.31
"Feb 28, 2018",-0.06
"Mar 31, 2018",0.20
"Apr 30, 2018",-0.19
"May 31, 2018",0.38
"Jun 30, 2018",0.00
"Jul 31, 2018",-0.02
"Aug 31, 2018",0.31
"Sep 30, 2018",-0.16
"Oct 31, 2018",0.15
"Nov 30, 2018",0.34
"Dec 31, 2018",0.81
"Jan 31, 2019",0.25
"Feb 28, 2019",0.09
