iShares 20+ Year Treasury Bond ETF,
,
Fund Inception,22-Jul-2002
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2002",--
"Aug 31, 2002",5.21
"Sep 30, 2002",4.43
"Oct 31, 2002",-3.74
"Nov 30, 2002",-0.83
"Dec 31, 2002",4.33
"Jan 31, 2003",-0.31
"Feb 28, 2003",3.15
"Mar 31, 2003",-1.67
"Apr 30, 2003",1.27
"May 31, 2003",6.38
"Jun 30, 2003",-2.03
"Jul 31, 2003",-10.31
"Aug 31, 2003",2.14
"Sep 30, 2003",5.57
"Oct 31, 2003",-3.11
"Nov 30, 2003",0.56
"Dec 31, 2003",1.20
"Jan 31, 2004",1.99
"Feb 29, 2004",2.17
"Mar 31, 2004",1.53
"Apr 30, 2004",-6.23
"May 31, 2004",-0.48
"Jun 30, 2004",1.01
"Jul 31, 2004",1.81
"Aug 31, 2004",4.13
"Sep 30, 2004",1.08
"Oct 31, 2004",1.66
"Nov 30, 2004",-2.46
"Dec 31, 2004",2.76
"Jan 31, 2005",3.52
"Feb 28, 2005",-1.33
"Mar 31, 2005",-0.69
"Apr 30, 2005",3.89
"May 31, 2005",3.05
"Jun 30, 2005",2.02
"Jul 31, 2005",-3.02
"Aug 31, 2005",3.35
"Sep 30, 2005",-3.59
"Oct 31, 2005",-2.19
"Nov 30, 2005",0.69
"Dec 31, 2005",2.85
"Jan 31, 2006",-1.25
"Feb 28, 2006",1.22
"Mar 31, 2006",-4.66
"Apr 30, 2006",-2.82
"May 31, 2006",0.12
"Jun 30, 2006",0.94
"Jul 31, 2006",2.09
"Aug 31, 2006",3.17
"Sep 30, 2006",1.91
"Oct 31, 2006",0.84
"Nov 30, 2006",2.38
"Dec 31, 2006",-2.79
"Jan 31, 2007",-1.05
"Feb 28, 2007",3.53
"Mar 31, 2007",-1.76
"Apr 30, 2007",0.82
"May 31, 2007",-2.16
"Jun 30, 2007",-1.05
"Jul 31, 2007",3.17
"Aug 31, 2007",1.86
"Sep 30, 2007",0.27
"Oct 31, 2007",1.57
"Nov 30, 2007",5.36
"Dec 31, 2007",-0.56
"Jan 31, 2008",2.04
"Feb 29, 2008",-0.16
"Mar 31, 2008",1.69
"Apr 30, 2008",-2.32
"May 31, 2008",-2.46
"Jun 30, 2008",2.43
"Jul 31, 2008",-0.62
"Aug 31, 2008",3.15
"Sep 30, 2008",1.40
"Oct 31, 2008",-1.98
"Nov 30, 2008",14.49
"Dec 31, 2008",13.41
"Jan 31, 2009",-13.13
"Feb 28, 2009",-1.55
"Mar 31, 2009",4.12
"Apr 30, 2009",-6.83
"May 31, 2009",-3.59
"Jun 30, 2009",0.83
"Jul 31, 2009",0.42
"Aug 31, 2009",2.33
"Sep 30, 2009",2.45
"Oct 31, 2009",-2.44
"Nov 30, 2009",0.99
"Dec 31, 2009",-6.23
"Jan 31, 2010",2.55
"Feb 28, 2010",0.10
"Mar 31, 2010",-2.46
"Apr 30, 2010",3.33
"May 31, 2010",5.16
"Jun 30, 2010",5.53
"Jul 31, 2010",-0.65
"Aug 31, 2010",8.07
"Sep 30, 2010",-2.25
"Oct 31, 2010",-4.67
"Nov 30, 2010",-1.26
"Dec 31, 2010",-3.67
"Jan 31, 2011",-3.09
"Feb 28, 2011",1.46
"Mar 31, 2011",0.07
"Apr 30, 2011",1.95
"May 31, 2011",3.71
"Jun 30, 2011",-2.29
"Jul 31, 2011",4.53
"Aug 31, 2011",9.98
"Sep 30, 2011",12.34
"Oct 31, 2011",-4.51
"Nov 30, 2011",3.05
"Dec 31, 2011",3.41
"Jan 31, 2012",-0.27
"Feb 29, 2012",-2.35
"Mar 31, 2012",-4.23
"Apr 30, 2012",4.65
"May 31, 2012",8.45
"Jun 30, 2012",-1.53
"Jul 31, 2012",3.77
"Aug 31, 2012",-1.31
"Sep 30, 2012",-2.32
"Oct 31, 2012",-0.12
"Nov 30, 2012",1.34
"Dec 31, 2012",-2.16
"Jan 31, 2013",-3.86
"Feb 28, 2013",1.29
"Mar 31, 2013",-0.31
"Apr 30, 2013",4.50
"May 31, 2013",-6.77
"Jun 30, 2013",-3.33
"Jul 31, 2013",-2.09
"Aug 31, 2013",-0.78
"Sep 30, 2013",0.15
"Oct 31, 2013",1.42
"Nov 30, 2013",-2.66
"Dec 31, 2013",-1.97
"Jan 31, 2014",5.97
"Feb 28, 2014",0.85
"Mar 31, 2014",0.78
"Apr 30, 2014",2.20
"May 31, 2014",3.01
"Jun 30, 2014",-0.20
"Jul 31, 2014",0.65
"Aug 31, 2014",4.33
"Sep 30, 2014",-1.95
"Oct 31, 2014",2.90
"Nov 30, 2014",2.92
"Dec 31, 2014",3.22
"Jan 31, 2015",9.30
"Feb 28, 2015",-5.80
"Mar 31, 2015",1.20
"Apr 30, 2015",-3.42
"May 31, 2015",-1.81
"Jun 30, 2015",-4.14
"Jul 31, 2015",3.73
"Aug 31, 2015",0.00
"Sep 30, 2015",1.50
"Oct 31, 2015",-0.52
"Nov 30, 2015",-0.87
"Dec 31, 2015",0.00
"Jan 31, 2016",5.22
"Feb 29, 2016",3.14
"Mar 31, 2016",-0.01
"Apr 30, 2016",-0.61
"May 31, 2016",0.92
"Jun 30, 2016",6.61
"Jul 31, 2016",2.17
"Aug 31, 2016",-0.91
"Sep 30, 2016",-1.77
"Oct 31, 2016",-4.27
"Nov 30, 2016",-7.70
"Dec 31, 2016",-0.58
"Jan 31, 2017",0.41
"Feb 28, 2017",1.61
"Mar 31, 2017",-0.59
"Apr 30, 2017",1.55
"May 31, 2017",2.09
"Jun 30, 2017",0.47
"Jul 31, 2017",-0.71
"Aug 31, 2017",3.60
"Sep 30, 2017",-2.26
"Oct 31, 2017",-0.05
"Nov 30, 2017",0.79
"Dec 31, 2017",1.80
"Jan 31, 2018",-3.28
"Feb 28, 2018",-3.11
"Mar 31, 2018",3.11
"Apr 30, 2018",-1.96
"May 31, 2018",2.20
"Jun 30, 2018",0.21
"Jul 31, 2018",-1.58
"Aug 31, 2018",1.60
"Sep 30, 2018",-3.08
"Oct 31, 2018",-3.19
"Nov 30, 2018",1.88
"Dec 31, 2018",5.61
"Jan 31, 2019",0.62
"Feb 28, 2019",-1.26
