iShares Core MSCI EAFE ETF,
,
Fund Inception,18-Oct-2012
,
Month End Date,Monthly Total (NAV) Return
"Oct 31, 2012",--
"Nov 30, 2012",2.24
"Dec 31, 2012",3.32
"Jan 31, 2013",5.25
"Feb 28, 2013",-0.70
"Mar 31, 2013",1.02
"Apr 30, 2013",5.05
"May 31, 2013",-2.39
"Jun 30, 2013",-3.50
"Jul 31, 2013",5.36
"Aug 31, 2013",-1.16
"Sep 30, 2013",7.59
"Oct 31, 2013",3.32
"Nov 30, 2013",0.72
"Dec 31, 2013",1.59
"Jan 31, 2014",-3.73
"Feb 28, 2014",5.57
"Mar 31, 2014",-0.62
"Apr 30, 2014",1.22
"May 31, 2014",1.62
"Jun 30, 2014",1.03
"Jul 31, 2014",-2.01
"Aug 31, 2014",-0.18
"Sep 30, 2014",-4.05
"Oct 31, 2014",-1.46
"Nov 30, 2014",1.20
"Dec 31, 2014",-3.10
"Jan 31, 2015",0.43
"Feb 28, 2015",6.07
"Mar 31, 2015",-1.45
"Apr 30, 2015",4.15
"May 31, 2015",-0.28
"Jun 30, 2015",-2.62
"Jul 31, 2015",1.92
"Aug 31, 2015",-6.98
"Sep 30, 2015",-4.86
"Oct 31, 2015",7.58
"Nov 30, 2015",-1.38
"Dec 31, 2015",-1.08
"Jan 31, 2016",-7.32
"Feb 29, 2016",-1.60
"Mar 31, 2016",6.74
"Apr 30, 2016",2.89
"May 31, 2016",-0.66
"Jun 30, 2016",-3.62
"Jul 31, 2016",5.25
"Aug 31, 2016",-0.02
"Sep 30, 2016",1.48
"Oct 31, 2016",-2.16
"Nov 30, 2016",-2.10
"Dec 31, 2016",3.34
"Jan 31, 2017",3.01
"Feb 28, 2017",1.53
"Mar 31, 2017",2.70
"Apr 30, 2017",2.84
"May 31, 2017",3.72
"Jun 30, 2017",-0.12
"Jul 31, 2017",3.00
"Aug 31, 2017",0.06
"Sep 30, 2017",2.56
"Oct 31, 2017",1.55
"Nov 30, 2017",1.15
"Dec 31, 2017",1.75
"Jan 31, 2018",5.04
"Feb 28, 2018",-4.37
"Mar 31, 2018",-1.83
"Apr 30, 2018",2.39
"May 31, 2018",-2.02
"Jun 30, 2018",-1.33
"Jul 31, 2018",2.22
"Aug 31, 2018",-1.76
"Sep 30, 2018",0.64
"Oct 31, 2018",-8.21
"Nov 30, 2018",-0.22
"Dec 31, 2018",-5.04
"Jan 31, 2019",6.79
"Feb 28, 2019",2.50
