iShares Core MSCI Emerging Markets ETF,
,
Fund Inception,18-Oct-2012
,
Month End Date,Monthly Total (NAV) Return
"Oct 31, 2012",--
"Nov 30, 2012",1.41
"Dec 31, 2012",5.11
"Jan 31, 2013",1.39
"Feb 28, 2013",-1.04
"Mar 31, 2013",-1.62
"Apr 30, 2013",1.25
"May 31, 2013",-2.54
"Jun 30, 2013",-6.59
"Jul 31, 2013",1.00
"Aug 31, 2013",-1.89
"Sep 30, 2013",6.52
"Oct 31, 2013",4.68
"Nov 30, 2013",-1.51
"Dec 31, 2013",-1.18
"Jan 31, 2014",-6.13
"Feb 28, 2014",3.34
"Mar 31, 2014",2.89
"Apr 30, 2014",0.33
"May 31, 2014",3.41
"Jun 30, 2014",2.59
"Jul 31, 2014",1.78
"Aug 31, 2014",2.30
"Sep 30, 2014",-7.13
"Oct 31, 2014",0.80
"Nov 30, 2014",-1.07
"Dec 31, 2014",-4.38
"Jan 31, 2015",0.76
"Feb 28, 2015",2.97
"Mar 31, 2015",-1.27
"Apr 30, 2015",7.80
"May 31, 2015",-3.60
"Jun 30, 2015",-2.85
"Jul 31, 2015",-7.17
"Aug 31, 2015",-8.98
"Sep 30, 2015",-2.55
"Oct 31, 2015",7.05
"Nov 30, 2015",-3.72
"Dec 31, 2015",-1.86
"Jan 31, 2016",-6.64
"Feb 29, 2016",-0.22
"Mar 31, 2016",12.81
"Apr 30, 2016",0.67
"May 31, 2016",-3.70
"Jun 30, 2016",3.80
"Jul 31, 2016",4.91
"Aug 31, 2016",2.39
"Sep 30, 2016",1.35
"Oct 31, 2016",-0.07
"Nov 30, 2016",-4.58
"Dec 31, 2016",0.17
"Jan 31, 2017",5.38
"Feb 28, 2017",3.37
"Mar 31, 2017",2.59
"Apr 30, 2017",2.02
"May 31, 2017",2.68
"Jun 30, 2017",0.97
"Jul 31, 2017",5.62
"Aug 31, 2017",2.16
"Sep 30, 2017",-0.41
"Oct 31, 2017",3.45
"Nov 30, 2017",0.41
"Dec 31, 2017",3.67
"Jan 31, 2018",8.03
"Feb 28, 2018",-4.59
"Mar 31, 2018",-1.81
"Apr 30, 2018",-0.26
"May 31, 2018",-3.31
"Jun 30, 2018",-4.35
"Jul 31, 2018",2.11
"Aug 31, 2018",-2.68
"Sep 30, 2018",-0.75
"Oct 31, 2018",-8.90
"Nov 30, 2018",4.30
"Dec 31, 2018",-2.47
"Jan 31, 2019",8.35
"Feb 28, 2019",0.27
