iShares Core MSCI Total International Stock ETF,
,
Fund Inception,18-Oct-2012
,
Month End Date,Monthly Total (NAV) Return
"Oct 31, 2012",--
"Nov 30, 2012",1.77
"Dec 31, 2012",3.65
"Jan 31, 2013",4.00
"Feb 28, 2013",-0.93
"Mar 31, 2013",0.35
"Apr 30, 2013",3.60
"May 31, 2013",-2.29
"Jun 30, 2013",-4.30
"Jul 31, 2013",4.45
"Aug 31, 2013",-1.27
"Sep 30, 2013",7.01
"Oct 31, 2013",3.61
"Nov 30, 2013",0.14
"Dec 31, 2013",1.02
"Jan 31, 2014",-4.29
"Feb 28, 2014",5.05
"Mar 31, 2014",0.28
"Apr 30, 2014",1.16
"May 31, 2014",1.90
"Jun 30, 2014",1.74
"Jul 31, 2014",-1.09
"Aug 31, 2014",0.54
"Sep 30, 2014",-5.04
"Oct 31, 2014",-1.12
"Nov 30, 2014",0.56
"Dec 31, 2014",-3.27
"Jan 31, 2015",-0.19
"Feb 28, 2015",5.35
"Mar 31, 2015",-1.55
"Apr 30, 2015",5.14
"May 31, 2015",-1.34
"Jun 30, 2015",-2.67
"Jul 31, 2015",-0.51
"Aug 31, 2015",-7.31
"Sep 30, 2015",-4.42
"Oct 31, 2015",7.24
"Nov 30, 2015",-1.90
"Dec 31, 2015",-1.58
"Jan 31, 2016",-6.90
"Feb 29, 2016",-0.89
"Mar 31, 2016",8.22
"Apr 30, 2016",2.73
"May 31, 2016",-1.51
"Jun 30, 2016",-1.72
"Jul 31, 2016",5.07
"Aug 31, 2016",0.53
"Sep 30, 2016",1.39
"Oct 31, 2016",-1.64
"Nov 30, 2016",-2.39
"Dec 31, 2016",2.51
"Jan 31, 2017",3.64
"Feb 28, 2017",1.76
"Mar 31, 2017",2.51
"Apr 30, 2017",2.32
"May 31, 2017",3.16
"Jun 30, 2017",0.35
"Jul 31, 2017",3.66
"Aug 31, 2017",0.59
"Sep 30, 2017",1.91
"Oct 31, 2017",1.89
"Nov 30, 2017",0.90
"Dec 31, 2017",2.37
"Jan 31, 2018",5.51
"Feb 28, 2018",-4.61
"Mar 31, 2018",-1.76
"Apr 30, 2018",1.75
"May 31, 2018",-2.11
"Jun 30, 2018",-1.98
"Jul 31, 2018",2.15
"Aug 31, 2018",-1.92
"Sep 30, 2018",0.27
"Oct 31, 2018",-8.37
"Nov 30, 2018",0.83
"Dec 31, 2018",-4.62
"Jan 31, 2019",7.66
"Feb 28, 2019",1.93
