iShares Core S&P 500 ETF,
,
Fund Inception,15-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",-2.12
"Jun 30, 2000",2.47
"Jul 31, 2000",-1.57
"Aug 31, 2000",6.19
"Sep 30, 2000",-5.27
"Oct 31, 2000",-0.42
"Nov 30, 2000",-7.88
"Dec 31, 2000",0.47
"Jan 31, 2001",3.54
"Feb 28, 2001",-9.12
"Mar 31, 2001",-6.32
"Apr 30, 2001",7.75
"May 31, 2001",0.66
"Jun 30, 2001",-2.44
"Jul 31, 2001",-0.99
"Aug 31, 2001",-6.26
"Sep 30, 2001",-8.07
"Oct 31, 2001",1.88
"Nov 30, 2001",7.66
"Dec 31, 2001",0.86
"Jan 31, 2002",-1.46
"Feb 28, 2002",-1.92
"Mar 31, 2002",3.74
"Apr 30, 2002",-6.07
"May 31, 2002",-0.74
"Jun 30, 2002",-7.13
"Jul 31, 2002",-7.78
"Aug 31, 2002",0.65
"Sep 30, 2002",-10.86
"Oct 31, 2002",8.78
"Nov 30, 2002",5.85
"Dec 31, 2002",-5.87
"Jan 31, 2003",-2.64
"Feb 28, 2003",-1.50
"Mar 31, 2003",0.98
"Apr 30, 2003",8.22
"May 31, 2003",5.25
"Jun 30, 2003",1.26
"Jul 31, 2003",1.75
"Aug 31, 2003",1.94
"Sep 30, 2003",-1.07
"Oct 31, 2003",5.65
"Nov 30, 2003",0.87
"Dec 31, 2003",5.23
"Jan 31, 2004",1.82
"Feb 29, 2004",1.38
"Mar 31, 2004",-1.52
"Apr 30, 2004",-1.57
"May 31, 2004",1.37
"Jun 30, 2004",1.93
"Jul 31, 2004",-3.31
"Aug 31, 2004",0.39
"Sep 30, 2004",1.08
"Oct 31, 2004",1.53
"Nov 30, 2004",4.04
"Dec 31, 2004",3.39
"Jan 31, 2005",-2.44
"Feb 28, 2005",2.10
"Mar 31, 2005",-1.76
"Apr 30, 2005",-1.91
"May 31, 2005",3.18
"Jun 30, 2005",0.14
"Jul 31, 2005",3.70
"Aug 31, 2005",-0.90
"Sep 30, 2005",0.81
"Oct 31, 2005",-1.68
"Nov 30, 2005",3.77
"Dec 31, 2005",0.02
"Jan 31, 2006",2.65
"Feb 28, 2006",0.27
"Mar 31, 2006",1.24
"Apr 30, 2006",1.34
"May 31, 2006",-2.88
"Jun 30, 2006",0.13
"Jul 31, 2006",0.61
"Aug 31, 2006",2.37
"Sep 30, 2006",2.56
"Oct 31, 2006",3.25
"Nov 30, 2006",1.89
"Dec 31, 2006",1.39
"Jan 31, 2007",1.50
"Feb 28, 2007",-1.95
"Mar 31, 2007",1.11
"Apr 30, 2007",4.42
"May 31, 2007",3.47
"Jun 30, 2007",-1.67
"Jul 31, 2007",-3.08
"Aug 31, 2007",1.50
"Sep 30, 2007",3.71
"Oct 31, 2007",1.58
"Nov 30, 2007",-4.18
"Dec 31, 2007",-0.69
"Jan 31, 2008",-5.99
"Feb 29, 2008",-3.25
"Mar 31, 2008",-0.44
"Apr 30, 2008",4.85
"May 31, 2008",1.29
"Jun 30, 2008",-8.43
"Jul 31, 2008",-0.84
"Aug 31, 2008",1.44
"Sep 30, 2008",-8.89
"Oct 31, 2008",-16.76
"Nov 30, 2008",-7.17
"Dec 31, 2008",1.08
"Jan 31, 2009",-8.42
"Feb 28, 2009",-10.61
"Mar 31, 2009",8.74
"Apr 30, 2009",9.55
"May 31, 2009",5.58
"Jun 30, 2009",0.22
"Jul 31, 2009",7.54
"Aug 31, 2009",3.60
"Sep 30, 2009",3.73
"Oct 31, 2009",-1.87
"Nov 30, 2009",5.98
"Dec 31, 2009",1.93
"Jan 31, 2010",-3.59
"Feb 28, 2010",3.10
"Mar 31, 2010",6.01
"Apr 30, 2010",1.57
"May 31, 2010",-7.97
"Jun 30, 2010",-5.23
"Jul 31, 2010",7.00
"Aug 31, 2010",-4.52
"Sep 30, 2010",8.89
"Oct 31, 2010",3.79
"Nov 30, 2010",0.01
"Dec 31, 2010",6.66
"Jan 31, 2011",2.36
"Feb 28, 2011",3.42
"Mar 31, 2011",0.03
"Apr 30, 2011",2.96
"May 31, 2011",-1.14
"Jun 30, 2011",-1.67
"Jul 31, 2011",-2.04
"Aug 31, 2011",-5.44
"Sep 30, 2011",-7.02
"Oct 31, 2011",10.90
"Nov 30, 2011",-0.22
"Dec 31, 2011",1.01
"Jan 31, 2012",4.47
"Feb 29, 2012",4.31
"Mar 31, 2012",3.27
"Apr 30, 2012",-0.63
"May 31, 2012",-6.01
"Jun 30, 2012",4.12
