iShares Core S&P Mid-Cap ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",1.48
"Jul 31, 2000",1.51
"Aug 31, 2000",11.13
"Sep 30, 2000",-0.69
"Oct 31, 2000",-3.36
"Nov 30, 2000",-7.60
"Dec 31, 2000",7.61
"Jan 31, 2001",2.21
"Feb 28, 2001",-5.71
"Mar 31, 2001",-7.44
"Apr 30, 2001",11.03
"May 31, 2001",2.34
"Jun 30, 2001",-0.42
"Jul 31, 2001",-1.50
"Aug 31, 2001",-3.29
"Sep 30, 2001",-12.44
"Oct 31, 2001",4.43
"Nov 30, 2001",7.42
"Dec 31, 2001",5.20
"Jan 31, 2002",-0.57
"Feb 28, 2002",0.11
"Mar 31, 2002",7.13
"Apr 30, 2002",-0.48
"May 31, 2002",-1.70
"Jun 30, 2002",-7.35
"Jul 31, 2002",-9.69
"Aug 31, 2002",0.49
"Sep 30, 2002",-8.07
"Oct 31, 2002",4.31
"Nov 30, 2002",5.77
"Dec 31, 2002",-4.13
"Jan 31, 2003",-2.93
"Feb 28, 2003",-2.40
"Mar 31, 2003",0.83
"Apr 30, 2003",7.27
"May 31, 2003",8.26
"Jun 30, 2003",1.25
"Jul 31, 2003",3.55
"Aug 31, 2003",4.49
"Sep 30, 2003",-1.55
"Oct 31, 2003",7.53
"Nov 30, 2003",3.47
"Dec 31, 2003",1.68
"Jan 31, 2004",2.16
"Feb 29, 2004",2.39
"Mar 31, 2004",0.41
"Apr 30, 2004",-3.30
"May 31, 2004",2.07
"Jun 30, 2004",2.25
"Jul 31, 2004",-4.67
"Aug 31, 2004",-0.28
"Sep 30, 2004",2.95
"Oct 31, 2004",1.60
"Nov 30, 2004",5.94
"Dec 31, 2004",4.17
"Jan 31, 2005",-2.56
"Feb 28, 2005",3.34
"Mar 31, 2005",-1.12
"Apr 30, 2005",-3.90
"May 31, 2005",6.01
"Jun 30, 2005",2.41
"Jul 31, 2005",5.24
"Aug 31, 2005",-1.12
"Sep 30, 2005",0.75
"Oct 31, 2005",-2.16
"Nov 30, 2005",4.86
"Dec 31, 2005",0.68
"Jan 31, 2006",5.96
"Feb 28, 2006",-0.86
"Mar 31, 2006",2.48
"Apr 30, 2006",1.37
"May 31, 2006",-4.52
"Jun 30, 2006",0.00
"Jul 31, 2006",-2.85
"Aug 31, 2006",1.12
"Sep 30, 2006",0.66
"Oct 31, 2006",4.11
"Nov 30, 2006",3.19
"Dec 31, 2006",-0.51
"Jan 31, 2007",3.61
"Feb 28, 2007",0.72
"Mar 31, 2007",1.34
"Apr 30, 2007",3.01
"May 31, 2007",4.99
"Jun 30, 2007",-2.23
"Jul 31, 2007",-4.31
"Aug 31, 2007",0.91
"Sep 30, 2007",2.58
"Oct 31, 2007",2.60
"Nov 30, 2007",-4.94
"Dec 31, 2007",-0.20
"Jan 31, 2008",-6.17
"Feb 29, 2008",-1.86
"Mar 31, 2008",-1.03
"Apr 30, 2008",7.68
"May 31, 2008",5.29
"Jun 30, 2008",-7.03
"Jul 31, 2008",-1.85
"Aug 31, 2008",1.70
"Sep 30, 2008",-10.70
"Oct 31, 2008",-21.68
"Nov 30, 2008",-9.23
"Dec 31, 2008",4.80
"Jan 31, 2009",-7.22
"Feb 28, 2009",-9.67
"Mar 31, 2009",9.04
"Apr 30, 2009",14.82
"May 31, 2009",2.73
"Jun 30, 2009",0.61
"Jul 31, 2009",8.72
"Aug 31, 2009",4.35
"Sep 30, 2009",5.70
"Oct 31, 2009",-4.55
"Nov 30, 2009",4.04
"Dec 31, 2009",6.26
"Jan 31, 2010",-3.23
"Feb 28, 2010",5.19
"Mar 31, 2010",7.10
"Apr 30, 2010",4.25
"May 31, 2010",-7.20
"Jun 30, 2010",-6.56
"Jul 31, 2010",6.88
"Aug 31, 2010",-4.95
"Sep 30, 2010",11.27
"Oct 31, 2010",3.44
"Nov 30, 2010",2.95
"Dec 31, 2010",6.54
"Jan 31, 2011",1.98
"Feb 28, 2011",4.64
"Mar 31, 2011",2.43
"Apr 30, 2011",2.71
"May 31, 2011",-1.36
"Jun 30, 2011",-2.05
"Jul 31, 2011",-3.54
"Aug 31, 2011",-7.13
"Sep 30, 2011",-10.58
"Oct 31, 2011",13.71
"Nov 30, 2011",-0.32
"Dec 31, 2011",-0.38
"Jan 31, 2012",6.59
"Feb 29, 2012",4.48
"Mar 31, 2012",1.88
"Apr 30, 2012",-0.24
"May 31, 2012",-6.48
"Jun 30, 2012",1.88
"Jul 31, 2012",-0.05
"Aug 31, 2012",3.47
"Sep 30, 2012",1.93
"Oct 31, 2012",-0.80
"Nov 30, 2012",2.20
"Dec 31, 2012",2.18
"Jan 31, 2013",7.22
"Feb 28, 2013",0.97
"Mar 31, 2013",4.77
"Apr 30, 2013",0.62
"May 31, 2013",2.25
"Jun 30, 2013",-1.84
"Jul 31, 2013",6.18
"Aug 31, 2013",-3.75
"Sep 30, 2013",5.21
"Oct 31, 2013",3.71
"Nov 30, 2013",1.31
"Dec 31, 2013",3.08
"Jan 31, 2014",-2.13
"Feb 28, 2014",4.88
"Mar 31, 2014",0.37
"Apr 30, 2014",-1.57
"May 31, 2014",1.77
"Jun 30, 2014",4.13
"Jul 31, 2014",-4.29
"Aug 31, 2014",5.03
"Sep 30, 2014",-4.56
"Oct 31, 2014",3.56
"Nov 30, 2014",1.85
"Dec 31, 2014",0.81
"Jan 31, 2015",-1.12
"Feb 28, 2015",5.11
"Mar 31, 2015",1.33
"Apr 30, 2015",-1.51
"May 31, 2015",1.77
"Jun 30, 2015",-1.33
"Jul 31, 2015",0.13
"Aug 31, 2015",-5.58
"Sep 30, 2015",-3.23
"Oct 31, 2015",5.63
"Nov 30, 2015",1.35
"Dec 31, 2015",-4.16
"Jan 31, 2016",-5.69
"Feb 29, 2016",1.40
"Mar 31, 2016",8.52
"Apr 30, 2016",1.22
"May 31, 2016",2.30
"Jun 30, 2016",0.41
"Jul 31, 2016",4.28
"Aug 31, 2016",0.49
"Sep 30, 2016",-0.64
"Oct 31, 2016",-2.68
"Nov 30, 2016",8.00
"Dec 31, 2016",2.17
"Jan 31, 2017",1.68
"Feb 28, 2017",2.60
"Mar 31, 2017",-0.39
"Apr 30, 2017",0.83
"May 31, 2017",-0.49
"Jun 30, 2017",1.61
"Jul 31, 2017",0.87
"Aug 31, 2017",-1.53
"Sep 30, 2017",3.92
"Oct 31, 2017",2.26
"Nov 30, 2017",3.67
"Dec 31, 2017",0.21
"Jan 31, 2018",2.88
"Feb 28, 2018",-4.43
"Mar 31, 2018",0.93
"Apr 30, 2018",-0.26
"May 31, 2018",4.12
"Jun 30, 2018",0.42
"Jul 31, 2018",1.75
"Aug 31, 2018",3.16
"Sep 30, 2018",-1.10
"Oct 31, 2018",-9.55
"Nov 30, 2018",3.12
"Dec 31, 2018",-11.32
"Jan 31, 2019",10.46
"Feb 28, 2019",4.23
