iShares Core U.S. Aggregate Bond ETF,
,
Fund Inception,22-Sep-2003
,
Month End Date,Monthly Total (NAV) Return
"Sep 30, 2003",--
"Oct 31, 2003",-0.96
"Nov 30, 2003",0.22
"Dec 31, 2003",1.03
"Jan 31, 2004",0.77
"Feb 29, 2004",1.05
"Mar 31, 2004",0.75
"Apr 30, 2004",-2.67
"May 31, 2004",-0.50
"Jun 30, 2004",0.51
"Jul 31, 2004",1.02
"Aug 31, 2004",1.92
"Sep 30, 2004",0.26
"Oct 31, 2004",0.83
"Nov 30, 2004",-0.85
"Dec 31, 2004",0.89
"Jan 31, 2005",0.59
"Feb 28, 2005",-0.61
"Mar 31, 2005",-0.57
"Apr 30, 2005",1.32
"May 31, 2005",1.10
"Jun 30, 2005",0.57
"Jul 31, 2005",-0.92
"Aug 31, 2005",1.26
"Sep 30, 2005",-1.07
"Oct 31, 2005",-0.81
"Nov 30, 2005",0.43
"Dec 31, 2005",0.89
"Jan 31, 2006",0.00
"Feb 28, 2006",0.32
"Mar 31, 2006",-1.01
"Apr 30, 2006",-0.23
"May 31, 2006",-0.13
"Jun 30, 2006",0.20
"Jul 31, 2006",1.32
"Aug 31, 2006",1.48
"Sep 30, 2006",0.89
"Oct 31, 2006",0.67
"Nov 30, 2006",1.13
"Dec 31, 2006",-0.56
"Jan 31, 2007",-0.04
"Feb 28, 2007",1.50
"Mar 31, 2007",-0.08
"Apr 30, 2007",0.51
"May 31, 2007",-0.78
"Jun 30, 2007",-0.36
"Jul 31, 2007",0.78
"Aug 31, 2007",1.18
"Sep 30, 2007",0.75
"Oct 31, 2007",0.96
"Nov 30, 2007",1.79
"Dec 31, 2007",0.22
"Jan 31, 2008",1.81
"Feb 29, 2008",0.37
"Mar 31, 2008",0.16
"Apr 30, 2008",-0.25
"May 31, 2008",-0.87
"Jun 30, 2008",0.04
"Jul 31, 2008",-0.09
"Aug 31, 2008",0.97
"Sep 30, 2008",-1.47
"Oct 31, 2008",-2.18
"Nov 30, 2008",3.96
"Dec 31, 2008",3.45
"Jan 31, 2009",-1.12
"Feb 28, 2009",-0.38
"Mar 31, 2009",1.21
"Apr 30, 2009",0.36
"May 31, 2009",0.67
"Jun 30, 2009",0.61
"Jul 31, 2009",1.47
"Aug 31, 2009",0.99
"Sep 30, 2009",1.10
"Oct 31, 2009",0.39
"Nov 30, 2009",1.37
"Dec 31, 2009",-1.60
"Jan 31, 2010",1.43
"Feb 28, 2010",0.33
"Mar 31, 2010",-0.12
"Apr 30, 2010",1.05
"May 31, 2010",0.83
"Jun 30, 2010",1.65
"Jul 31, 2010",1.06
"Aug 31, 2010",1.21
"Sep 30, 2010",0.06
"Oct 31, 2010",0.31
"Nov 30, 2010",-0.56
"Dec 31, 2010",-1.07
"Jan 31, 2011",0.07
"Feb 28, 2011",0.23
"Mar 31, 2011",0.02
"Apr 30, 2011",1.22
"May 31, 2011",1.30
"Jun 30, 2011",-0.34
"Jul 31, 2011",1.56
"Aug 31, 2011",1.46
"Sep 30, 2011",0.73
"Oct 31, 2011",0.12
"Nov 30, 2011",-0.08
"Dec 31, 2011",1.05
"Jan 31, 2012",0.90
"Feb 29, 2012",-0.05
"Mar 31, 2012",-0.60
"Apr 30, 2012",1.11
"May 31, 2012",0.91
"Jun 30, 2012",0.01
"Jul 31, 2012",1.38
"Aug 31, 2012",0.04
"Sep 30, 2012",0.10
"Oct 31, 2012",0.20
"Nov 30, 2012",0.15
"Dec 31, 2012",-0.16
"Jan 31, 2013",-0.64
"Feb 28, 2013",0.50
"Mar 31, 2013",0.04
"Apr 30, 2013",1.03
"May 31, 2013",-1.84
"Jun 30, 2013",-1.60
"Jul 31, 2013",0.13
"Aug 31, 2013",-0.51
"Sep 30, 2013",0.94
"Oct 31, 2013",0.79
"Nov 30, 2013",-0.38
"Dec 31, 2013",-0.58
"Jan 31, 2014",1.51
"Feb 28, 2014",0.54
"Mar 31, 2014",-0.19
"Apr 30, 2014",0.85
"May 31, 2014",1.14
"Jun 30, 2014",0.05
"Jul 31, 2014",-0.23
"Aug 31, 2014",1.09
"Sep 30, 2014",-0.69
"Oct 31, 2014",0.98
"Nov 30, 2014",0.70
"Dec 31, 2014",0.13
"Jan 31, 2015",2.13
"Feb 28, 2015",-0.98
"Mar 31, 2015",0.49
"Apr 30, 2015",-0.36
"May 31, 2015",-0.27
"Jun 30, 2015",-1.10
"Jul 31, 2015",0.70
"Aug 31, 2015",-0.14
"Sep 30, 2015",0.66
"Oct 31, 2015",0.00
"Nov 30, 2015",-0.27
"Dec 31, 2015",-0.34
"Jan 31, 2016",1.38
"Feb 29, 2016",0.70
"Mar 31, 2016",0.90
"Apr 30, 2016",0.38
"May 31, 2016",0.02
"Jun 30, 2016",1.80
"Jul 31, 2016",0.61
"Aug 31, 2016",-0.13
"Sep 30, 2016",-0.06
"Oct 31, 2016",-0.76
"Nov 30, 2016",-2.38
"Dec 31, 2016",0.12
"Jan 31, 2017",0.19
"Feb 28, 2017",0.68
"Mar 31, 2017",-0.06
"Apr 30, 2017",0.77
"May 31, 2017",0.80
"Jun 30, 2017",-0.10
"Jul 31, 2017",0.43
"Aug 31, 2017",0.90
"Sep 30, 2017",-0.48
"Oct 31, 2017",0.05
"Nov 30, 2017",-0.13
"Dec 31, 2017",0.44
"Jan 31, 2018",-1.14
"Feb 28, 2018",-0.97
"Mar 31, 2018",0.62
"Apr 30, 2018",-0.74
"May 31, 2018",0.71
"Jun 30, 2018",-0.13
"Jul 31, 2018",0.03
"Aug 31, 2018",0.64
"Sep 30, 2018",-0.66
"Oct 31, 2018",-0.78
"Nov 30, 2018",0.59
"Dec 31, 2018",1.82
"Jan 31, 2019",1.07
"Feb 28, 2019",-0.07
