iShares Edge MSCI Min Vol EAFE ETF,
,
Fund Inception,18-Oct-2011
,
Month End Date,Monthly Total (NAV) Return
"Oct 31, 2011",--
"Nov 30, 2011",-3.04
"Dec 31, 2011",0.66
"Jan 31, 2012",1.05
"Feb 29, 2012",3.58
"Mar 31, 2012",0.95
"Apr 30, 2012",0.08
"May 31, 2012",-7.57
"Jun 30, 2012",6.26
"Jul 31, 2012",2.27
"Aug 31, 2012",2.33
"Sep 30, 2012",2.37
"Oct 31, 2012",-0.37
"Nov 30, 2012",0.61
"Dec 31, 2012",-0.01
"Jan 31, 2013",4.04
"Feb 28, 2013",1.33
"Mar 31, 2013",4.55
"Apr 30, 2013",4.23
"May 31, 2013",-6.09
"Jun 30, 2013",-1.05
"Jul 31, 2013",2.94
"Aug 31, 2013",-1.38
"Sep 30, 2013",5.21
"Oct 31, 2013",2.03
"Nov 30, 2013",-0.50
"Dec 31, 2013",0.66
"Jan 31, 2014",-2.61
"Feb 28, 2014",4.88
"Mar 31, 2014",0.32
"Apr 30, 2014",2.21
"May 31, 2014",2.32
"Jun 30, 2014",1.51
"Jul 31, 2014",-0.44
"Aug 31, 2014",0.58
"Sep 30, 2014",-4.02
"Oct 31, 2014",1.02
"Nov 30, 2014",0.55
"Dec 31, 2014",-1.50
"Jan 31, 2015",3.71
"Feb 28, 2015",3.07
"Mar 31, 2015",-0.59
"Apr 30, 2015",3.66
"May 31, 2015",-0.97
"Jun 30, 2015",-2.04
"Jul 31, 2015",3.46
"Aug 31, 2015",-5.47
"Sep 30, 2015",-2.60
"Oct 31, 2015",6.45
"Nov 30, 2015",-1.77
"Dec 31, 2015",1.30
"Jan 31, 2016",-3.62
"Feb 29, 2016",0.67
"Mar 31, 2016",5.17
"Apr 30, 2016",2.02
"May 31, 2016",-0.87
"Jun 30, 2016",-0.27
"Jul 31, 2016",2.82
"Aug 31, 2016",-2.31
"Sep 30, 2016",1.67
"Oct 31, 2016",-4.64
"Nov 30, 2016",-3.59
"Dec 31, 2016",1.58
"Jan 31, 2017",2.74
"Feb 28, 2017",1.99
"Mar 31, 2017",2.02
"Apr 30, 2017",2.01
"May 31, 2017",5.57
"Jun 30, 2017",-0.68
"Jul 31, 2017",1.93
"Aug 31, 2017",0.70
"Sep 30, 2017",0.11
"Oct 31, 2017",0.96
"Nov 30, 2017",1.75
"Dec 31, 2017",0.74
"Jan 31, 2018",3.26
"Feb 28, 2018",-2.61
"Mar 31, 2018",-0.15
"Apr 30, 2018",1.31
"May 31, 2018",-1.23
"Jun 30, 2018",-0.78
"Jul 31, 2018",2.27
"Aug 31, 2018",-0.74
"Sep 30, 2018",0.64
"Oct 31, 2018",-6.16
"Nov 30, 2018",1.58
"Dec 31, 2018",-2.97
"Jan 31, 2019",4.50
"Feb 28, 2019",1.81
