iShares Edge MSCI Min Vol USA ETF,
,
Fund Inception,18-Oct-2011
,
Month End Date,Monthly Total (NAV) Return
"Oct 31, 2011",--
"Nov 30, 2011",1.13
"Dec 31, 2011",2.65
"Jan 31, 2012",1.46
"Feb 29, 2012",2.18
"Mar 31, 2012",2.57
"Apr 30, 2012",1.42
"May 31, 2012",-2.48
"Jun 30, 2012",3.89
"Jul 31, 2012",1.87
"Aug 31, 2012",-0.10
"Sep 30, 2012",1.51
"Oct 31, 2012",-0.98
"Nov 30, 2012",0.17
"Dec 31, 2012",-0.82
"Jan 31, 2013",5.07
"Feb 28, 2013",2.69
"Mar 31, 2013",5.09
"Apr 30, 2013",2.72
"May 31, 2013",-2.44
"Jun 30, 2013",-0.33
"Jul 31, 2013",3.62
"Aug 31, 2013",-3.23
"Sep 30, 2013",2.54
"Oct 31, 2013",4.70
"Nov 30, 2013",1.35
"Dec 31, 2013",1.24
"Jan 31, 2014",-2.99
"Feb 28, 2014",4.33
"Mar 31, 2014",0.82
"Apr 30, 2014",1.39
"May 31, 2014",1.15
"Jun 30, 2014",1.30
"Jul 31, 2014",-1.53
"Aug 31, 2014",4.06
"Sep 30, 2014",-0.79
"Oct 31, 2014",4.30
"Nov 30, 2014",3.41
"Dec 31, 2014",0.09
"Jan 31, 2015",-0.49
"Feb 28, 2015",3.65
"Mar 31, 2015",-0.74
"Apr 30, 2015",-0.58
"May 31, 2015",1.07
"Jun 30, 2015",-2.23
"Jul 31, 2015",3.94
"Aug 31, 2015",-4.49
"Sep 30, 2015",-0.57
"Oct 31, 2015",5.96
"Nov 30, 2015",-0.21
"Dec 31, 2015",0.51
"Jan 31, 2016",-1.41
"Feb 29, 2016",1.07
"Mar 31, 2016",6.01
"Apr 30, 2016",-0.45
"May 31, 2016",1.58
"Jun 30, 2016",4.56
"Jul 31, 2016",1.47
"Aug 31, 2016",-1.96
"Sep 30, 2016",-0.67
"Oct 31, 2016",-2.80
"Nov 30, 2016",0.63
"Dec 31, 2016",2.37
"Jan 31, 2017",1.31
"Feb 28, 2017",4.52
"Mar 31, 2017",0.10
"Apr 30, 2017",1.45
"May 31, 2017",2.05
"Jun 30, 2017",-0.41
"Jul 31, 2017",2.00
"Aug 31, 2017",0.82
"Sep 30, 2017",0.52
"Oct 31, 2017",1.93
"Nov 30, 2017",3.12
"Dec 31, 2017",0.20
"Jan 31, 2018",3.49
"Feb 28, 2018",-4.21
"Mar 31, 2018",-0.25
"Apr 30, 2018",0.06
"May 31, 2018",1.10
"Jun 30, 2018",1.68
"Jul 31, 2018",3.33
"Aug 31, 2018",3.08
"Sep 30, 2018",1.23
"Oct 31, 2018",-4.03
"Nov 30, 2018",3.71
"Dec 31, 2018",-7.12
"Jan 31, 2019",5.76
"Feb 28, 2019",3.77
