iShares Edge MSCI USA Quality Factor ETF,
,
Fund Inception,16-Jul-2013
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2013",--
"Aug 31, 2013",-1.94
"Sep 30, 2013",3.70
"Oct 31, 2013",4.75
"Nov 30, 2013",4.06
"Dec 31, 2013",2.42
"Jan 31, 2014",-4.14
"Feb 28, 2014",4.84
"Mar 31, 2014",-0.49
"Apr 30, 2014",0.92
"May 31, 2014",2.15
"Jun 30, 2014",0.59
"Jul 31, 2014",-0.83
"Aug 31, 2014",4.51
"Sep 30, 2014",-1.04
"Oct 31, 2014",2.88
"Nov 30, 2014",2.37
"Dec 31, 2014",-0.35
"Jan 31, 2015",-1.69
"Feb 28, 2015",6.02
"Mar 31, 2015",-1.57
"Apr 30, 2015",0.30
"May 31, 2015",1.44
"Jun 30, 2015",-1.97
"Jul 31, 2015",2.92
"Aug 31, 2015",-5.37
"Sep 30, 2015",-1.23
"Oct 31, 2015",8.59
"Nov 30, 2015",0.41
"Dec 31, 2015",-1.64
"Jan 31, 2016",-4.48
"Feb 29, 2016",0.53
"Mar 31, 2016",6.34
"Apr 30, 2016",-0.35
"May 31, 2016",1.01
"Jun 30, 2016",0.51
"Jul 31, 2016",3.03
"Aug 31, 2016",-0.19
"Sep 30, 2016",-0.11
"Oct 31, 2016",-2.04
"Nov 30, 2016",2.95
"Dec 31, 2016",2.01
"Jan 31, 2017",1.22
"Feb 28, 2017",4.69
"Mar 31, 2017",-0.03
"Apr 30, 2017",0.55
"May 31, 2017",1.56
"Jun 30, 2017",0.58
"Jul 31, 2017",0.93
"Aug 31, 2017",0.55
"Sep 30, 2017",2.65
"Oct 31, 2017",2.86
"Nov 30, 2017",3.72
"Dec 31, 2017",1.11
"Jan 31, 2018",4.57
"Feb 28, 2018",-2.83
"Mar 31, 2018",-1.32
"Apr 30, 2018",-1.34
"May 31, 2018",2.75
"Jun 30, 2018",-0.05
"Jul 31, 2018",3.75
"Aug 31, 2018",3.69
"Sep 30, 2018",1.09
"Oct 31, 2018",-7.49
"Nov 30, 2018",1.01
"Dec 31, 2018",-8.72
"Jan 31, 2019",8.39
"Feb 28, 2019",4.33
