iShares Expanded Tech Sector ETF,
,
Fund Inception,13-Mar-2001
,
Month End Date,Rendimientos mensual
Mar 31, 2001,--
Apr 30, 2001,19.03
May 31, 2001,-4.01
Jun 30, 2001,0.17
Jul 31, 2001,-7.11
Aug 31, 2001,-13.05
Sep 30, 2001,-20.25
Oct 31, 2001,15.98
Nov 30, 2001,16.99
Dec 31, 2001,-1.79
Jan 31, 2002,-0.17
Feb 28, 2002,-13.39
Mar 31, 2002,7.09
Apr 30, 2002,-12.34
May 31, 2002,-4.08
Jun 30, 2002,-14.18
Jul 31, 2002,-10.15
Aug 31, 2002,-1.32
Sep 30, 2002,-17.87
Oct 31, 2002,21.76
Nov 30, 2002,17.47
Dec 31, 2002,-14.62
Jan 31, 2003,-0.97
Feb 28, 2003,1.52
Mar 31, 2003,-1.16
Apr 30, 2003,10.41
May 31, 2003,11.01
Jun 30, 2003,-0.30
Jul 31, 2003,5.83
Aug 31, 2003,6.83
Sep 30, 2003,-1.58
Oct 31, 2003,9.88
Nov 30, 2003,1.78
Dec 31, 2003,1.68
Jan 31, 2004,4.52
Feb 29, 2004,-2.87
Mar 31, 2004,-2.78
Apr 30, 2004,-6.01
May 31, 2004,5.57
Jun 30, 2004,2.49
Jul 31, 2004,-9.57
Aug 31, 2004,-5.00
Sep 30, 2004,3.42
Oct 31, 2004,5.31
Nov 30, 2004,5.53
Dec 31, 2004,3.16
Jan 31, 2005,-6.65
Feb 28, 2005,0.16
Mar 31, 2005,-2.49
Apr 30, 2005,-5.12
May 31, 2005,8.99
Jun 30, 2005,-1.92
Jul 31, 2005,6.67
Aug 31, 2005,-0.80
Sep 30, 2005,0.98
Oct 31, 2005,-1.80
Nov 30, 2005,6.63
Dec 31, 2005,-1.84
Jan 31, 2006,3.65
Feb 28, 2006,-1.57
Mar 31, 2006,2.16
Apr 30, 2006,-0.67
May 31, 2006,-7.36
Jun 30, 2006,-1.47
Jul 31, 2006,-4.27
Aug 31, 2006,7.79
Sep 30, 2006,3.97
Oct 31, 2006,3.96
Nov 30, 2006,3.57
Dec 31, 2006,-0.66
Jan 31, 2007,1.58
Feb 28, 2007,-2.07
Mar 31, 2007,0.42
Apr 30, 2007,4.96
May 31, 2007,4.26
Jun 30, 2007,0.75
Jul 31, 2007,-0.69
Aug 31, 2007,2.85
Sep 30, 2007,4.11
Oct 31, 2007,6.63
Nov 30, 2007,-7.85
Dec 31, 2007,1.19
Jan 31, 2008,-12.65
Feb 29, 2008,-3.46
Mar 31, 2008,0.88
Apr 30, 2008,7.23
May 31, 2008,6.28
Jun 30, 2008,-9.56
Jul 31, 2008,-0.71
Aug 31, 2008,2.14
Sep 30, 2008,-13.79
Oct 31, 2008,-18.36
Nov 30, 2008,-11.29
Dec 31, 2008,1.75
Jan 31, 2009,-2.21
