iShares Expanded Tech-Software Sector ETF,
,
Fund Inception,10-Jul-2001
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-18.68
"Sep 30, 2001",-24.07
"Oct 31, 2001",22.07
"Nov 30, 2001",18.71
"Dec 31, 2001",5.09
"Jan 31, 2002",1.34
"Feb 28, 2002",-16.13
"Mar 31, 2002",6.79
"Apr 30, 2002",-20.14
"May 31, 2002",-8.78
"Jun 30, 2002",-8.33
"Jul 31, 2002",-14.21
"Aug 31, 2002",-0.97
"Sep 30, 2002",-11.98
"Oct 31, 2002",20.31
"Nov 30, 2002",17.49
"Dec 31, 2002",-12.86
"Jan 31, 2003",2.64
"Feb 28, 2003",-1.61
"Mar 31, 2003",-3.28
"Apr 30, 2003",11.39
"May 31, 2003",12.33
"Jun 30, 2003",0.42
"Jul 31, 2003",1.45
"Aug 31, 2003",8.43
"Sep 30, 2003",-1.55
"Oct 31, 2003",7.92
"Nov 30, 2003",-0.22
"Dec 31, 2003",4.52
"Jan 31, 2004",1.92
"Feb 29, 2004",-1.58
"Mar 31, 2004",-0.18
"Apr 30, 2004",-4.50
"May 31, 2004",2.37
"Jun 30, 2004",2.64
"Jul 31, 2004",-11.15
"Aug 31, 2004",-3.63
"Sep 30, 2004",6.10
"Oct 31, 2004",10.20
"Nov 30, 2004",6.76
"Dec 31, 2004",5.25
"Jan 31, 2005",-6.85
"Feb 28, 2005",-1.23
"Mar 31, 2005",-2.40
"Apr 30, 2005",-5.36
"May 31, 2005",9.45
"Jun 30, 2005",-2.90
"Jul 31, 2005",4.71
"Aug 31, 2005",-1.24
"Sep 30, 2005",3.27
"Oct 31, 2005",0.51
"Nov 30, 2005",-2.35
"Dec 31, 2005",-0.15
"Jan 31, 2006",3.95
"Feb 28, 2006",-2.96
"Mar 31, 2006",2.12
"Apr 30, 2006",1.21
"May 31, 2006",-10.10
"Jun 30, 2006",-0.08
"Jul 31, 2006",-0.21
"Aug 31, 2006",7.10
"Sep 30, 2006",7.40
"Oct 31, 2006",2.12
"Nov 30, 2006",2.67
"Dec 31, 2006",-1.74
"Jan 31, 2007",0.70
"Feb 28, 2007",-1.56
"Mar 31, 2007",2.10
"Apr 30, 2007",2.99
"May 31, 2007",4.50
"Jun 30, 2007",-2.14
"Jul 31, 2007",-3.58
"Aug 31, 2007",3.19
"Sep 30, 2007",5.56
"Oct 31, 2007",7.89
"Nov 30, 2007",-7.52
"Dec 31, 2007",3.57
"Jan 31, 2008",-9.71
"Feb 29, 2008",-4.30
"Mar 31, 2008",0.61
"Apr 30, 2008",5.11
"May 31, 2008",9.78
"Jun 30, 2008",-8.62
"Jul 31, 2008",0.38
"Aug 31, 2008",3.73
"Sep 30, 2008",-11.19
"Oct 31, 2008",-22.46
"Nov 30, 2008",-8.46
"Dec 31, 2008",2.54
"Jan 31, 2009",-5.59
"Feb 28, 2009",-4.06
"Mar 31, 2009",14.71
"Apr 30, 2009",10.19
"May 31, 2009",3.18
"Jun 30, 2009",2.24
"Jul 31, 2009",5.88
"Aug 31, 2009",0.88
"Sep 30, 2009",6.07
"Oct 31, 2009",-1.38
"Nov 30, 2009",2.91
"Dec 31, 2009",6.02
"Jan 31, 2010",-6.38
"Feb 28, 2010",4.17
"Mar 31, 2010",6.22
"Apr 30, 2010",1.42
"May 31, 2010",-6.62
"Jun 30, 2010",-6.42
"Jul 31, 2010",9.81
"Aug 31, 2010",0.07
"Sep 30, 2010",9.60
"Oct 31, 2010",6.00
"Nov 30, 2010",0.20
"Dec 31, 2010",6.03
"Jan 31, 2011",0.87
"Feb 28, 2011",3.79
"Mar 31, 2011",1.39
"Apr 30, 2011",3.99
"May 31, 2011",0.78
"Jun 30, 2011",-2.39
"Jul 31, 2011",-6.72
"Aug 31, 2011",-7.11
"Sep 30, 2011",-5.17
"Oct 31, 2011",15.29
"Nov 30, 2011",-3.62
"Dec 31, 2011",-6.43
"Jan 31, 2012",9.43
"Feb 29, 2012",6.50
"Mar 31, 2012",4.46
"Apr 30, 2012",-1.38
"May 31, 2012",-8.41
"Jun 30, 2012",4.63
"Jul 31, 2012",-4.52
"Aug 31, 2012",6.10
"Sep 30, 2012",1.13
"Oct 31, 2012",-5.10
"Nov 30, 2012",1.75
"Dec 31, 2012",2.76
"Jan 31, 2013",5.70
"Feb 28, 2013",0.39
"Mar 31, 2013",3.68
"Apr 30, 2013",-1.74
"May 31, 2013",1.97
"Jun 30, 2013",-2.10
"Jul 31, 2013",7.79
"Aug 31, 2013",0.16
"Sep 30, 2013",3.98
"Oct 31, 2013",0.07
"Nov 30, 2013",2.99
"Dec 31, 2013",4.60
"Jan 31, 2014",-0.04
"Feb 28, 2014",5.59
"Mar 31, 2014",-3.86
"Apr 30, 2014",-4.76
"May 31, 2014",3.03
"Jun 30, 2014",5.37
"Jul 31, 2014",-1.40
"Aug 31, 2014",4.21
"Sep 30, 2014",-2.13
"Oct 31, 2014",4.13
"Nov 30, 2014",3.34
"Dec 31, 2014",-0.13
"Jan 31, 2015",-3.53
"Feb 28, 2015",9.75
"Mar 31, 2015",-2.16
"Apr 30, 2015",3.79
"May 31, 2015",1.17
"Jun 30, 2015",-1.48
"Jul 31, 2015",3.10
"Aug 31, 2015",-7.10
"Sep 30, 2015",-0.42
"Oct 31, 2015",9.14
"Nov 30, 2015",2.06
"Dec 31, 2015",-1.65
"Jan 31, 2016",-8.36
"Feb 29, 2016",-2.16
"Mar 31, 2016",9.10
"Apr 30, 2016",-0.26
"May 31, 2016",5.78
"Jun 30, 2016",-0.93
"Jul 31, 2016",4.84
"Aug 31, 2016",2.10
"Sep 30, 2016",0.93
"Oct 31, 2016",-1.00
"Nov 30, 2016",-0.54
"Dec 31, 2016",-2.67
"Jan 31, 2017",7.71
"Feb 28, 2017",4.76
"Mar 31, 2017",3.03
"Apr 30, 2017",3.31
"May 31, 2017",6.02
"Jun 30, 2017",-1.14
"Jul 31, 2017",3.86
"Aug 31, 2017",3.73
"Sep 30, 2017",-0.80
"Oct 31, 2017",6.95
"Nov 30, 2017",-0.37
"Dec 31, 2017",-0.84
"Jan 31, 2018",10.08
"Feb 28, 2018",0.83
"Mar 31, 2018",-1.04
"Apr 30, 2018",2.32
"May 31, 2018",5.36
"Jun 30, 2018",-0.16
"Jul 31, 2018",1.57
"Aug 31, 2018",8.29
"Sep 30, 2018",2.08
"Oct 31, 2018",-10.61
"Nov 30, 2018",1.32
"Dec 31, 2018",-6.47
"Jan 31, 2019",10.80
"Feb 28, 2019",7.77
