iShares Floating Rate Bond ETF,
,
Fund Inception,14-Jun-2011
,
Month End Date,Monthly Total (NAV) Return
"Jun 30, 2011",--
"Jul 31, 2011",-0.06
"Aug 31, 2011",-0.83
"Sep 30, 2011",-0.60
"Oct 31, 2011",0.27
"Nov 30, 2011",-0.44
"Dec 31, 2011",-0.19
"Jan 31, 2012",1.11
"Feb 29, 2012",0.54
"Mar 31, 2012",0.43
"Apr 30, 2012",0.08
"May 31, 2012",-0.06
"Jun 30, 2012",0.32
"Jul 31, 2012",0.41
"Aug 31, 2012",0.36
"Sep 30, 2012",0.43
"Oct 31, 2012",0.22
"Nov 30, 2012",0.09
"Dec 31, 2012",0.11
"Jan 31, 2013",0.28
"Feb 28, 2013",0.16
"Mar 31, 2013",0.03
"Apr 30, 2013",0.14
"May 31, 2013",0.07
"Jun 30, 2013",-0.16
"Jul 31, 2013",0.16
"Aug 31, 2013",0.05
"Sep 30, 2013",0.15
"Oct 31, 2013",0.09
"Nov 30, 2013",0.05
"Dec 31, 2013",0.07
"Jan 31, 2014",0.04
"Feb 28, 2014",0.07
"Mar 31, 2014",0.05
"Apr 30, 2014",0.08
"May 31, 2014",0.06
"Jun 30, 2014",0.08
"Jul 31, 2014",0.06
"Aug 31, 2014",0.08
"Sep 30, 2014",0.04
"Oct 31, 2014",-0.06
"Nov 30, 2014",-0.04
"Dec 31, 2014",-0.14
"Jan 31, 2015",0.00
"Feb 28, 2015",0.14
"Mar 31, 2015",0.06
"Apr 30, 2015",0.08
"May 31, 2015",0.06
"Jun 30, 2015",-0.06
"Jul 31, 2015",-0.01
"Aug 31, 2015",-0.04
"Sep 30, 2015",-0.23
"Oct 31, 2015",0.05
"Nov 30, 2015",0.09
"Dec 31, 2015",-0.02
"Jan 31, 2016",-0.04
"Feb 29, 2016",-0.03
"Mar 31, 2016",0.23
"Apr 30, 2016",0.24
"May 31, 2016",0.19
"Jun 30, 2016",0.09
"Jul 31, 2016",0.18
"Aug 31, 2016",0.26
"Sep 30, 2016",0.05
"Oct 31, 2016",0.15
"Nov 30, 2016",0.12
"Dec 31, 2016",0.10
"Jan 31, 2017",0.16
"Feb 28, 2017",0.24
"Mar 31, 2017",0.14
"Apr 30, 2017",0.13
"May 31, 2017",0.13
"Jun 30, 2017",0.14
"Jul 31, 2017",0.18
"Aug 31, 2017",0.11
"Sep 30, 2017",0.15
"Oct 31, 2017",0.21
"Nov 30, 2017",0.12
"Dec 31, 2017",0.11
"Jan 31, 2018",0.26
"Feb 28, 2018",0.08
"Mar 31, 2018",0.05
"Apr 30, 2018",0.32
"May 31, 2018",0.15
"Jun 30, 2018",0.17
"Jul 31, 2018",0.29
"Aug 31, 2018",0.24
"Sep 30, 2018",0.18
"Oct 31, 2018",0.12
"Nov 30, 2018",-0.13
"Dec 31, 2018",-0.18
"Jan 31, 2019",0.67
"Feb 28, 2019",0.37
