iShares J.P. Morgan USD Emerging Markets Bond ETF,
,
Fund Inception,17-Dec-2007
,
Month End Date,Monthly Total (NAV) Return
"Dec 31, 2007",--
"Jan 31, 2008",0.77
"Feb 29, 2008",-0.28
"Mar 31, 2008",-0.13
"Apr 30, 2008",0.96
"May 31, 2008",0.04
"Jun 30, 2008",-2.44
"Jul 31, 2008",1.47
"Aug 31, 2008",0.65
"Sep 30, 2008",-7.29
"Oct 31, 2008",-15.26
"Nov 30, 2008",2.36
"Dec 31, 2008",8.60
"Jan 31, 2009",0.10
"Feb 28, 2009",-1.74
"Mar 31, 2009",4.00
"Apr 30, 2009",5.70
"May 31, 2009",4.22
"Jun 30, 2009",0.79
"Jul 31, 2009",3.18
"Aug 31, 2009",2.09
"Sep 30, 2009",5.14
"Oct 31, 2009",0.03
"Nov 30, 2009",0.95
"Dec 31, 2009",0.14
"Jan 31, 2010",0.13
"Feb 28, 2010",1.44
"Mar 31, 2010",2.45
"Apr 30, 2010",0.67
"May 31, 2010",-1.66
"Jun 30, 2010",2.04
"Jul 31, 2010",4.36
"Aug 31, 2010",2.59
"Sep 30, 2010",1.51
"Oct 31, 2010",1.77
"Nov 30, 2010",-3.60
"Dec 31, 2010",-0.50
"Jan 31, 2011",-0.74
"Feb 28, 2011",0.24
"Mar 31, 2011",1.22
"Apr 30, 2011",1.34
"May 31, 2011",1.50
"Jun 30, 2011",0.97
"Jul 31, 2011",1.95
"Aug 31, 2011",0.48
"Sep 30, 2011",-4.45
"Oct 31, 2011",4.57
"Nov 30, 2011",-1.09
"Dec 31, 2011",1.19
"Jan 31, 2012",1.62
"Feb 29, 2012",2.58
"Mar 31, 2012",-0.03
"Apr 30, 2012",1.68
"May 31, 2012",-2.70
"Jun 30, 2012",3.87
"Jul 31, 2012",4.10
"Aug 31, 2012",1.00
"Sep 30, 2012",1.73
"Oct 31, 2012",0.73
"Nov 30, 2012",1.22
"Dec 31, 2012",0.72
"Jan 31, 2013",-1.88
"Feb 28, 2013",-0.43
"Mar 31, 2013",-0.87
"Apr 30, 2013",3.21
"May 31, 2013",-4.12
"Jun 30, 2013",-5.25
"Jul 31, 2013",0.99
"Aug 31, 2013",-2.89
"Sep 30, 2013",2.93
"Oct 31, 2013",2.71
"Nov 30, 2013",-2.07
"Dec 31, 2013",0.40
"Jan 31, 2014",-0.96
"Feb 28, 2014",3.38
"Mar 31, 2014",1.21
"Apr 30, 2014",1.23
"May 31, 2014",3.18
"Jun 30, 2014",0.29
"Jul 31, 2014",0.39
"Aug 31, 2014",0.65
"Sep 30, 2014",-2.10
"Oct 31, 2014",1.79
"Nov 30, 2014",0.00
"Dec 31, 2014",-2.38
"Jan 31, 2015",0.99
"Feb 28, 2015",0.80
"Mar 31, 2015",0.24
"Apr 30, 2015",1.53
"May 31, 2015",-0.55
"Jun 30, 2015",-1.84
"Jul 31, 2015",0.35
"Aug 31, 2015",-0.99
"Sep 30, 2015",-1.43
"Oct 31, 2015",2.85
"Nov 30, 2015",0.15
"Dec 31, 2015",-1.56
"Jan 31, 2016",-0.03
"Feb 29, 2016",1.90
"Mar 31, 2016",3.20
"Apr 30, 2016",1.77
"May 31, 2016",-0.26
"Jun 30, 2016",3.60
"Jul 31, 2016",1.47
"Aug 31, 2016",1.82
"Sep 30, 2016",0.31
"Oct 31, 2016",-1.42
"Nov 30, 2016",-4.36
"Dec 31, 2016",1.30
"Jan 31, 2017",1.48
"Feb 28, 2017",2.02
"Mar 31, 2017",0.28
"Apr 30, 2017",1.59
"May 31, 2017",0.83
"Jun 30, 2017",-0.33
"Jul 31, 2017",0.91
"Aug 31, 2017",1.79
"Sep 30, 2017",-0.09
"Oct 31, 2017",0.33
"Nov 30, 2017",0.01
"Dec 31, 2017",0.75
"Jan 31, 2018",-0.15
"Feb 28, 2018",-2.24
"Mar 31, 2018",0.23
"Apr 30, 2018",-1.67
"May 31, 2018",-1.12
"Jun 30, 2018",-1.46
"Jul 31, 2018",2.76
"Aug 31, 2018",-2.12
"Sep 30, 2018",1.78
"Oct 31, 2018",-2.45
"Nov 30, 2018",-0.61
"Dec 31, 2018",1.40
"Jan 31, 2019",4.76
"Feb 28, 2019",0.97
