iShares MBS ETF,
,
Fecha de lanzamiento de la serie,13-mar-2007
,
Fecha a fin de mes,Rendimientos mensual
31-mar-2007,--
30-abr-2007,0.42
31-may-2007,-0.63
30-jun-2007,-0.56
31-jul-2007,0.71
31-ago-2007,1.23
30-sep-2007,0.73
31-oct-2007,0.91
30-nov-2007,1.73
31-dic-2007,0.22
31-ene-2008,1.69
29-feb-2008,-0.02
31-mar-2008,0.55
30-abr-2008,-0.01
31-may-2008,-0.66
30-jun-2008,-0.11
31-jul-2008,-0.19
31-ago-2008,1.19
30-sep-2008,0.91
31-oct-2008,-1.47
30-nov-2008,3.85
31-dic-2008,1.46
31-ene-2009,0.11
28-feb-2009,0.53
31-mar-2009,1.38
30-abr-2009,0.12
31-may-2009,0.08
30-jun-2009,0.05
31-jul-2009,0.80
31-ago-2009,0.69
30-sep-2009,0.87
31-oct-2009,0.72
30-nov-2009,1.41
31-dic-2009,-1.50
31-ene-2010,1.46
28-feb-2010,0.17
31-mar-2010,0.04
30-abr-2010,0.52
31-may-2010,1.28
30-jun-2010,1.31
31-jul-2010,0.83
31-ago-2010,0.00
30-sep-2010,-0.41
31-oct-2010,0.94
30-nov-2010,-0.19
31-dic-2010,-0.59
31-ene-2011,0.03
28-feb-2011,0.20
31-mar-2011,0.26
30-abr-2011,1.06
31-may-2011,1.07
30-jun-2011,0.07
31-jul-2011,0.87
31-ago-2011,1.23
30-sep-2011,0.11
31-oct-2011,-0.03
30-nov-2011,0.25
31-dic-2011,0.60
31-ene-2012,0.40
29-feb-2012,0.06
31-mar-2012,0.02
30-abr-2012,0.63
31-may-2012,0.28
30-jun-2012,0.08
31-jul-2012,0.79
31-ago-2012,0.09
30-sep-2012,0.17
31-oct-2012,-0.20
30-nov-2012,-0.20
31-dic-2012,0.10
31-ene-2013,-0.28
28-feb-2013,0.32
31-mar-2013,0.03
30-abr-2013,0.50
31-may-2013,-1.64
30-jun-2013,-1.10
31-jul-2013,-0.19
31-ago-2013,-0.31
30-sep-2013,1.36
31-oct-2013,0.65
30-nov-2013,-0.63
31-dic-2013,-0.61
31-ene-2014,1.67
28-feb-2014,0.38
31-mar-2014,-0.43
30-abr-2014,0.95
31-may-2014,1.24
30-jun-2014,0.24
31-jul-2014,-0.54
31-ago-2014,0.92
30-sep-2014,-0.21
31-oct-2014,0.98
30-nov-2014,0.68
31-dic-2014,0.14
31-ene-2015,0.96
28-feb-2015,-0.26
31-mar-2015,0.39
30-abr-2015,0.08
31-may-2015,-0.09
30-jun-2015,-0.81
31-jul-2015,0.59
31-ago-2015,0.10
30-sep-2015,0.53
31-oct-2015,0.06
30-nov-2015,-0.17
31-dic-2015,-0.09
31-ene-2016,1.35
29-feb-2016,0.32
31-mar-2016,0.22
30-abr-2016,0.14
31-may-2016,0.09
30-jun-2016,0.82
31-jul-2016,0.17
31-ago-2016,0.06
30-sep-2016,0.26
31-oct-2016,-0.30
30-nov-2016,-1.78
31-dic-2016,-0.06
31-ene-2017,-0.05
28-feb-2017,0.47
31-mar-2017,0.00
30-abr-2017,0.64
31-may-2017,0.67
30-jun-2017,-0.41
31-jul-2017,0.46
31-ago-2017,0.72
30-sep-2017,-0.23
31-oct-2017,-0.06
30-nov-2017,-0.17
31-dic-2017,0.29
31-ene-2018,-1.18
28-feb-2018,-0.74
31-mar-2018,0.61
30-abr-2018,-0.49
31-may-2018,0.68
30-jun-2018,0.04
31-jul-2018,-0.11
31-ago-2018,0.60
30-sep-2018,-0.62
31-oct-2018,-0.64
30-nov-2018,0.90
31-dic-2018,1.82
31-ene-2019,0.81
28-feb-2019,-0.08
