iShares MSCI ACWI ETF,
,
Fund Inception,26-Mar-2008
,
Month End Date,Monthly Total (NAV) Return
"Mar 31, 2008",--
"Apr 30, 2008",5.89
"May 31, 2008",2.00
"Jun 30, 2008",-7.87
"Jul 31, 2008",-2.90
"Aug 31, 2008",-1.94
"Sep 30, 2008",-12.52
"Oct 31, 2008",-19.64
"Nov 30, 2008",-6.63
"Dec 31, 2008",3.61
"Jan 31, 2009",-8.45
"Feb 28, 2009",-10.09
"Mar 31, 2009",8.50
"Apr 30, 2009",12.32
"May 31, 2009",9.77
"Jun 30, 2009",-0.36
"Jul 31, 2009",8.92
"Aug 31, 2009",3.24
"Sep 30, 2009",4.64
"Oct 31, 2009",-1.53
"Nov 30, 2009",4.28
"Dec 31, 2009",2.03
"Jan 31, 2010",-4.45
"Feb 28, 2010",1.09
"Mar 31, 2010",6.46
"Apr 30, 2010",0.23
"May 31, 2010",-9.52
"Jun 30, 2010",-3.29
"Jul 31, 2010",8.31
"Aug 31, 2010",-3.69
"Sep 30, 2010",9.64
"Oct 31, 2010",3.68
"Nov 30, 2010",-2.17
"Dec 31, 2010",7.35
"Jan 31, 2011",1.27
"Feb 28, 2011",3.09
"Mar 31, 2011",-0.39
"Apr 30, 2011",4.15
"May 31, 2011",-2.12
"Jun 30, 2011",-1.56
"Jul 31, 2011",-1.91
"Aug 31, 2011",-7.36
"Sep 30, 2011",-9.43
"Oct 31, 2011",10.97
"Nov 30, 2011",-2.62
"Dec 31, 2011",-0.43
"Jan 31, 2012",5.77
"Feb 29, 2012",4.87
"Mar 31, 2012",0.86
"Apr 30, 2012",-1.08
"May 31, 2012",-9.10
"Jun 30, 2012",4.95
"Jul 31, 2012",1.28
"Aug 31, 2012",2.23
"Sep 30, 2012",3.13
"Oct 31, 2012",-0.58
"Nov 30, 2012",1.29
"Dec 31, 2012",2.17
"Jan 31, 2013",4.61
"Feb 28, 2013",-0.02
"Mar 31, 2013",1.80
"Apr 30, 2013",2.84
"May 31, 2013",-0.19
"Jun 30, 2013",-2.93
"Jul 31, 2013",4.74
"Aug 31, 2013",-2.12
"Sep 30, 2013",5.15
"Oct 31, 2013",4.08
"Nov 30, 2013",1.52
"Dec 31, 2013",1.71
"Jan 31, 2014",-4.06
"Feb 28, 2014",4.92
"Mar 31, 2014",0.50
"Apr 30, 2014",1.03
"May 31, 2014",2.20
"Jun 30, 2014",1.92
"Jul 31, 2014",-1.24
"Aug 31, 2014",2.22
"Sep 30, 2014",-3.17
"Oct 31, 2014",0.76
"Nov 30, 2014",1.75
"Dec 31, 2014",-1.92
"Jan 31, 2015",-1.50
"Feb 28, 2015",5.50
"Mar 31, 2015",-1.54
"Apr 30, 2015",2.84
"May 31, 2015",-0.23
"Jun 30, 2015",-2.35
"Jul 31, 2015",0.86
"Aug 31, 2015",-6.95
"Sep 30, 2015",-3.54
"Oct 31, 2015",8.02
"Nov 30, 2015",-0.82
"Dec 31, 2015",-1.82
"Jan 31, 2016",-5.84
"Feb 29, 2016",-0.66
"Mar 31, 2016",7.37
"Apr 30, 2016",1.49
"May 31, 2016",0.09
"Jun 30, 2016",-0.49
"Jul 31, 2016",4.21
"Aug 31, 2016",0.34
"Sep 30, 2016",0.60
"Oct 31, 2016",-1.66
"Nov 30, 2016",0.86
"Dec 31, 2016",2.17
"Jan 31, 2017",2.68
"Feb 28, 2017",2.78
"Mar 31, 2017",1.23
"Apr 30, 2017",1.56
"May 31, 2017",2.35
"Jun 30, 2017",0.46
"Jul 31, 2017",2.79
"Aug 31, 2017",0.40
"Sep 30, 2017",2.00
"Oct 31, 2017",2.09
"Nov 30, 2017",1.99
"Dec 31, 2017",1.68
"Jan 31, 2018",5.65
"Feb 28, 2018",-4.13
"Mar 31, 2018",-2.26
"Apr 30, 2018",1.04
"May 31, 2018",0.21
"Jun 30, 2018",-0.51
"Jul 31, 2018",3.02
"Aug 31, 2018",0.85
"Sep 30, 2018",0.47
"Oct 31, 2018",-7.44
"Nov 30, 2018",1.44
"Dec 31, 2018",-7.05
"Jan 31, 2019",7.96
"Feb 28, 2019",2.67
