iShares MSCI EAFE ETF,
,
Fund Inception,14-Aug-2001
,
Month End Date,Monthly Total (NAV) Return
"Aug 31, 2001",--
"Sep 30, 2001",-9.69
"Oct 31, 2001",2.82
"Nov 30, 2001",3.06
"Dec 31, 2001",0.70
"Jan 31, 2002",-5.21
"Feb 28, 2002",0.72
"Mar 31, 2002",5.86
"Apr 30, 2002",0.17
"May 31, 2002",1.61
"Jun 30, 2002",-3.89
"Jul 31, 2002",-9.89
"Aug 31, 2002",-0.19
"Sep 30, 2002",-10.70
"Oct 31, 2002",5.30
"Nov 30, 2002",4.48
"Dec 31, 2002",-3.38
"Jan 31, 2003",-4.19
"Feb 28, 2003",-2.25
"Mar 31, 2003",-1.96
"Apr 30, 2003",9.72
"May 31, 2003",5.99
"Jun 30, 2003",2.47
"Jul 31, 2003",2.42
"Aug 31, 2003",2.44
"Sep 30, 2003",3.04
"Oct 31, 2003",6.22
"Nov 30, 2003",2.21
"Dec 31, 2003",7.82
"Jan 31, 2004",1.40
"Feb 29, 2004",2.26
"Mar 31, 2004",0.51
"Apr 30, 2004",-2.25
"May 31, 2004",0.20
"Jun 30, 2004",2.30
"Jul 31, 2004",-3.26
"Aug 31, 2004",0.39
"Sep 30, 2004",2.64
"Oct 31, 2004",3.36
"Nov 30, 2004",6.72
"Dec 31, 2004",4.30
"Jan 31, 2005",-1.84
"Feb 28, 2005",4.27
"Mar 31, 2005",-2.47
"Apr 30, 2005",-2.33
"May 31, 2005",-0.05
"Jun 30, 2005",1.26
"Jul 31, 2005",3.03
"Aug 31, 2005",2.52
"Sep 30, 2005",4.55
"Oct 31, 2005",-2.94
"Nov 30, 2005",2.49
"Dec 31, 2005",4.59
"Jan 31, 2006",6.07
"Feb 28, 2006",-0.24
"Mar 31, 2006",3.28
"Apr 30, 2006",4.75
"May 31, 2006",-3.87
"Jun 30, 2006",0.03
"Jul 31, 2006",0.92
"Aug 31, 2006",2.78
"Sep 30, 2006",0.12
"Oct 31, 2006",3.86
"Nov 30, 2006",2.96
"Dec 31, 2006",3.06
"Jan 31, 2007",0.67
"Feb 28, 2007",0.81
"Mar 31, 2007",2.54
"Apr 30, 2007",4.44
"May 31, 2007",1.83
"Jun 30, 2007",0.14
"Jul 31, 2007",-1.54
"Aug 31, 2007",-1.57
"Sep 30, 2007",5.33
"Oct 31, 2007",3.77
"Nov 30, 2007",-3.27
"Dec 31, 2007",-2.28
"Jan 31, 2008",-9.11
"Feb 29, 2008",1.35
"Mar 31, 2008",-1.02
"Apr 30, 2008",5.38
"May 31, 2008",0.91
"Jun 30, 2008",-8.11
"Jul 31, 2008",-3.27
"Aug 31, 2008",-4.06
"Sep 30, 2008",-14.35
"Oct 31, 2008",-20.11
"Nov 30, 2008",-5.23
"Dec 31, 2008",6.03
"Jan 31, 2009",-9.89
"Feb 28, 2009",-10.28
"Mar 31, 2009",6.37
