iShares MSCI Emerging Markets ETF,
,
Fund Inception,07-Apr-2003
,
Month End Date,Monthly Total (NAV) Return
"Apr 30, 2003",--
"May 31, 2003",8.19
"Jun 30, 2003",4.86
"Jul 31, 2003",5.93
"Aug 31, 2003",7.11
"Sep 30, 2003",0.65
"Oct 31, 2003",8.74
"Nov 30, 2003",1.67
"Dec 31, 2003",7.99
"Jan 31, 2004",2.97
"Feb 29, 2004",3.76
"Mar 31, 2004",0.79
"Apr 30, 2004",-8.23
"May 31, 2004",-0.03
"Jun 30, 2004",0.38
"Jul 31, 2004",-2.44
"Aug 31, 2004",3.40
"Sep 30, 2004",5.94
"Oct 31, 2004",3.26
"Nov 30, 2004",9.97
"Dec 31, 2004",4.35
"Jan 31, 2005",0.54
"Feb 28, 2005",9.08
"Mar 31, 2005",-7.24
"Apr 30, 2005",-2.57
"May 31, 2005",3.59
"Jun 30, 2005",3.99
"Jul 31, 2005",7.79
"Aug 31, 2005",1.18
"Sep 30, 2005",8.47
"Oct 31, 2005",-6.73
"Nov 30, 2005",7.26
"Dec 31, 2005",5.88
"Jan 31, 2006",12.90
"Feb 28, 2006",-2.33
"Mar 31, 2006",1.74
"Apr 30, 2006",6.18
"May 31, 2006",-11.15
"Jun 30, 2006",-0.12
"Jul 31, 2006",2.14
"Aug 31, 2006",1.92
"Sep 30, 2006",-0.25
"Oct 31, 2006",5.75
"Nov 30, 2006",7.25
"Dec 31, 2006",4.96
"Jan 31, 2007",-0.62
"Feb 28, 2007",-1.64
"Mar 31, 2007",4.37
"Apr 30, 2007",4.47
"May 31, 2007",4.03
"Jun 30, 2007",3.62
"Jul 31, 2007",3.11
"Aug 31, 2007",-0.59
"Sep 30, 2007",11.18
"Oct 31, 2007",10.36
"Nov 30, 2007",-6.82
"Dec 31, 2007",-0.06
"Jan 31, 2008",-11.15
"Feb 29, 2008",5.17
"Mar 31, 2008",-5.21
"Apr 30, 2008",9.02
"May 31, 2008",3.06
"Jun 30, 2008",-9.09
"Jul 31, 2008",-4.65
"Aug 31, 2008",-7.05
"Sep 30, 2008",-15.55
"Oct 31, 2008",-25.71
"Nov 30, 2008",-8.87
"Dec 31, 2008",9.04
"Jan 31, 2009",-7.63
"Feb 28, 2009",-5.93
"Mar 31, 2009",15.33
"Apr 30, 2009",16.01
"May 31, 2009",15.09
"Jun 30, 2009",-1.46
"Jul 31, 2009",11.42
"Aug 31, 2009",-1.14
"Sep 30, 2009",9.22
"Oct 31, 2009",-1.40
"Nov 30, 2009",5.73
"Dec 31, 2009",3.90
"Jan 31, 2010",-6.75
"Feb 28, 2010",0.41
"Mar 31, 2010",7.93
"Apr 30, 2010",0.71
"May 31, 2010",-9.70
"Jun 30, 2010",-0.55
"Jul 31, 2010",9.02
"Aug 31, 2010",-2.48
"Sep 30, 2010",11.22
"Oct 31, 2010",3.02
"Nov 30, 2010",-2.65
"Dec 31, 2010",6.95
"Jan 31, 2011",-3.37
"Feb 28, 2011",-0.33
"Mar 31, 2011",5.70
"Apr 30, 2011",3.06
"May 31, 2011",-2.91
"Jun 30, 2011",-1.56
"Jul 31, 2011",-0.61
"Aug 31, 2011",-8.97
"Sep 30, 2011",-14.82
"Oct 31, 2011",13.44
"Nov 30, 2011",-6.37
"Dec 31, 2011",-1.16
"Jan 31, 2012",11.18
"Feb 29, 2012",5.73
"Mar 31, 2012",-3.28
"Apr 30, 2012",-1.16
"May 31, 2012",-11.48
"Jun 30, 2012",4.02
"Jul 31, 2012",1.81
"Aug 31, 2012",-0.41
"Sep 30, 2012",5.94
"Oct 31, 2012",-0.65
"Nov 30, 2012",1.24
"Dec 31, 2012",4.95
"Jan 31, 2013",1.26
"Feb 28, 2013",-1.43
"Mar 31, 2013",-1.95
"Apr 30, 2013",0.91
"May 31, 2013",-2.74
"Jun 30, 2013",-6.30
"Jul 31, 2013",1.08
"Aug 31, 2013",-1.79
"Sep 30, 2013",6.48
"Oct 31, 2013",4.84
