iShares MSCI Japan ETF,
,
Fund Inception,12-Mar-1996
,
Month End Date,Monthly Total (NAV) Return
"Mar 31, 1996",--
"Apr 30, 1996",5.39
"May 31, 1996",-5.11
"Jun 30, 1996",0.77
"Jul 31, 1996",-4.52
"Aug 31, 1996",-4.53
"Sep 30, 1996",3.49
"Oct 31, 1996",-6.81
"Nov 30, 1996",1.95
"Dec 31, 1996",-7.03
"Jan 31, 1997",-10.92
"Feb 28, 1997",2.14
"Mar 31, 1997",-2.85
"Apr 30, 1997",3.45
"May 31, 1997",10.60
"Jun 30, 1997",7.55
"Jul 31, 1997",-3.09
"Aug 31, 1997",-8.66
"Sep 30, 1997",-1.11
"Oct 31, 1997",-9.54
"Nov 30, 1997",-6.03
"Dec 31, 1997",-5.65
"Jan 31, 1998",8.50
"Feb 28, 1998",0.37
"Mar 31, 1998",-6.43
"Apr 30, 1998",-0.79
"May 31, 1998",-5.64
"Jun 30, 1998",1.36
"Jul 31, 1998",-1.65
"Aug 31, 1998",-11.67
"Sep 30, 1998",-2.38
"Oct 31, 1998",16.48
"Nov 30, 1998",4.51
"Dec 31, 1998",3.71
"Jan 31, 1999",0.39
"Feb 28, 1999",-2.31
"Mar 31, 1999",13.91
"Apr 30, 1999",3.81
"May 31, 1999",-5.34
"Jun 30, 1999",8.37
"Jul 31, 1999",9.59
"Aug 31, 1999",-1.57
"Sep 30, 1999",6.43
"Oct 31, 1999",4.19
"Nov 30, 1999",4.23
"Dec 31, 1999",6.46
"Jan 31, 2000",-4.52
"Feb 29, 2000",-2.46
"Mar 31, 2000",8.11
"Apr 30, 2000",-7.50
"May 31, 2000",-5.05
"Jun 30, 2000",6.51
"Jul 31, 2000",-11.70
"Aug 31, 2000",6.28
"Sep 30, 2000",-4.70
"Oct 31, 2000",-5.70
"Nov 30, 2000",-4.43
"Dec 31, 2000",-5.90
"Jan 31, 2001",-1.52
"Feb 28, 2001",-4.64
"Mar 31, 2001",-2.86
"Apr 30, 2001",7.07
"May 31, 2001",-0.28
"Jun 30, 2001",-5.88
"Jul 31, 2001",-8.98
"Aug 31, 2001",-2.79
"Sep 30, 2001",-8.27
"Oct 31, 2001",0.84
"Nov 30, 2001",0.12
"Dec 31, 2001",-6.79
"Jan 31, 2002",-8.05
"Feb 28, 2002",3.75
"Mar 31, 2002",8.30
"Apr 30, 2002",3.34
"May 31, 2002",6.46
"Jun 30, 2002",-5.06
"Jul 31, 2002",-6.98
"Aug 31, 2002",-1.15
"Sep 30, 2002",-4.51
"Oct 31, 2002",-6.74
"Nov 30, 2002",3.90
"Dec 31, 2002",-2.50
"Jan 31, 2003",-4.00
"Feb 28, 2003",0.59
"Mar 31, 2003",-4.28
"Apr 30, 2003",-0.93
"May 31, 2003",4.67
"Jun 30, 2003",7.44
