iShares MSCI USA ESG Select ETF,
,
Fund Inception,24-Jan-2005
,
Month End Date,Monthly Total (NAV) Return
"Jan 31, 2005",--
"Feb 28, 2005",0.74
"Mar 31, 2005",-1.52
"Apr 30, 2005",-1.61
"May 31, 2005",4.16
"Jun 30, 2005",-0.11
"Jul 31, 2005",2.89
"Aug 31, 2005",-0.67
"Sep 30, 2005",0.28
"Oct 31, 2005",-1.37
"Nov 30, 2005",3.85
"Dec 31, 2005",0.15
"Jan 31, 2006",1.69
"Feb 28, 2006",0.58
"Mar 31, 2006",1.32
"Apr 30, 2006",0.75
"May 31, 2006",-2.78
"Jun 30, 2006",0.22
"Jul 31, 2006",-0.35
"Aug 31, 2006",2.39
"Sep 30, 2006",2.97
"Oct 31, 2006",3.76
"Nov 30, 2006",1.00
"Dec 31, 2006",0.77
"Jan 31, 2007",1.15
"Feb 28, 2007",-2.23
"Mar 31, 2007",0.57
"Apr 30, 2007",4.71
"May 31, 2007",3.51
"Jun 30, 2007",-1.48
"Jul 31, 2007",-2.46
"Aug 31, 2007",1.84
"Sep 30, 2007",3.24
"Oct 31, 2007",0.94
"Nov 30, 2007",-4.40
"Dec 31, 2007",-1.05
"Jan 31, 2008",-6.27
"Feb 29, 2008",-2.31
"Mar 31, 2008",0.14
"Apr 30, 2008",3.65
"May 31, 2008",2.02
"Jun 30, 2008",-8.05
"Jul 31, 2008",0.41
"Aug 31, 2008",1.37
"Sep 30, 2008",-6.90
"Oct 31, 2008",-17.23
"Nov 30, 2008",-8.38
"Dec 31, 2008",0.26
"Jan 31, 2009",-7.43
"Feb 28, 2009",-10.28
"Mar 31, 2009",9.29
"Apr 30, 2009",10.06
"May 31, 2009",5.51
"Jun 30, 2009",0.11
"Jul 31, 2009",7.70
"Aug 31, 2009",3.58
"Sep 30, 2009",3.83
"Oct 31, 2009",-1.67
"Nov 30, 2009",6.03
"Dec 31, 2009",2.29
"Jan 31, 2010",-3.50
"Feb 28, 2010",2.92
"Mar 31, 2010",5.55
"Apr 30, 2010",1.22
"May 31, 2010",-7.97
"Jun 30, 2010",-5.13
"Jul 31, 2010",6.67
"Aug 31, 2010",-4.84
"Sep 30, 2010",9.02
"Oct 31, 2010",4.72
"Nov 30, 2010",0.21
"Dec 31, 2010",6.02
"Jan 31, 2011",1.53
"Feb 28, 2011",3.48
"Mar 31, 2011",-0.35
"Apr 30, 2011",3.28
"May 31, 2011",-0.93
"Jun 30, 2011",-1.26
"Jul 31, 2011",-1.99
"Aug 31, 2011",-6.22
"Sep 30, 2011",-6.17
"Oct 31, 2011",11.72
"Nov 30, 2011",0.00
"Dec 31, 2011",-0.33
"Jan 31, 2012",4.86
"Feb 29, 2012",4.11
"Mar 31, 2012",2.85
"Apr 30, 2012",-0.85
"May 31, 2012",-7.20
"Jun 30, 2012",1.68
"Jul 31, 2012",0.09
"Aug 31, 2012",2.56
"Sep 30, 2012",2.30
"Oct 31, 2012",-2.17
"Nov 30, 2012",1.11
"Dec 31, 2012",1.02
"Jan 31, 2013",5.66
"Feb 28, 2013",1.89
"Mar 31, 2013",4.10
"Apr 30, 2013",1.34
"May 31, 2013",2.14
"Jun 30, 2013",-1.23
"Jul 31, 2013",4.31
"Aug 31, 2013",-2.89
"Sep 30, 2013",3.52
"Oct 31, 2013",3.86
"Nov 30, 2013",2.07
"Dec 31, 2013",2.76
"Jan 31, 2014",-2.97
"Feb 28, 2014",4.86
"Mar 31, 2014",0.21
"Apr 30, 2014",0.54
"May 31, 2014",2.51
"Jun 30, 2014",2.58
"Jul 31, 2014",-2.19
"Aug 31, 2014",4.05
"Sep 30, 2014",-1.64
"Oct 31, 2014",1.95
"Nov 30, 2014",3.60
"Dec 31, 2014",-0.41
"Jan 31, 2015",-3.47
"Feb 28, 2015",5.01
"Mar 31, 2015",-1.40
"Apr 30, 2015",0.73
"May 31, 2015",1.17
"Jun 30, 2015",-2.41
"Jul 31, 2015",1.28
"Aug 31, 2015",-6.12
"Sep 30, 2015",-2.17
"Oct 31, 2015",8.00
"Nov 30, 2015",0.56
"Dec 31, 2015",-2.28
"Jan 31, 2016",-5.57
"Feb 29, 2016",0.75
"Mar 31, 2016",8.03
"Apr 30, 2016",-0.08
"May 31, 2016",2.23
"Jun 30, 2016",-0.04
"Jul 31, 2016",3.98
"Aug 31, 2016",1.19
"Sep 30, 2016",0.04
"Oct 31, 2016",-2.93
"Nov 30, 2016",3.06
"Dec 31, 2016",1.57
"Jan 31, 2017",1.74
"Feb 28, 2017",4.61
"Mar 31, 2017",0.71
"Apr 30, 2017",1.51
"May 31, 2017",2.24
"Jun 30, 2017",0.55
"Jul 31, 2017",1.14
"Aug 31, 2017",0.48
"Sep 30, 2017",1.12
"Oct 31, 2017",3.07
"Nov 30, 2017",2.24
"Dec 31, 2017",1.16
"Jan 31, 2018",5.55
"Feb 28, 2018",-3.35
"Mar 31, 2018",-2.05
"Apr 30, 2018",0.20
"May 31, 2018",1.06
"Jun 30, 2018",1.04
"Jul 31, 2018",3.20
"Aug 31, 2018",2.38
"Sep 30, 2018",0.81
"Oct 31, 2018",-7.31
"Nov 30, 2018",3.06
"Dec 31, 2018",-9.22
"Jan 31, 2019",7.89
"Feb 28, 2019",4.33
"Mar 31, 2019",2.24
