iShares Nasdaq Biotechnology ETF,
,
Fund Inception,05-Feb-2001
,
Month End Date,Monthly Total (NAV) Return
"Feb 28, 2001",--
"Mar 31, 2001",-20.39
"Apr 30, 2001",18.97
"May 31, 2001",8.28
"Jun 30, 2001",2.55
"Jul 31, 2001",-14.22
"Aug 31, 2001",1.00
"Sep 30, 2001",-15.45
"Oct 31, 2001",16.29
"Nov 30, 2001",9.58
"Dec 31, 2001",-4.00
"Jan 31, 2002",-14.16
"Feb 28, 2002",-4.51
"Mar 31, 2002",3.68
"Apr 30, 2002",-15.76
"May 31, 2002",-10.98
"Jun 30, 2002",-12.06
"Jul 31, 2002",0.78
"Aug 31, 2002",-4.71
"Sep 30, 2002",-5.07
"Oct 31, 2002",9.99
"Nov 30, 2002",9.08
"Dec 31, 2002",-10.98
"Jan 31, 2003",-2.20
"Feb 28, 2003",-1.42
"Mar 31, 2003",6.79
"Apr 30, 2003",12.06
"May 31, 2003",18.95
"Jun 30, 2003",-1.60
"Jul 31, 2003",9.00
"Aug 31, 2003",1.03
"Sep 30, 2003",-2.76
"Oct 31, 2003",-0.76
"Nov 30, 2003",-2.68
"Dec 31, 2003",4.24
"Jan 31, 2004",6.63
"Feb 29, 2004",0.66
"Mar 31, 2004",-0.19
"Apr 30, 2004",0.48
"May 31, 2004",-2.71
"Jun 30, 2004",-0.63
"Jul 31, 2004",-9.78
"Aug 31, 2004",0.10
"Sep 30, 2004",3.13
"Oct 31, 2004",-2.46
"Nov 30, 2004",3.44
"Dec 31, 2004",6.74
"Jan 31, 2005",-5.50
"Feb 28, 2005",-4.37
"Mar 31, 2005",-6.28
"Apr 30, 2005",-0.58
"May 31, 2005",4.87
"Jun 30, 2005",1.81
"Jul 31, 2005",11.95
"Aug 31, 2005",0.23
"Sep 30, 2005",1.25
"Oct 31, 2005",-3.84
"Nov 30, 2005",3.73
"Dec 31, 2005",0.86
"Jan 31, 2006",4.11
"Feb 28, 2006",4.31
"Mar 31, 2006",-2.19
"Apr 30, 2006",-5.62
"May 31, 2006",-5.28
"Jun 30, 2006",-1.13
"Jul 31, 2006",-1.45
"Aug 31, 2006",2.92
