iShares North American Tech-Multimedia Networking ETF,
,
Fund Inception,10-Jul-2001
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-18.20
"Sep 30, 2001",-23.22
"Oct 31, 2001",19.14
"Nov 30, 2001",16.17
"Dec 31, 2001",-7.38
"Jan 31, 2002",-3.29
"Feb 28, 2002",-23.28
"Mar 31, 2002",8.63
"Apr 30, 2002",-12.57
"May 31, 2002",-7.51
"Jun 30, 2002",-25.61
"Jul 31, 2002",-11.79
"Aug 31, 2002",-2.83
"Sep 30, 2002",-24.29
"Oct 31, 2002",20.87
"Nov 30, 2002",40.64
"Dec 31, 2002",-17.72
"Jan 31, 2003",9.58
"Feb 28, 2003",-1.29
"Mar 31, 2003",-1.03
"Apr 30, 2003",12.21
"May 31, 2003",22.99
"Jun 30, 2003",-1.31
"Jul 31, 2003",5.65
"Aug 31, 2003",10.56
"Sep 30, 2003",2.83
"Oct 31, 2003",14.16
"Nov 30, 2003",2.97
"Dec 31, 2003",-0.61
"Jan 31, 2004",25.54
"Feb 29, 2004",-0.81
"Mar 31, 2004",-8.54
"Apr 30, 2004",-13.48
"May 31, 2004",9.35
"Jun 30, 2004",6.53
"Jul 31, 2004",-14.76
"Aug 31, 2004",-4.30
"Sep 30, 2004",3.84
"Oct 31, 2004",4.92
"Nov 30, 2004",7.01
"Dec 31, 2004",0.83
"Jan 31, 2005",-10.81
"Feb 28, 2005",-3.47
"Mar 31, 2005",-2.68
"Apr 30, 2005",-3.50
"May 31, 2005",11.94
"Jun 30, 2005",-0.84
"Jul 31, 2005",9.81
"Aug 31, 2005",1.44
"Sep 30, 2005",3.20
"Oct 31, 2005",-4.98
"Nov 30, 2005",6.29
"Dec 31, 2005",-1.80
"Jan 31, 2006",10.92
"Feb 28, 2006",0.12
"Mar 31, 2006",5.77
"Apr 30, 2006",-3.87
"May 31, 2006",-10.56
"Jun 30, 2006",-4.02
"Jul 31, 2006",-12.76
"Aug 31, 2006",11.05
"Sep 30, 2006",5.73
"Oct 31, 2006",-0.49
"Nov 30, 2006",5.77
"Dec 31, 2006",-0.93
"Jan 31, 2007",-0.40
"Feb 28, 2007",2.91
"Mar 31, 2007",-2.76
"Apr 30, 2007",2.41
"May 31, 2007",5.67
"Jun 30, 2007",2.92
"Jul 31, 2007",-0.95
"Aug 31, 2007",1.08
"Sep 30, 2007",2.41
"Oct 31, 2007",4.02
"Nov 30, 2007",-10.28
"Dec 31, 2007",-0.38
"Jan 31, 2008",-12.24
"Feb 29, 2008",-5.36
"Mar 31, 2008",-3.43
"Apr 30, 2008",10.56
"May 31, 2008",7.49
"Jun 30, 2008",-12.03
"Jul 31, 2008",1.23
"Aug 31, 2008",2.25
"Sep 30, 2008",-21.59
"Oct 31, 2008",-19.10
"Nov 30, 2008",-9.94
"Dec 31, 2008",0.45
"Jan 31, 2009",0.53
"Feb 28, 2009",-10.54
"Mar 31, 2009",11.46
"Apr 30, 2009",28.41
"May 31, 2009",5.98
"Jun 30, 2009",2.73
"Jul 31, 2009",4.44
"Aug 31, 2009",-0.49
"Sep 30, 2009",9.52
"Oct 31, 2009",-6.20
"Nov 30, 2009",1.47
"Dec 31, 2009",5.51
"Jan 31, 2010",-6.34
"Feb 28, 2010",5.70
"Mar 31, 2010",7.49
"Apr 30, 2010",4.43
"May 31, 2010",-9.08
"Jun 30, 2010",-9.73
"Jul 31, 2010",11.51
"Aug 31, 2010",-6.16
"Sep 30, 2010",15.31
"Oct 31, 2010",4.08
"Nov 30, 2010",0.91
"Dec 31, 2010",7.53
"Jan 31, 2011",2.27
"Feb 28, 2011",9.82
"Mar 31, 2011",-5.34
"Apr 30, 2011",1.18
"May 31, 2011",-3.00
"Jun 30, 2011",-7.87
"Jul 31, 2011",-9.70
"Aug 31, 2011",-2.55
"Sep 30, 2011",-11.14
"Oct 31, 2011",14.12
"Nov 30, 2011",-1.01
"Dec 31, 2011",-3.50
"Jan 31, 2012",7.79
"Feb 29, 2012",3.73
"Mar 31, 2012",2.09
"Apr 30, 2012",-6.28
"May 31, 2012",-13.53
"Jun 30, 2012",0.03
"Jul 31, 2012",-2.81
"Aug 31, 2012",7.14
"Sep 30, 2012",3.58
"Oct 31, 2012",-7.39
"Nov 30, 2012",10.05
"Dec 31, 2012",3.81
"Jan 31, 2013",5.57
"Feb 28, 2013",-1.21
"Mar 31, 2013",0.22
"Apr 30, 2013",-4.38
"May 31, 2013",3.87
"Jun 30, 2013",-1.52
"Jul 31, 2013",4.28
"Aug 31, 2013",-2.60
"Sep 30, 2013",3.83
"Oct 31, 2013",-1.16
"Nov 30, 2013",1.77
"Dec 31, 2013",6.16
"Jan 31, 2014",3.40
"Feb 28, 2014",4.82
"Mar 31, 2014",-1.65
"Apr 30, 2014",-3.23
"May 31, 2014",2.67
"Jun 30, 2014",2.81
"Jul 31, 2014",-2.85
"Aug 31, 2014",2.40
"Sep 30, 2014",-1.80
"Oct 31, 2014",3.24
"Nov 30, 2014",3.25
"Dec 31, 2014",1.89
"Jan 31, 2015",-5.79
"Feb 28, 2015",10.66
"Mar 31, 2015",-2.48
"Apr 30, 2015",1.41
"May 31, 2015",4.42
"Jun 30, 2015",-4.51
"Jul 31, 2015",3.60
"Aug 31, 2015",-6.62
"Sep 30, 2015",-2.02
"Oct 31, 2015",6.11
"Nov 30, 2015",-0.05
"Dec 31, 2015",-3.30
"Jan 31, 2016",-10.83
"Feb 29, 2016",6.73
"Mar 31, 2016",4.66
"Apr 30, 2016",-2.71
"May 31, 2016",0.87
"Jun 30, 2016",-2.36
"Jul 31, 2016",6.23
"Aug 31, 2016",5.14
"Sep 30, 2016",5.00
"Oct 31, 2016",-1.88
"Nov 30, 2016",7.22
"Dec 31, 2016",1.41
"Jan 31, 2017",1.31
"Feb 28, 2017",4.34
"Mar 31, 2017",-1.13
"Apr 30, 2017",-1.21
"May 31, 2017",0.58
"Jun 30, 2017",1.31
"Jul 31, 2017",1.31
"Aug 31, 2017",-1.79
"Sep 30, 2017",1.48
"Oct 31, 2017",0.61
"Nov 30, 2017",5.30
"Dec 31, 2017",-1.38
"Jan 31, 2018",4.61
"Feb 28, 2018",1.87
"Mar 31, 2018",0.54
"Apr 30, 2018",0.33
"May 31, 2018",-0.91
"Jun 30, 2018",2.39
"Jul 31, 2018",-1.13
"Aug 31, 2018",9.02
"Sep 30, 2018",-2.08
"Oct 31, 2018",-8.80
"Nov 30, 2018",1.85
"Dec 31, 2018",-7.35
"Jan 31, 2019",7.74
"Feb 28, 2019",11.85
"Mar 31, 2019",-1.04
