iShares PHLX Semiconductor ETF,
,
Fund Inception,10-Jul-2001
,
Month End Date,Monthly Total (NAV) Return
"Jul 31, 2001",--
"Aug 31, 2001",-6.37
"Sep 30, 2001",-30.80
"Oct 31, 2001",21.65
"Nov 30, 2001",16.60
"Dec 31, 2001",-2.05
"Jan 31, 2002",4.28
"Feb 28, 2002",-10.97
"Mar 31, 2002",15.72
"Apr 30, 2002",-9.86
"May 31, 2002",-7.34
"Jun 30, 2002",-19.51
"Jul 31, 2002",-13.40
"Aug 31, 2002",-9.01
"Sep 30, 2002",-21.94
"Oct 31, 2002",23.13
"Nov 30, 2002",24.83
"Dec 31, 2002",-23.96
"Jan 31, 2003",-4.05
"Feb 28, 2003",7.99
"Mar 31, 2003",-2.35
"Apr 30, 2003",12.53
"May 31, 2003",15.50
"Jun 30, 2003",-3.63
"Jul 31, 2003",10.37
"Aug 31, 2003",16.26
"Sep 30, 2003",-7.25
"Oct 31, 2003",19.53
"Nov 30, 2003",5.33
"Dec 31, 2003",-4.09
"Jan 31, 2004",3.18
"Feb 29, 2004",-1.02
"Mar 31, 2004",-3.87
"Apr 30, 2004",-10.37
"May 31, 2004",10.24
"Jun 30, 2004",-2.88
"Jul 31, 2004",-14.59
"Aug 31, 2004",-9.48
"Sep 30, 2004",4.63
"Oct 31, 2004",6.03
"Nov 30, 2004",3.27
"Dec 31, 2004",2.55
"Jan 31, 2005",-7.39
"Feb 28, 2005",7.82
"Mar 31, 2005",-5.00
"Apr 30, 2005",-6.11
"May 31, 2005",11.49
"Jun 30, 2005",-1.35
"Jul 31, 2005",11.54
"Aug 31, 2005",0.10
"Sep 30, 2005",0.88
"Oct 31, 2005",-6.06
"Nov 30, 2005",10.86
"Dec 31, 2005",-1.36
"Jan 31, 2006",8.95
"Feb 28, 2006",-2.36
"Mar 31, 2006",0.29
"Apr 30, 2006",2.59
"May 31, 2006",-9.46
"Jun 30, 2006",-4.16
"Jul 31, 2006",-4.15
"Aug 31, 2006",8.87
"Sep 30, 2006",1.82
"Oct 31, 2006",-0.87
"Nov 30, 2006",3.02
"Dec 31, 2006",-2.79
"Jan 31, 2007",-0.36
"Feb 28, 2007",1.73
"Mar 31, 2007",-2.34
"Apr 30, 2007",5.97
"May 31, 2007",0.81
"Jun 30, 2007",2.21
"Jul 31, 2007",0.19
"Aug 31, 2007",1.28
"Sep 30, 2007",1.31
"Oct 31, 2007",-4.13
"Nov 30, 2007",-8.55
"Dec 31, 2007",0.63
"Jan 31, 2008",-13.74
"Feb 29, 2008",-2.34
"Mar 31, 2008",-0.84
"Apr 30, 2008",7.42
"May 31, 2008",8.46
"Jun 30, 2008",-11.35
"Jul 31, 2008",-8.26
"Aug 31, 2008",4.30
"Sep 30, 2008",-16.90
"Oct 31, 2008",-17.80
"Nov 30, 2008",-18.91
"Dec 31, 2008",5.61
"Jan 31, 2009",-2.96
"Feb 28, 2009",-1.52
"Mar 31, 2009",14.73
"Apr 30, 2009",12.48
"May 31, 2009",4.40
"Jun 30, 2009",0.63
"Jul 31, 2009",15.26
"Aug 31, 2009",2.72
"Sep 30, 2009",3.13
"Oct 31, 2009",-9.35
"Nov 30, 2009",6.79
"Dec 31, 2009",14.03
"Jan 31, 2010",-12.63
"Feb 28, 2010",7.88
"Mar 31, 2010",6.49
"Apr 30, 2010",2.07
"May 31, 2010",-6.57
"Jun 30, 2010",-6.91
"Jul 31, 2010",5.29
"Aug 31, 2010",-10.39
"Sep 30, 2010",14.95
"Oct 31, 2010",6.78
"Nov 30, 2010",4.87
"Dec 31, 2010",5.54
"Jan 31, 2011",6.95
"Feb 28, 2011",4.27
"Mar 31, 2011",-4.63
"Apr 30, 2011",2.89
"May 31, 2011",-2.04
"Jun 30, 2011",-6.53
"Jul 31, 2011",-5.71
"Aug 31, 2011",-7.81
"Sep 30, 2011",-4.78
"Oct 31, 2011",14.08
"Nov 30, 2011",-3.19
"Dec 31, 2011",-2.26
"Jan 31, 2012",12.22
"Feb 29, 2012",3.91
"Mar 31, 2012",3.39
"Apr 30, 2012",-5.75
"May 31, 2012",-10.67
"Jun 30, 2012",4.65
"Jul 31, 2012",-0.21
"Aug 31, 2012",3.47
"Sep 30, 2012",-3.51
"Oct 31, 2012",-3.95
"Nov 30, 2012",2.27
"Dec 31, 2012",2.66
"Jan 31, 2013",7.48
"Feb 28, 2013",3.61
"Mar 31, 2013",2.35
"Apr 30, 2013",1.79
"May 31, 2013",5.71
"Jun 30, 2013",-0.03
"Jul 31, 2013",2.20
"Aug 31, 2013",-3.96
"Sep 30, 2013",7.23
"Oct 31, 2013",3.35
"Nov 30, 2013",0.89
"Dec 31, 2013",4.99
"Jan 31, 2014",-1.06
"Feb 28, 2014",6.77
"Mar 31, 2014",4.09
"Apr 30, 2014",-1.79
"May 31, 2014",4.34
"Jun 30, 2014",6.09
"Jul 31, 2014",-4.36
"Aug 31, 2014",6.44
"Sep 30, 2014",-1.02
"Oct 31, 2014",0.41
"Nov 30, 2014",7.20
"Dec 31, 2014",0.17
"Jan 31, 2015",-4.89
"Feb 28, 2015",9.64
"Mar 31, 2015",-2.64
"Apr 30, 2015",-1.28
"May 31, 2015",8.81
"Jun 30, 2015",-8.54
"Jul 31, 2015",-5.00
"Aug 31, 2015",-5.17
"Sep 30, 2015",-1.31
"Oct 31, 2015",9.94
"Nov 30, 2015",2.46
"Dec 31, 2015",-1.96
"Jan 31, 2016",-7.48
"Feb 29, 2016",1.70
"Mar 31, 2016",8.82
"Apr 30, 2016",-4.65
"May 31, 2016",8.68
"Jun 30, 2016",-0.94
"Jul 31, 2016",10.86
"Aug 31, 2016",4.73
"Sep 30, 2016",4.28
"Oct 31, 2016",-1.48
"Nov 30, 2016",7.08
"Dec 31, 2016",3.09
"Jan 31, 2017",4.20
"Feb 28, 2017",2.86
"Mar 31, 2017",4.37
"Apr 30, 2017",-0.54
"May 31, 2017",8.73
"Jun 30, 2017",-5.01
"Jul 31, 2017",4.86
"Aug 31, 2017",2.89
"Sep 30, 2017",5.19
"Oct 31, 2017",8.88
"Nov 30, 2017",-0.03
"Dec 31, 2017",-1.49
"Jan 31, 2018",8.66
"Feb 28, 2018",0.22
"Mar 31, 2018",-2.37
"Apr 30, 2018",-6.37
"May 31, 2018",11.09
"Jun 30, 2018",-4.55
"Jul 31, 2018",4.10
"Aug 31, 2018",2.61
"Sep 30, 2018",-2.31
"Oct 31, 2018",-12.00
"Nov 30, 2018",3.28
"Dec 31, 2018",-6.58
"Jan 31, 2019",10.14
"Feb 28, 2019",6.31
"Mar 31, 2019",3.52
