iShares Preferred and Income Securities ETF,
,
Fund Inception,26-Mar-2007
,
Month End Date,Monthly Total (NAV) Return
"Mar 31, 2007",--
"Apr 30, 2007",0.40
"May 31, 2007",0.30
"Jun 30, 2007",-0.61
"Jul 31, 2007",-2.89
"Aug 31, 2007",-0.37
"Sep 30, 2007",-0.26
"Oct 31, 2007",1.46
"Nov 30, 2007",-7.83
"Dec 31, 2007",-4.29
"Jan 31, 2008",10.93
"Feb 29, 2008",-0.36
"Mar 31, 2008",-5.81
"Apr 30, 2008",6.81
"May 31, 2008",-0.88
"Jun 30, 2008",-9.74
"Jul 31, 2008",-4.68
"Aug 31, 2008",0.50
"Sep 30, 2008",-26.12
"Oct 31, 2008",5.56
"Nov 30, 2008",-7.62
"Dec 31, 2008",11.79
"Jan 31, 2009",-11.83
"Feb 28, 2009",-23.55
"Mar 31, 2009",18.11
"Apr 30, 2009",18.83
"May 31, 2009",18.77
"Jun 30, 2009",2.92
"Jul 31, 2009",11.75
"Aug 31, 2009",-1.26
"Sep 30, 2009",4.67
"Oct 31, 2009",-3.23
"Nov 30, 2009",1.44
"Dec 31, 2009",6.24
"Jan 31, 2010",1.01
"Feb 28, 2010",3.55
"Mar 31, 2010",1.95
"Apr 30, 2010",-0.03
"May 31, 2010",-4.35
"Jun 30, 2010",1.58
"Jul 31, 2010",6.72
"Aug 31, 2010",2.65
"Sep 30, 2010",0.40
"Oct 31, 2010",0.10
"Nov 30, 2010",-0.62
"Dec 31, 2010",0.58
"Jan 31, 2011",0.59
"Feb 28, 2011",1.60
"Mar 31, 2011",1.07
"Apr 30, 2011",1.35
"May 31, 2011",0.70
"Jun 30, 2011",-0.57
"Jul 31, 2011",-1.84
"Aug 31, 2011",-1.61
"Sep 30, 2011",-4.95
"Oct 31, 2011",4.71
"Nov 30, 2011",-2.95
"Dec 31, 2011",0.01
"Jan 31, 2012",7.11
"Feb 29, 2012",3.07
"Mar 31, 2012",-0.06
"Apr 30, 2012",0.28
"May 31, 2012",-0.99
"Jun 30, 2012",2.37
"Jul 31, 2012",1.48
"Aug 31, 2012",1.48
"Sep 30, 2012",0.68
"Oct 31, 2012",1.14
"Nov 30, 2012",0.08
"Dec 31, 2012",0.47
"Jan 31, 2013",1.16
"Feb 28, 2013",0.75
"Mar 31, 2013",0.97
"Apr 30, 2013",1.23
"May 31, 2013",-0.66
"Jun 30, 2013",-2.23
"Jul 31, 2013",-0.62
"Aug 31, 2013",-1.85
"Sep 30, 2013",0.26
"Oct 31, 2013",1.16
"Nov 30, 2013",0.40
"Dec 31, 2013",-1.10
"Jan 31, 2014",2.60
"Feb 28, 2014",2.23
"Mar 31, 2014",1.80
"Apr 30, 2014",1.78
"May 31, 2014",1.32
"Jun 30, 2014",0.54
"Jul 31, 2014",-0.45
"Aug 31, 2014",1.69
"Sep 30, 2014",-0.78
"Oct 31, 2014",1.10
"Nov 30, 2014",1.24
"Dec 31, 2014",-0.32
"Jan 31, 2015",1.53
"Feb 28, 2015",0.85
"Mar 31, 2015",0.37
"Apr 30, 2015",-0.11
"May 31, 2015",0.24
"Jun 30, 2015",-1.11
"Jul 31, 2015",1.34
"Aug 31, 2015",-0.57
"Sep 30, 2015",-0.94
"Oct 31, 2015",2.24
"Nov 30, 2015",0.59
"Dec 31, 2015",0.15
"Jan 31, 2016",-1.00
"Feb 29, 2016",-0.30
"Mar 31, 2016",2.43
"Apr 30, 2016",0.94
"May 31, 2016",1.60
"Jun 30, 2016",1.16
"Jul 31, 2016",1.30
"Aug 31, 2016",0.20
"Sep 30, 2016",-1.10
"Oct 31, 2016",-0.90
"Nov 30, 2016",-3.25
"Dec 31, 2016",0.31
"Jan 31, 2017",2.36
"Feb 28, 2017",2.11
"Mar 31, 2017",0.55
"Apr 30, 2017",1.12
"May 31, 2017",0.40
"Jun 30, 2017",0.98
"Jul 31, 2017",0.71
"Aug 31, 2017",-0.01
"Sep 30, 2017",-0.11
"Oct 31, 2017",-0.50
"Nov 30, 2017",0.55
"Dec 31, 2017",-0.10
"Jan 31, 2018",-1.34
"Feb 28, 2018",0.21
"Mar 31, 2018",0.49
"Apr 30, 2018",-0.68
"May 31, 2018",0.87
"Jun 30, 2018",1.52
"Jul 31, 2018",0.43
"Aug 31, 2018",1.09
"Sep 30, 2018",-1.46
"Oct 31, 2018",-2.19
"Nov 30, 2018",-2.20
"Dec 31, 2018",-1.53
"Jan 31, 2019",4.85
"Feb 28, 2019",1.34
"Mar 31, 2019",1.16
