iShares Russell 1000 ETF,
,
Fund Inception,15-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",2.51
"Jul 31, 2000",-1.70
"Aug 31, 2000",7.44
"Sep 30, 2000",-4.68
"Oct 31, 2000",-1.16
"Nov 30, 2000",-9.14
"Dec 31, 2000",1.19
"Jan 31, 2001",3.27
"Feb 28, 2001",-9.33
"Mar 31, 2001",-6.62
"Apr 30, 2001",8.01
"May 31, 2001",0.67
"Jun 30, 2001",-2.27
"Jul 31, 2001",-1.39
"Aug 31, 2001",-6.09
"Sep 30, 2001",-8.47
"Oct 31, 2001",2.01
"Nov 30, 2001",7.67
"Dec 31, 2001",1.05
"Jan 31, 2002",-1.27
"Feb 28, 2002",-2.01
"Mar 31, 2002",4.11
"Apr 30, 2002",-5.74
"May 31, 2002",-0.87
"Jun 30, 2002",-7.42
"Jul 31, 2002",-7.36
"Aug 31, 2002",0.52
"Sep 30, 2002",-10.75
"Oct 31, 2002",8.29
"Nov 30, 2002",5.81
"Dec 31, 2002",-5.65
"Jan 31, 2003",-2.44
"Feb 28, 2003",-1.56
"Mar 31, 2003",1.03
"Apr 30, 2003",8.04
"May 31, 2003",5.68
"Jun 30, 2003",1.31
"Jul 31, 2003",1.98
"Aug 31, 2003",2.02
"Sep 30, 2003",-1.03
"Oct 31, 2003",5.85
"Nov 30, 2003",1.19
"Dec 31, 2003",4.77
"Jan 31, 2004",1.88
"Feb 29, 2004",1.38
"Mar 31, 2004",-1.37
"Apr 30, 2004",-1.82
"May 31, 2004",1.43
"Jun 30, 2004",1.79
"Jul 31, 2004",-3.50
"Aug 31, 2004",0.49
"Sep 30, 2004",1.24
"Oct 31, 2004",1.61
"Nov 30, 2004",4.26
"Dec 31, 2004",3.60
"Jan 31, 2005",-2.53
"Feb 28, 2005",2.24
"Mar 31, 2005",-1.58
"Apr 30, 2005",-1.85
"May 31, 2005",3.52
"Jun 30, 2005",0.41
"Jul 31, 2005",3.87
"Aug 31, 2005",-0.85
"Sep 30, 2005",0.91
"Oct 31, 2005",-1.77
"Nov 30, 2005",3.79
"Dec 31, 2005",0.13
"Jan 31, 2006",2.79
"Feb 28, 2006",0.21
"Mar 31, 2006",1.42
"Apr 30, 2006",1.19
"May 31, 2006",-2.97
"Jun 30, 2006",0.13
"Jul 31, 2006",0.22
"Aug 31, 2006",2.37
"Sep 30, 2006",2.37
"Oct 31, 2006",3.36
"Nov 30, 2006",2.12
"Dec 31, 2006",1.27
"Jan 31, 2007",1.92
"Feb 28, 2007",-1.72
"Mar 31, 2007",1.01
"Apr 30, 2007",4.20
"May 31, 2007",3.58
"Jun 30, 2007",-1.91
"Jul 31, 2007",-3.09
"Aug 31, 2007",1.34
"Sep 30, 2007",3.81
"Oct 31, 2007",1.74
"Nov 30, 2007",-4.27
"Dec 31, 2007",-0.65
"Jan 31, 2008",-6.00
"Feb 29, 2008",-3.05
"Mar 31, 2008",-0.69
"Apr 30, 2008",5.05
"May 31, 2008",1.83
"Jun 30, 2008",-8.30
"Jul 31, 2008",-1.15
"Aug 31, 2008",1.37
"Sep 30, 2008",-9.51
"Oct 31, 2008",-17.42
"Nov 30, 2008",-7.54
"Dec 31, 2008",1.59
"Jan 31, 2009",-8.16
"Feb 28, 2009",-10.28
"Mar 31, 2009",8.72
"Apr 30, 2009",10.10
"May 31, 2009",5.52
"Jun 30, 2009",0.24
"Jul 31, 2009",7.63
"Aug 31, 2009",3.62
"Sep 30, 2009",4.04
"Oct 31, 2009",-2.22
"Nov 30, 2009",5.87
"Dec 31, 2009",2.42
"Jan 31, 2010",-3.60
"Feb 28, 2010",3.28
"Mar 31, 2010",6.11
"Apr 30, 2010",1.84
"May 31, 2010",-7.92
"Jun 30, 2010",-5.55
"Jul 31, 2010",6.93
"Aug 31, 2010",-4.47
"Sep 30, 2010",9.16
"Oct 31, 2010",3.88
"Nov 30, 2010",0.30
"Dec 31, 2010",6.66
"Jan 31, 2011",2.37
"Feb 28, 2011",3.47
"Mar 31, 2011",0.25
"Apr 30, 2011",2.99
"May 31, 2011",-1.09
"Jun 30, 2011",-1.74
"Jul 31, 2011",-2.17
"Aug 31, 2011",-5.78
"Sep 30, 2011",-7.45
"Oct 31, 2011",11.17
"Nov 30, 2011",-0.27
"Dec 31, 2011",0.83
"Jan 31, 2012",4.85
"Feb 29, 2012",4.37
"Mar 31, 2012",3.11
"Apr 30, 2012",-0.58
"May 31, 2012",-6.15
"Jun 30, 2012",3.81
