iShares S&P 500 Growth ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",8.05
"Jul 31, 2000",-4.48
"Aug 31, 2000",5.77
"Sep 30, 2000",-9.76
"Oct 31, 2000",-2.62
"Nov 30, 2000",-10.63
"Dec 31, 2000",-4.36
"Jan 31, 2001",2.82
"Feb 28, 2001",-11.76
"Mar 31, 2001",-9.01
"Apr 30, 2001",8.91
"May 31, 2001",0.23
"Jun 30, 2001",-1.36
"Jul 31, 2001",-0.28
"Aug 31, 2001",-6.72
"Sep 30, 2001",-6.73
"Oct 31, 2001",3.67
"Nov 30, 2001",8.84
"Dec 31, 2001",0.12
"Jan 31, 2002",-0.16
"Feb 28, 2002",-2.97
"Mar 31, 2002",2.37
"Apr 30, 2002",-7.18
"May 31, 2002",-1.94
"Jun 30, 2002",-8.03
"Jul 31, 2002",-4.80
"Aug 31, 2002",0.62
"Sep 30, 2002",-10.36
"Oct 31, 2002",9.22
"Nov 30, 2002",4.81
"Dec 31, 2002",-6.50
"Jan 31, 2003",-2.52
"Feb 28, 2003",-0.30
"Mar 31, 2003",2.01
"Apr 30, 2003",6.67
"May 31, 2003",3.23
"Jun 30, 2003",1.79
"Jul 31, 2003",1.29
"Aug 31, 2003",1.73
"Sep 30, 2003",-0.33
"Oct 31, 2003",4.49
"Nov 30, 2003",0.83
"Dec 31, 2003",4.30
"Jan 31, 2004",1.87
"Feb 29, 2004",0.51
"Mar 31, 2004",-2.37
"Apr 30, 2004",-0.65
"May 31, 2004",1.58
"Jun 30, 2004",1.70
"Jul 31, 2004",-4.72
"Aug 31, 2004",-0.32
"Sep 30, 2004",0.23
"Oct 31, 2004",1.52
"Nov 30, 2004",3.15
"Dec 31, 2004",3.55
"Jan 31, 2005",-2.45
"Feb 28, 2005",2.39
"Mar 31, 2005",-1.78
"Apr 30, 2005",-1.77
"May 31, 2005",3.19
"Jun 30, 2005",-1.27
"Jul 31, 2005",4.31
"Aug 31, 2005",-1.10
"Sep 30, 2005",0.57
"Oct 31, 2005",-1.59
"Nov 30, 2005",3.79
"Dec 31, 2005",-0.21
"Jan 31, 2006",2.33
"Feb 28, 2006",-0.53
"Mar 31, 2006",0.78
"Apr 30, 2006",-0.10
"May 31, 2006",-3.33
"Jun 30, 2006",-0.08
"Jul 31, 2006",0.20
"Aug 31, 2006",3.25
"Sep 30, 2006",2.47
"Oct 31, 2006",3.17
"Nov 30, 2006",1.99
"Dec 31, 2006",0.34
"Jan 31, 2007",1.23
"Feb 28, 2007",-2.24
"Mar 31, 2007",0.90
"Apr 30, 2007",4.68
"May 31, 2007",3.10
"Jun 30, 2007",-1.25
"Jul 31, 2007",-2.23
"Aug 31, 2007",1.64
"Sep 30, 2007",4.36
"Oct 31, 2007",2.13
"Nov 30, 2007",-3.52
"Dec 31, 2007",0.15
"Jan 31, 2008",-8.34
"Feb 29, 2008",-1.31
"Mar 31, 2008",-0.41
"Apr 30, 2008",5.93
"May 31, 2008",2.36
"Jun 30, 2008",-5.91
"Jul 31, 2008",-2.73
"Aug 31, 2008",1.53
"Sep 30, 2008",-10.15
"Oct 31, 2008",-16.51
"Nov 30, 2008",-5.53
"Dec 31, 2008",1.15
"Jan 31, 2009",-4.90
"Feb 28, 2009",-8.49
"Mar 31, 2009",7.80
"Apr 30, 2009",8.31
"May 31, 2009",4.91
"Jun 30, 2009",0.81
"Jul 31, 2009",6.78
"Aug 31, 2009",1.96
"Sep 30, 2009",4.24
"Oct 31, 2009",-0.26
"Nov 30, 2009",5.75
"Dec 31, 2009",2.12
"Jan 31, 2010",-5.16
"Feb 28, 2010",3.46
"Mar 31, 2010",5.68
"Apr 30, 2010",1.25
"May 31, 2010",-8.04
"Jun 30, 2010",-4.74
"Jul 31, 2010",6.91
"Aug 31, 2010",-4.36
"Sep 30, 2010",10.08
"Oct 31, 2010",4.99
"Nov 30, 2010",0.47
"Dec 31, 2010",5.19
"Jan 31, 2011",1.54
"Feb 28, 2011",3.16
"Mar 31, 2011",0.28
"Apr 30, 2011",3.36
"May 31, 2011",-0.47
"Jun 30, 2011",-1.26
"Jul 31, 2011",-0.59
"Aug 31, 2011",-4.76
"Sep 30, 2011",-6.60
"Oct 31, 2011",10.55
"Nov 30, 2011",-0.15
"Dec 31, 2011",0.32
"Jan 31, 2012",4.11
"Feb 29, 2012",4.43
"Mar 31, 2012",3.20
"Apr 30, 2012",-0.04
"May 31, 2012",-5.47
"Jun 30, 2012",3.63
"Jul 31, 2012",1.81
"Aug 31, 2012",2.28
"Sep 30, 2012",2.11
"Oct 31, 2012",-2.83
"Nov 30, 2012",0.93
"Dec 31, 2012",-0.16
"Jan 31, 2013",3.93
"Feb 28, 2013",1.33
"Mar 31, 2013",3.76
"Apr 30, 2013",2.03
"May 31, 2013",2.19
"Jun 30, 2013",-1.76
"Jul 31, 2013",5.06
"Aug 31, 2013",-2.24
"Sep 30, 2013",3.75
"Oct 31, 2013",4.78
"Nov 30, 2013",3.24
"Dec 31, 2013",2.68
"Jan 31, 2014",-2.96
"Feb 28, 2014",5.22
"Mar 31, 2014",-0.74
"Apr 30, 2014",0.28
"May 31, 2014",3.34
"Jun 30, 2014",2.05
"Jul 31, 2014",-1.26
"Aug 31, 2014",4.33
"Sep 30, 2014",-1.11
"Oct 31, 2014",2.92
"Nov 30, 2014",3.03
"Dec 31, 2014",-0.97
"Jan 31, 2015",-1.68
"Feb 28, 2015",5.97
"Mar 31, 2015",-1.68
"Apr 30, 2015",0.47
"May 31, 2015",1.76
"Jun 30, 2015",-1.93
"Jul 31, 2015",3.60
"Aug 31, 2015",-6.09
"Sep 30, 2015",-2.22
"Oct 31, 2015",9.38
"Nov 30, 2015",0.10
"Dec 31, 2015",-1.53
"Jan 31, 2016",-5.05
"Feb 29, 2016",-0.79
"Mar 31, 2016",6.70
"Apr 30, 2016",-1.28
"May 31, 2016",2.66
"Jun 30, 2016",-0.37
"Jul 31, 2016",4.63
"Aug 31, 2016",-0.30
"Sep 30, 2016",0.38
"Oct 31, 2016",-2.14
"Nov 30, 2016",1.22
"Dec 31, 2016",1.41
"Jan 31, 2017",2.97
"Feb 28, 2017",4.06
"Mar 31, 2017",1.24
"Apr 30, 2017",1.93
"May 31, 2017",2.81
"Jun 30, 2017",-0.41
"Jul 31, 2017",2.59
"Aug 31, 2017",1.46
"Sep 30, 2017",1.10
"Oct 31, 2017",3.26
"Nov 30, 2017",2.80
"Dec 31, 2017",0.57
"Jan 31, 2018",7.21
"Feb 28, 2018",-2.04
"Mar 31, 2018",-3.00
"Apr 30, 2018",0.26
"May 31, 2018",4.31
"Jun 30, 2018",0.59
"Jul 31, 2018",3.41
"Aug 31, 2018",4.85
"Sep 30, 2018",0.74
"Oct 31, 2018",-8.06
"Nov 30, 2018",1.52
"Dec 31, 2018",-8.64
"Jan 31, 2019",7.49
"Feb 28, 2019",4.07
