iShares S&P 500 Value ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",-3.93
"Jul 31, 2000",1.98
"Aug 31, 2000",6.68
"Sep 30, 2000",-0.05
"Oct 31, 2000",1.86
"Nov 30, 2000",-5.12
"Dec 31, 2000",5.12
"Jan 31, 2001",4.20
"Feb 28, 2001",-6.64
"Mar 31, 2001",-3.94
"Apr 30, 2001",6.76
"May 31, 2001",1.03
"Jun 30, 2001",-3.25
"Jul 31, 2001",-1.75
"Aug 31, 2001",-5.78
"Sep 30, 2001",-9.51
"Oct 31, 2001",-0.01
"Nov 30, 2001",6.32
"Dec 31, 2001",1.51
"Jan 31, 2002",-2.74
"Feb 28, 2002",-0.91
"Mar 31, 2002",5.09
"Apr 30, 2002",-5.02
"May 31, 2002",0.39
"Jun 30, 2002",-6.33
"Jul 31, 2002",-10.79
"Aug 31, 2002",0.65
"Sep 30, 2002",-11.40
"Oct 31, 2002",8.27
"Nov 30, 2002",7.00
"Dec 31, 2002",-5.22
"Jan 31, 2003",-2.75
"Feb 28, 2003",-2.73
"Mar 31, 2003",-0.15
"Apr 30, 2003",9.86
"May 31, 2003",7.35
"Jun 30, 2003",0.70
"Jul 31, 2003",2.20
"Aug 31, 2003",2.15
"Sep 30, 2003",-1.83
"Oct 31, 2003",6.82
"Nov 30, 2003",0.88
"Dec 31, 2003",6.15
"Jan 31, 2004",1.75
"Feb 29, 2004",2.25
"Mar 31, 2004",-0.72
"Apr 30, 2004",-2.47
"May 31, 2004",1.13
"Jun 30, 2004",2.16
"Jul 31, 2004",-1.91
"Aug 31, 2004",1.07
"Sep 30, 2004",1.88
"Oct 31, 2004",1.49
"Nov 30, 2004",4.86
"Dec 31, 2004",3.24
"Jan 31, 2005",-2.45
"Feb 28, 2005",1.80
"Mar 31, 2005",-1.75
"Apr 30, 2005",-2.05
"May 31, 2005",3.15
"Jun 30, 2005",1.49
"Jul 31, 2005",3.13
"Aug 31, 2005",-0.75
"Sep 30, 2005",1.03
"Oct 31, 2005",-1.75
"Nov 30, 2005",3.72
"Dec 31, 2005",0.24
"Jan 31, 2006",2.98
"Feb 28, 2006",1.06
"Mar 31, 2006",1.69
"Apr 30, 2006",2.79
"May 31, 2006",-2.46
"Jun 30, 2006",0.32
"Jul 31, 2006",0.99
"Aug 31, 2006",1.52
"Sep 30, 2006",2.65
"Oct 31, 2006",3.31
"Nov 30, 2006",1.77
"Dec 31, 2006",2.40
"Jan 31, 2007",1.75
"Feb 28, 2007",-1.71
"Mar 31, 2007",1.29
"Apr 30, 2007",4.18
"May 31, 2007",3.79
"Jun 30, 2007",-2.06
"Jul 31, 2007",-3.92
"Aug 31, 2007",1.33
"Sep 30, 2007",3.08
"Oct 31, 2007",1.04
"Nov 30, 2007",-4.86
"Dec 31, 2007",-1.58
"Jan 31, 2008",-3.51
"Feb 29, 2008",-5.21
"Mar 31, 2008",-0.49
"Apr 30, 2008",3.69
"May 31, 2008",0.13
"Jun 30, 2008",-11.20
"Jul 31, 2008",1.34
"Aug 31, 2008",1.34
"Sep 30, 2008",-7.48
"Oct 31, 2008",-17.06
"Nov 30, 2008",-8.98
"Dec 31, 2008",0.93
"Jan 31, 2009",-12.09
"Feb 28, 2009",-13.03
"Mar 31, 2009",9.84
"Apr 30, 2009",11.00
"May 31, 2009",6.35
"Jun 30, 2009",-0.45
"Jul 31, 2009",8.40
"Aug 31, 2009",5.42
"Sep 30, 2009",3.14
"Oct 31, 2009",-3.63
"Nov 30, 2009",6.24
"Dec 31, 2009",1.75
"Jan 31, 2010",-2.02
"Feb 28, 2010",2.74
"Mar 31, 2010",6.34
"Apr 30, 2010",1.86
"May 31, 2010",-7.91
"Jun 30, 2010",-5.73
"Jul 31, 2010",7.07
"Aug 31, 2010",-4.68
"Sep 30, 2010",7.71
"Oct 31, 2010",2.56
"Nov 30, 2010",-0.47
"Dec 31, 2010",8.18
"Jan 31, 2011",3.23
"Feb 28, 2011",3.67
"Mar 31, 2011",-0.24
"Apr 30, 2011",2.53
"May 31, 2011",-1.85
"Jun 30, 2011",-2.11
"Jul 31, 2011",-3.58
"Aug 31, 2011",-6.18
"Sep 30, 2011",-7.49
"Oct 31, 2011",11.26
"Nov 30, 2011",-0.31
"Dec 31, 2011",1.80
"Jan 31, 2012",4.87
"Feb 29, 2012",4.15
"Mar 31, 2012",3.35
"Apr 30, 2012",-1.34
"May 31, 2012",-6.68
"Jun 30, 2012",4.70
"Jul 31, 2012",0.85
"Aug 31, 2012",2.16
"Sep 30, 2012",3.11
"Oct 31, 2012",-0.68
"Nov 30, 2012",0.14
"Dec 31, 2012",2.15
"Jan 31, 2013",6.48
"Feb 28, 2013",1.34
"Mar 31, 2013",3.70
"Apr 30, 2013",1.76
"May 31, 2013",2.47
"Jun 30, 2013",-0.93
"Jul 31, 2013",5.07
"Aug 31, 2013",-3.59
"Sep 30, 2013",2.45
"Oct 31, 2013",4.34
"Nov 30, 2013",2.80
"Dec 31, 2013",2.32
"Jan 31, 2014",-4.00
"Feb 28, 2014",3.82
"Mar 31, 2014",2.55
"Apr 30, 2014",1.20
"May 31, 2014",1.25
"Jun 30, 2014",2.04
"Jul 31, 2014",-1.54
"Aug 31, 2014",3.59
"Sep 30, 2014",-1.76
"Oct 31, 2014",1.88
"Nov 30, 2014",2.27
"Dec 31, 2014",0.54
"Jan 31, 2015",-4.45
"Feb 28, 2015",5.48
"Mar 31, 2015",-1.50
"Apr 30, 2015",1.49
"May 31, 2015",0.72
"Jun 30, 2015",-1.98
"Jul 31, 2015",0.41
"Aug 31, 2015",-5.99
"Sep 30, 2015",-2.79
"Oct 31, 2015",7.30
"Nov 30, 2015",0.50
"Dec 31, 2015",-1.69
"Jan 31, 2016",-4.90
"Feb 29, 2016",0.53
"Mar 31, 2016",6.84
"Apr 30, 2016",2.09
"May 31, 2016",0.89
"Jun 30, 2016",0.88
"Jul 31, 2016",2.70
"Aug 31, 2016",0.58
"Sep 30, 2016",-0.38
"Oct 31, 2016",-1.54
"Nov 30, 2016",6.28
"Dec 31, 2016",2.52
"Jan 31, 2017",0.65
"Feb 28, 2017",3.84
"Mar 31, 2017",-1.21
"Apr 30, 2017",-0.08
"May 31, 2017",-0.33
"Jun 30, 2017",1.88
"Jul 31, 2017",1.36
"Aug 31, 2017",-1.17
"Sep 30, 2017",3.27
"Oct 31, 2017",1.14
"Nov 30, 2017",3.37
"Dec 31, 2017",1.66
"Jan 31, 2018",4.14
"Feb 28, 2018",-5.49
"Mar 31, 2018",-2.06
"Apr 30, 2018",0.49
"May 31, 2018",0.25
"Jun 30, 2018",0.62
"Jul 31, 2018",4.03
"Aug 31, 2018",1.35
"Sep 30, 2018",0.36
"Oct 31, 2018",-5.35
"Nov 30, 2018",2.62
"Dec 31, 2018",-9.48
"Jan 31, 2019",8.55
"Feb 28, 2019",2.24
