iShares U.S. Basic Materials ETF,
,
Fund Inception,12-Jun-2000
,
Month End Date,Monthly Total (NAV) Return
"Jun 30, 2000",--
"Jul 31, 2000",1.31
"Aug 31, 2000",1.74
"Sep 30, 2000",-10.13
"Oct 31, 2000",11.46
"Nov 30, 2000",-1.86
"Dec 31, 2000",14.88
"Jan 31, 2001",-2.31
"Feb 28, 2001",0.05
"Mar 31, 2001",-4.14
"Apr 30, 2001",9.09
"May 31, 2001",4.00
"Jun 30, 2001",-3.82
"Jul 31, 2001",0.13
"Aug 31, 2001",-0.61
"Sep 30, 2001",-11.92
"Oct 31, 2001",2.66
"Nov 30, 2001",11.81
"Dec 31, 2001",-1.74
"Jan 31, 2002",0.62
"Feb 28, 2002",5.29
"Mar 31, 2002",4.08
"Apr 30, 2002",-5.19
"May 31, 2002",4.20
"Jun 30, 2002",-1.25
"Jul 31, 2002",-10.89
"Aug 31, 2002",-0.77
"Sep 30, 2002",-12.97
"Oct 31, 2002",3.95
"Nov 30, 2002",11.07
"Dec 31, 2002",-4.58
"Jan 31, 2003",-5.06
"Feb 28, 2003",-3.00
"Mar 31, 2003",0.26
"Apr 30, 2003",8.89
"May 31, 2003",3.11
"Jun 30, 2003",0.25
"Jul 31, 2003",7.80
"Aug 31, 2003",2.91
"Sep 30, 2003",-4.82
"Oct 31, 2003",8.40
"Nov 30, 2003",2.58
"Dec 31, 2003",10.51
"Jan 31, 2004",-4.42
"Feb 29, 2004",4.83
"Mar 31, 2004",-2.32
"Apr 30, 2004",-4.89
"May 31, 2004",2.20
"Jun 30, 2004",5.07
"Jul 31, 2004",-2.13
"Aug 31, 2004",1.95
"Sep 30, 2004",5.01
"Oct 31, 2004",-1.85
"Nov 30, 2004",8.47
"Dec 31, 2004",0.73
"Jan 31, 2005",-2.54
"Feb 28, 2005",8.02
"Mar 31, 2005",-3.21
"Apr 30, 2005",-7.76
"May 31, 2005",-0.38
"Jun 30, 2005",-0.82
"Jul 31, 2005",6.55
"Aug 31, 2005",-3.38
"Sep 30, 2005",1.48
"Oct 31, 2005",-0.66
"Nov 30, 2005",5.80
"Dec 31, 2005",2.31
"Jan 31, 2006",6.71
"Feb 28, 2006",-2.94
"Mar 31, 2006",4.93
"Apr 30, 2006",5.28
"May 31, 2006",-4.15
"Jun 30, 2006",-0.36
"Jul 31, 2006",-4.32
"Aug 31, 2006",1.53
"Sep 30, 2006",-1.10
"Oct 31, 2006",6.80
"Nov 30, 2006",4.82
"Dec 31, 2006",-0.46
"Jan 31, 2007",4.92
"Feb 28, 2007",1.97
"Mar 31, 2007",2.07
"Apr 30, 2007",3.08
"May 31, 2007",6.80
"Jun 30, 2007",-0.42
"Jul 31, 2007",-2.09
"Aug 31, 2007",-0.57
"Sep 30, 2007",8.82
"Oct 31, 2007",5.96
"Nov 30, 2007",-4.88
"Dec 31, 2007",3.44
"Jan 31, 2008",-4.61
"Feb 29, 2008",4.17
"Mar 31, 2008",-2.61
"Apr 30, 2008",7.56
"May 31, 2008",7.34
"Jun 30, 2008",-1.29
"Jul 31, 2008",-7.82
"Aug 31, 2008",-4.37
"Sep 30, 2008",-22.49
"Oct 31, 2008",-25.87
"Nov 30, 2008",-14.64
"Dec 31, 2008",2.89
"Jan 31, 2009",-7.87
"Feb 28, 2009",-9.61
"Mar 31, 2009",14.82
"Apr 30, 2009",17.89
"May 31, 2009",10.83
"Jun 30, 2009",-5.19
"Jul 31, 2009",13.22
"Aug 31, 2009",2.87
"Sep 30, 2009",8.71
"Oct 31, 2009",-3.56
"Nov 30, 2009",11.17
"Dec 31, 2009",2.37
"Jan 31, 2010",-8.23
"Feb 28, 2010",7.51
"Mar 31, 2010",8.05
"Apr 30, 2010",0.56
"May 31, 2010",-8.99
"Jun 30, 2010",-7.65
"Jul 31, 2010",11.85
"Aug 31, 2010",-2.04
"Sep 30, 2010",10.43
"Oct 31, 2010",6.29
"Nov 30, 2010",2.70
"Dec 31, 2010",10.23
"Jan 31, 2011",-0.25
"Feb 28, 2011",2.79
"Mar 31, 2011",3.17
"Apr 30, 2011",2.83
"May 31, 2011",-3.79
"Jun 30, 2011",-1.60
"Jul 31, 2011",-2.46
"Aug 31, 2011",-8.47
"Sep 30, 2011",-19.69
"Oct 31, 2011",19.38
"Nov 30, 2011",-0.15
"Dec 31, 2011",-3.58
"Jan 31, 2012",11.03
"Feb 29, 2012",-0.11
"Mar 31, 2012",-0.97
"Apr 30, 2012",-0.62
"May 31, 2012",-10.43
"Jun 30, 2012",3.83
"Jul 31, 2012",-1.53
"Aug 31, 2012",3.31
"Sep 30, 2012",3.38
"Oct 31, 2012",-0.99
"Nov 30, 2012",0.06
"Dec 31, 2012",3.99
"Jan 31, 2013",2.75
"Feb 28, 2013",-2.64
"Mar 31, 2013",1.74
"Apr 30, 2013",-0.48
"May 31, 2013",2.87
"Jun 30, 2013",-6.10
"Jul 31, 2013",5.81
"Aug 31, 2013",-0.08
"Sep 30, 2013",4.61
"Oct 31, 2013",4.41
"Nov 30, 2013",1.30
"Dec 31, 2013",4.75
"Jan 31, 2014",-4.81
"Feb 28, 2014",6.60
"Mar 31, 2014",1.00
"Apr 30, 2014",0.79
"May 31, 2014",2.67
"Jun 30, 2014",1.96
"Jul 31, 2014",-2.39
"Aug 31, 2014",3.91
"Sep 30, 2014",-2.72
"Oct 31, 2014",-2.53
"Nov 30, 2014",0.62
"Dec 31, 2014",-1.61
"Jan 31, 2015",-3.12
"Feb 28, 2015",7.80
"Mar 31, 2015",-4.56
"Apr 30, 2015",3.26
"May 31, 2015",-0.30
"Jun 30, 2015",-4.09
"Jul 31, 2015",-6.66
"Aug 31, 2015",-6.02
"Sep 30, 2015",-7.90
"Oct 31, 2015",13.46
"Nov 30, 2015",0.94
"Dec 31, 2015",-4.21
"Jan 31, 2016",-10.36
"Feb 29, 2016",6.98
"Mar 31, 2016",8.64
"Apr 30, 2016",5.99
"May 31, 2016",-1.12
"Jun 30, 2016",-0.77
"Jul 31, 2016",5.67
"Aug 31, 2016",-0.17
"Sep 30, 2016",-0.93
"Oct 31, 2016",-1.89
"Nov 30, 2016",8.26
"Dec 31, 2016",-0.43
"Jan 31, 2017",4.43
"Feb 28, 2017",1.89
"Mar 31, 2017",0.98
"Apr 30, 2017",0.31
"May 31, 2017",-1.06
"Jun 30, 2017",1.60
"Jul 31, 2017",2.39
"Aug 31, 2017",1.15
"Sep 30, 2017",4.05
"Oct 31, 2017",3.68
"Nov 30, 2017",0.75
"Dec 31, 2017",2.28
"Jan 31, 2018",3.92
"Feb 28, 2018",-5.12
"Mar 31, 2018",-4.29
"Apr 30, 2018",1.40
"May 31, 2018",2.35
"Jun 30, 2018",-0.29
"Jul 31, 2018",3.37
"Aug 31, 2018",-0.87
"Sep 30, 2018",-2.58
"Oct 31, 2018",-9.98
"Nov 30, 2018",2.35
"Dec 31, 2018",-7.01
"Jan 31, 2019",5.92
"Feb 28, 2019",3.42
