iShares U.S. Financials ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"Mar 31, 2001",-2.85
"Apr 30, 2001",3.47
"May 31, 2001",3.95
"Jun 30, 2001",0.46
"Jul 31, 2001",-1.35
"Aug 31, 2001",-5.44
"Sep 30, 2001",-5.72
"Oct 31, 2001",-1.89
"Nov 30, 2001",6.91
"Dec 31, 2001",2.47
"Jan 31, 2002",-1.30
"Feb 28, 2002",-0.97
"Mar 31, 2002",6.39
"Apr 30, 2002",-1.94
"May 31, 2002",-0.14
"Jun 30, 2002",-4.52
"Jul 31, 2002",-7.19
"Aug 31, 2002",1.95
"Sep 30, 2002",-11.15
"Oct 31, 2002",7.65
"Nov 30, 2002",3.91
"Dec 31, 2002",-4.67
"Jan 31, 2003",-1.70
"Feb 28, 2003",-2.84
"Mar 31, 2003",-0.28
"Apr 30, 2003",11.36
"May 31, 2003",5.56
"Jun 30, 2003",0.32
"Jul 31, 2003",4.54
"Aug 31, 2003",-0.79
"Sep 30, 2003",0.86
"Oct 31, 2003",6.70
"Nov 30, 2003",0.40
"Dec 31, 2003",4.38
"Jan 31, 2004",3.20
"Feb 29, 2004",2.64
"Mar 31, 2004",-0.58
"Apr 30, 2004",-5.48
"May 31, 2004",2.27
"Jun 30, 2004",0.72
"Jul 31, 2004",-1.99
"Aug 31, 2004",3.64
"Sep 30, 2004",-0.48
"Oct 31, 2004",1.02
"Nov 30, 2004",3.36
"Dec 31, 2004",4.17
"Jan 31, 2005",-2.88
"Feb 28, 2005",-0.35
"Mar 31, 2005",-3.47
"Apr 30, 2005",0.08
"May 31, 2005",2.94
"Jun 30, 2005",1.91
"Jul 31, 2005",2.00
"Aug 31, 2005",-2.07
"Sep 30, 2005",0.69
"Oct 31, 2005",2.38
"Nov 30, 2005",4.70
"Dec 31, 2005",0.07
"Jan 31, 2006",1.47
"Feb 28, 2006",1.87
"Mar 31, 2006",0.83
"Apr 30, 2006",3.38
"May 31, 2006",-3.64
"Jun 30, 2006",-0.18
"Jul 31, 2006",2.04
"Aug 31, 2006",1.30
"Sep 30, 2006",3.79
"Oct 31, 2006",2.45
"Nov 30, 2006",1.02
"Dec 31, 2006",3.25
"Jan 31, 2007",1.23
"Feb 28, 2007",-2.82
"Mar 31, 2007",-0.96
"Apr 30, 2007",3.52
"May 31, 2007",2.36
"Jun 30, 2007",-4.20
"Jul 31, 2007",-7.95
"Aug 31, 2007",1.53
"Sep 30, 2007",2.36
"Oct 31, 2007",-1.54
"Nov 30, 2007",-7.36
"Dec 31, 2007",-4.92
"Jan 31, 2008",-0.28
"Feb 29, 2008",-10.65
"Mar 31, 2008",-2.19
"Apr 30, 2008",6.07
"May 31, 2008",-4.76
"Jun 30, 2008",-17.31
"Jul 31, 2008",6.47
"Aug 31, 2008",0.04
"Sep 30, 2008",-4.07
"Oct 31, 2008",-21.47
"Nov 30, 2008",-16.44
"Dec 31, 2008",1.48
"Jan 31, 2009",-23.88
"Feb 28, 2009",-15.76
"Mar 31, 2009",14.86
"Apr 30, 2009",19.93
"May 31, 2009",9.99
"Jun 30, 2009",-1.81
"Jul 31, 2009",8.81
"Aug 31, 2009",11.88
"Sep 30, 2009",2.07
"Oct 31, 2009",-5.48
"Nov 30, 2009",4.42
"Dec 31, 2009",-0.09
"Jan 31, 2010",-1.55
"Feb 28, 2010",3.26
"Mar 31, 2010",8.70
"Apr 30, 2010",2.05
"May 31, 2010",-9.19
"Jun 30, 2010",-6.20
"Jul 31, 2010",6.85
"Aug 31, 2010",-7.34
"Sep 30, 2010",6.52
"Oct 31, 2010",1.79
"Nov 30, 2010",-0.89
"Dec 31, 2010",9.82
"Jan 31, 2011",2.46
"Feb 28, 2011",2.87
"Mar 31, 2011",-2.10
"Apr 30, 2011",0.75
"May 31, 2011",-2.43
"Jun 30, 2011",-2.72
"Jul 31, 2011",-3.23
"Aug 31, 2011",-8.62
"Sep 30, 2011",-11.06
"Oct 31, 2011",13.70
"Nov 30, 2011",-3.79
"Dec 31, 2011",2.30
"Jan 31, 2012",7.07
"Feb 29, 2012",4.89
"Mar 31, 2012",6.58
"Apr 30, 2012",-1.33
"May 31, 2012",-8.29
"Jun 30, 2012",4.87
"Jul 31, 2012",0.16
"Aug 31, 2012",2.74
"Sep 30, 2012",2.92
"Oct 31, 2012",1.34
"Nov 30, 2012",-0.30
"Dec 31, 2012",3.91
"Jan 31, 2013",6.00
"Feb 28, 2013",1.44
"Mar 31, 2013",4.04
"Apr 30, 2013",2.41
"May 31, 2013",4.44
"Jun 30, 2013",-1.22
"Jul 31, 2013",4.81
"Aug 31, 2013",-4.87
"Sep 30, 2013",3.18
"Oct 31, 2013",3.53
"Nov 30, 2013",3.64
"Dec 31, 2013",2.40
"Jan 31, 2014",-3.36
"Feb 28, 2014",3.32
"Mar 31, 2014",2.42
"Apr 30, 2014",-1.63
"May 31, 2014",1.48
"Jun 30, 2014",2.30
"Jul 31, 2014",-1.60
"Aug 31, 2014",3.95
"Sep 30, 2014",-1.21
"Oct 31, 2014",4.03
"Nov 30, 2014",2.32
"Dec 31, 2014",1.59
"Jan 31, 2015",-5.51
"Feb 28, 2015",5.25
"Mar 31, 2015",-0.35
"Apr 30, 2015",-0.22
"May 31, 2015",1.80
"Jun 30, 2015",-0.42
"Jul 31, 2015",3.41
"Aug 31, 2015",-6.58
"Sep 30, 2015",-2.51
"Oct 31, 2015",6.15
"Nov 30, 2015",1.82
"Dec 31, 2015",-2.29
"Jan 31, 2016",-8.20
"Feb 29, 2016",-2.50
"Mar 31, 2016",7.41
"Apr 30, 2016",2.74
"May 31, 2016",2.21
"Jun 30, 2016",-2.83
"Jul 31, 2016",3.82
"Aug 31, 2016",3.25
"Sep 30, 2016",-1.89
"Oct 31, 2016",0.26
"Nov 30, 2016",8.78
"Dec 31, 2016",3.83
"Jan 31, 2017",0.56
"Feb 28, 2017",4.81
"Mar 31, 2017",-2.27
"Apr 30, 2017",-0.25
"May 31, 2017",-0.71
"Jun 30, 2017",4.72
"Jul 31, 2017",1.86
"Aug 31, 2017",-0.95
"Sep 30, 2017",3.77
"Oct 31, 2017",2.31
"Nov 30, 2017",3.20
"Dec 31, 2017",1.23
"Jan 31, 2018",4.57
"Feb 28, 2018",-3.15
"Mar 31, 2018",-2.19
"Apr 30, 2018",-0.03
"May 31, 2018",0.53
"Jun 30, 2018",-0.51
"Jul 31, 2018",3.91
"Aug 31, 2018",2.18
"Sep 30, 2018",-1.98
"Oct 31, 2018",-5.06
"Nov 30, 2018",3.21
"Dec 31, 2018",-10.13
"Jan 31, 2019",9.22
"Feb 28, 2019",2.82
