iShares U.S. Home Construction ETF,
,
Fund Inception,01-May-2006
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2006",--
"Jun 30, 2006",-8.03
"Jul 31, 2006",-11.04
"Aug 31, 2006",2.20
"Sep 30, 2006",3.62
"Oct 31, 2006",5.11
"Nov 30, 2006",7.98
"Dec 31, 2006",1.07
"Jan 31, 2007",0.76
"Feb 28, 2007",-8.86
"Mar 31, 2007",-11.84
"Apr 30, 2007",5.76
"May 31, 2007",3.07
"Jun 30, 2007",-15.89
"Jul 31, 2007",-15.11
"Aug 31, 2007",-10.69
"Sep 30, 2007",-16.14
"Oct 31, 2007",5.39
"Nov 30, 2007",-18.02
"Dec 31, 2007",3.01
"Jan 31, 2008",18.95
"Feb 29, 2008",-11.96
"Mar 31, 2008",9.37
"Apr 30, 2008",0.75
"May 31, 2008",-14.06
"Jun 30, 2008",-17.64
"Jul 31, 2008",8.43
"Aug 31, 2008",7.00
"Sep 30, 2008",7.84
"Oct 31, 2008",-30.20
"Nov 30, 2008",-18.08
"Dec 31, 2008",-0.49
"Jan 31, 2009",-12.94
"Feb 28, 2009",-14.52
"Mar 31, 2009",18.19
"Apr 30, 2009",27.14
"May 31, 2009",-9.87
"Jun 30, 2009",-2.16
"Jul 31, 2009",23.06
"Aug 31, 2009",8.71
"Sep 30, 2009",-6.05
"Oct 31, 2009",-9.43
"Nov 30, 2009",2.69
"Dec 31, 2009",5.01
"Jan 31, 2010",2.92
"Feb 28, 2010",4.54
"Mar 31, 2010",5.11
"Apr 30, 2010",12.26
"May 31, 2010",-11.32
"Jun 30, 2010",-16.68
"Jul 31, 2010",4.37
"Aug 31, 2010",-6.07
"Sep 30, 2010",9.62
"Oct 31, 2010",-5.49
"Nov 30, 2010",0.09
"Dec 31, 2010",15.80
"Jan 31, 2011",2.74
"Feb 28, 2011",-1.26
"Mar 31, 2011",-0.59
"Apr 30, 2011",2.04
"May 31, 2011",-0.08
"Jun 30, 2011",-6.00
"Jul 31, 2011",-7.26
"Aug 31, 2011",-13.27
"Sep 30, 2011",-11.76
"Oct 31, 2011",19.51
"Nov 30, 2011",7.18
"Dec 31, 2011",3.67
"Jan 31, 2012",9.76
"Feb 29, 2012",6.97
"Mar 31, 2012",5.50
"Apr 30, 2012",5.17
"May 31, 2012",-1.16
"Jun 30, 2012",10.22
"Jul 31, 2012",-3.74
"Aug 31, 2012",12.10
"Sep 30, 2012",6.67
"Oct 31, 2012",6.10
"Nov 30, 2012",-0.24
"Dec 31, 2012",3.47
"Jan 31, 2013",10.75
"Feb 28, 2013",-3.81
"Mar 31, 2013",6.20
"Apr 30, 2013",1.51
"May 31, 2013",0.37
"Jun 30, 2013",-8.12
"Jul 31, 2013",-0.54
"Aug 31, 2013",-7.37
"Sep 30, 2013",8.42
"Oct 31, 2013",1.03
"Nov 30, 2013",2.71
"Dec 31, 2013",7.33
"Jan 31, 2014",-0.12
"Feb 28, 2014",5.76
"Mar 31, 2014",-7.63
"Apr 30, 2014",-3.59
"May 31, 2014",2.83
"Jun 30, 2014",3.33
"Jul 31, 2014",-10.73
"Aug 31, 2014",8.81
"Sep 30, 2014",-6.51
"Oct 31, 2014",6.89
"Nov 30, 2014",7.78
"Dec 31, 2014",0.11
"Jan 31, 2015",-2.28
"Feb 28, 2015",9.12
"Mar 31, 2015",2.36
"Apr 30, 2015",-8.38
"May 31, 2015",2.82
"Jun 30, 2015",3.20
"Jul 31, 2015",3.50
"Aug 31, 2015",-2.32
"Sep 30, 2015",-5.88
"Oct 31, 2015",4.17
"Nov 30, 2015",5.00
"Dec 31, 2015",-4.95
"Jan 31, 2016",-10.14
"Feb 29, 2016",0.53
"Mar 31, 2016",10.72
"Apr 30, 2016",-1.73
"May 31, 2016",3.61
"Jun 30, 2016",0.39
"Jul 31, 2016",4.74
"Aug 31, 2016",0.35
"Sep 30, 2016",-5.14
"Oct 31, 2016",-6.42
"Nov 30, 2016",6.05
"Dec 31, 2016",0.66
"Jan 31, 2017",5.27
"Feb 28, 2017",5.25
"Mar 31, 2017",5.07
"Apr 30, 2017",1.13
"May 31, 2017",0.28
"Jun 30, 2017",4.79
"Jul 31, 2017",-0.12
"Aug 31, 2017",0.53
"Sep 30, 2017",7.32
"Oct 31, 2017",8.81
"Nov 30, 2017",9.00
"Dec 31, 2017",0.84
"Jan 31, 2018",-1.81
"Feb 28, 2018",-10.59
"Mar 31, 2018",2.45
"Apr 30, 2018",-1.99
"May 31, 2018",0.03
"Jun 30, 2018",-0.77
"Jul 31, 2018",-0.71
"Aug 31, 2018",-0.40
"Sep 30, 2018",-6.15
"Oct 31, 2018",-11.77
"Nov 30, 2018",3.82
"Dec 31, 2018",-7.21
"Jan 31, 2019",14.20
"Feb 28, 2019",0.99
"Mar 31, 2019",2.12
