iShares U.S. Industrials ETF,
,
Fund Inception,12-Jun-2000
,
Month End Date,Monthly Total (NAV) Return
"Jun 30, 2000",--
"Jul 31, 2000",-0.71
"Aug 31, 2000",10.73
"Sep 30, 2000",-5.24
"Oct 31, 2000",-0.87
"Nov 30, 2000",-7.91
"Dec 31, 2000",2.29
"Jan 31, 2001",1.35
"Feb 28, 2001",-6.26
"Mar 31, 2001",-10.38
"Apr 30, 2001",12.53
"May 31, 2001",1.85
"Jun 30, 2001",-4.63
"Jul 31, 2001",-2.88
"Aug 31, 2001",-4.32
"Sep 30, 2001",-12.54
"Oct 31, 2001",3.39
"Nov 30, 2001",9.95
"Dec 31, 2001",4.18
"Jan 31, 2002",-4.87
"Feb 28, 2002",1.23
"Mar 31, 2002",2.87
"Apr 30, 2002",-7.91
"May 31, 2002",0.07
"Jun 30, 2002",-6.41
"Jul 31, 2002",-5.35
"Aug 31, 2002",-1.95
"Sep 30, 2002",-11.82
"Oct 31, 2002",4.44
"Nov 30, 2002",7.87
"Dec 31, 2002",-4.72
"Jan 31, 2003",-4.90
"Feb 28, 2003",-2.00
"Mar 31, 2003",0.80
"Apr 30, 2003",10.32
"May 31, 2003",3.84
"Jun 30, 2003",1.28
"Jul 31, 2003",3.75
"Aug 31, 2003",4.99
"Sep 30, 2003",-3.17
"Oct 31, 2003",5.36
"Nov 30, 2003",2.02
"Dec 31, 2003",7.13
"Jan 31, 2004",1.29
"Feb 29, 2004",-0.52
"Mar 31, 2004",-1.15
"Apr 30, 2004",-0.53
"May 31, 2004",2.41
"Jun 30, 2004",5.49
"Jul 31, 2004",-3.02
"Aug 31, 2004",-0.95
"Sep 30, 2004",2.85
"Oct 31, 2004",1.26
"Nov 30, 2004",5.75
"Dec 31, 2004",2.80
"Jan 31, 2005",-2.79
"Feb 28, 2005",1.04
"Mar 31, 2005",-0.25
"Apr 30, 2005",-3.67
"May 31, 2005",2.82
"Jun 30, 2005",-1.68
"Jul 31, 2005",4.34
"Aug 31, 2005",-1.41
"Sep 30, 2005",1.09
"Oct 31, 2005",-1.31
"Nov 30, 2005",5.92
"Dec 31, 2005",0.46
"Jan 31, 2006",1.39
"Feb 28, 2006",2.76
"Mar 31, 2006",4.17
"Apr 30, 2006",1.89
"May 31, 2006",-2.58
"Jun 30, 2006",-0.46
"Jul 31, 2006",-5.65
"Aug 31, 2006",1.79
"Sep 30, 2006",3.08
"Oct 31, 2006",3.10
"Nov 30, 2006",2.42
"Dec 31, 2006",1.01
"Jan 31, 2007",2.03
"Feb 28, 2007",-0.31
"Mar 31, 2007",1.06
"Apr 30, 2007",4.76
"May 31, 2007",5.54
"Jun 30, 2007",-0.22
"Jul 31, 2007",-0.50
"Aug 31, 2007",-0.08
"Sep 30, 2007",3.93
"Oct 31, 2007",0.87
"Nov 30, 2007",-4.03
"Dec 31, 2007",-0.33
"Jan 31, 2008",-5.45
"Feb 29, 2008",-2.43
"Mar 31, 2008",2.28
"Apr 30, 2008",2.87
"May 31, 2008",2.98
"Jun 30, 2008",-10.79
"Jul 31, 2008",1.30
"Aug 31, 2008",1.62
"Sep 30, 2008",-12.79
"Oct 31, 2008",-20.62
"Nov 30, 2008",-7.05
"Dec 31, 2008",2.07
"Jan 31, 2009",-11.20
"Feb 28, 2009",-15.54
"Mar 31, 2009",8.83
"Apr 30, 2009",17.89
"May 31, 2009",3.11
"Jun 30, 2009",-1.20
"Jul 31, 2009",9.43
"Aug 31, 2009",4.10
"Sep 30, 2009",6.32
"Oct 31, 2009",-4.31
"Nov 30, 2009",8.08
"Dec 31, 2009",2.37
"Jan 31, 2010",-2.72
"Feb 28, 2010",4.55
"Mar 31, 2010",8.30
"Apr 30, 2010",4.58
"May 31, 2010",-9.11
"Jun 30, 2010",-6.94
"Jul 31, 2010",9.17
"Aug 31, 2010",-7.01
"Sep 30, 2010",11.64
"Oct 31, 2010",3.31
"Nov 30, 2010",1.69
"Dec 31, 2010",8.08
"Jan 31, 2011",4.23
"Feb 28, 2011",2.64
"Mar 31, 2011",1.93
"Apr 30, 2011",2.65
"May 31, 2011",-2.47
"Jun 30, 2011",-1.05
"Jul 31, 2011",-6.70
"Aug 31, 2011",-6.89
"Sep 30, 2011",-9.55
"Oct 31, 2011",14.68
"Nov 30, 2011",0.89
"Dec 31, 2011",0.55
"Jan 31, 2012",7.58
"Feb 29, 2012",2.98
"Mar 31, 2012",1.71
"Apr 30, 2012",-0.81
"May 31, 2012",-6.72
"Jun 30, 2012",3.37
"Jul 31, 2012",0.21
"Aug 31, 2012",2.02
"Sep 30, 2012",1.94
"Oct 31, 2012",-0.18
"Nov 30, 2012",2.00
"Dec 31, 2012",2.63
"Jan 31, 2013",5.86
"Feb 28, 2013",2.55
"Mar 31, 2013",2.87
"Apr 30, 2013",-0.62
"May 31, 2013",4.44
"Jun 30, 2013",-1.79
"Jul 31, 2013",5.99
"Aug 31, 2013",-2.22
"Sep 30, 2013",5.61
"Oct 31, 2013",4.27
"Nov 30, 2013",3.32
"Dec 31, 2013",4.26
"Jan 31, 2014",-4.27
"Feb 28, 2014",4.12
"Mar 31, 2014",0.15
"Apr 30, 2014",0.54
"May 31, 2014",1.65
"Jun 30, 2014",1.07
"Jul 31, 2014",-4.11
"Aug 31, 2014",4.25
"Sep 30, 2014",-2.20
"Oct 31, 2014",3.64
"Nov 30, 2014",2.47
"Dec 31, 2014",-0.18
"Jan 31, 2015",-3.41
"Feb 28, 2015",6.91
"Mar 31, 2015",-1.73
"Apr 30, 2015",-0.46
"May 31, 2015",0.87
"Jun 30, 2015",-2.38
"Jul 31, 2015",0.02
"Aug 31, 2015",-5.47
"Sep 30, 2015",-2.79
"Oct 31, 2015",9.01
"Nov 30, 2015",1.42
"Dec 31, 2015",-3.13
"Jan 31, 2016",-5.79
"Feb 29, 2016",2.89
"Mar 31, 2016",7.86
"Apr 30, 2016",1.47
"May 31, 2016",0.70
"Jun 30, 2016",0.82
"Jul 31, 2016",3.30
"Aug 31, 2016",0.94
"Sep 30, 2016",0.10
"Oct 31, 2016",-2.34
"Nov 30, 2016",7.80
"Dec 31, 2016",0.50
"Jan 31, 2017",1.88
"Feb 28, 2017",3.31
"Mar 31, 2017",-0.32
"Apr 30, 2017",2.11
"May 31, 2017",1.40
"Jun 30, 2017",1.19
"Jul 31, 2017",1.17
"Aug 31, 2017",0.51
"Sep 30, 2017",4.02
"Oct 31, 2017",2.07
"Nov 30, 2017",3.15
"Dec 31, 2017",1.25
"Jan 31, 2018",5.85
"Feb 28, 2018",-4.31
"Mar 31, 2018",-2.44
"Apr 30, 2018",-2.42
"May 31, 2018",3.54
"Jun 30, 2018",-1.71
"Jul 31, 2018",5.46
"Aug 31, 2018",1.80
"Sep 30, 2018",1.59
"Oct 31, 2018",-10.67
"Nov 30, 2018",3.02
"Dec 31, 2018",-10.25
"Jan 31, 2019",11.05
"Feb 28, 2019",6.56
