iShares U.S. Medical Devices ETF,
,
Fund Inception,01-May-2006
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2006",--
"Jun 30, 2006",-3.56
"Jul 31, 2006",2.23
"Aug 31, 2006",0.60
"Sep 30, 2006",-1.25
"Oct 31, 2006",4.68
"Nov 30, 2006",1.68
"Dec 31, 2006",3.05
"Jan 31, 2007",5.68
"Feb 28, 2007",-3.50
"Mar 31, 2007",0.81
"Apr 30, 2007",3.68
"May 31, 2007",1.99
"Jun 30, 2007",-0.61
"Jul 31, 2007",2.54
"Aug 31, 2007",1.94
"Sep 30, 2007",4.41
"Oct 31, 2007",0.81
"Nov 30, 2007",-1.63
"Dec 31, 2007",1.64
"Jan 31, 2008",-6.34
"Feb 29, 2008",1.02
"Mar 31, 2008",-1.03
"Apr 30, 2008",-0.43
"May 31, 2008",3.41
"Jun 30, 2008",-3.13
"Jul 31, 2008",4.84
"Aug 31, 2008",4.63
"Sep 30, 2008",-7.61
"Oct 31, 2008",-21.26
"Nov 30, 2008",-16.34
"Dec 31, 2008",1.35
"Jan 31, 2009",3.50
"Feb 28, 2009",-11.63
"Mar 31, 2009",5.08
"Apr 30, 2009",8.09
"May 31, 2009",4.85
"Jun 30, 2009",5.92
"Jul 31, 2009",5.00
"Aug 31, 2009",4.57
"Sep 30, 2009",3.53
"Oct 31, 2009",-5.20
"Nov 30, 2009",7.70
"Dec 31, 2009",3.31
"Jan 31, 2010",-0.08
"Feb 28, 2010",3.97
"Mar 31, 2010",6.30
"Apr 30, 2010",2.50
"May 31, 2010",-7.65
"Jun 30, 2010",-3.42
"Jul 31, 2010",-1.91
"Aug 31, 2010",-8.57
"Sep 30, 2010",12.52
"Oct 31, 2010",0.45
"Nov 30, 2010",0.06
"Dec 31, 2010",8.79
"Jan 31, 2011",2.31
"Feb 28, 2011",5.71
"Mar 31, 2011",0.93
"Apr 30, 2011",6.70
"May 31, 2011",0.23
"Jun 30, 2011",-2.56
"Jul 31, 2011",-3.19
"Aug 31, 2011",-5.38
"Sep 30, 2011",-7.83
"Oct 31, 2011",4.88
"Nov 30, 2011",-1.48
"Dec 31, 2011",0.74
"Jan 31, 2012",8.63
"Feb 29, 2012",2.54
"Mar 31, 2012",3.75
"Apr 30, 2012",-1.06
"May 31, 2012",-6.66
"Jun 30, 2012",5.36
"Jul 31, 2012",-5.11
"Aug 31, 2012",4.43
"Sep 30, 2012",5.36
"Oct 31, 2012",-3.50
"Nov 30, 2012",1.94
"Dec 31, 2012",0.36
"Jan 31, 2013",9.56
"Feb 28, 2013",-0.19
"Mar 31, 2013",3.43
"Apr 30, 2013",-1.07
"May 31, 2013",4.45
"Jun 30, 2013",-0.68
"Jul 31, 2013",5.66
"Aug 31, 2013",-3.14
"Sep 30, 2013",5.52
"Oct 31, 2013",5.48
"Nov 30, 2013",2.43
"Dec 31, 2013",1.70
"Jan 31, 2014",0.89
"Feb 28, 2014",4.92
"Mar 31, 2014",0.56
"Apr 30, 2014",-3.74
"May 31, 2014",3.47
"Jun 30, 2014",3.93
"Jul 31, 2014",-0.67
"Aug 31, 2014",0.99
"Sep 30, 2014",-2.73
"Oct 31, 2014",8.04
"Nov 30, 2014",5.20
"Dec 31, 2014",0.36
"Jan 31, 2015",0.38
"Feb 28, 2015",4.78
"Mar 31, 2015",1.11
"Apr 30, 2015",-2.78
"May 31, 2015",2.34
"Jun 30, 2015",0.35
"Jul 31, 2015",5.37
"Aug 31, 2015",-5.96
"Sep 30, 2015",-6.07
"Oct 31, 2015",7.06
"Nov 30, 2015",2.83
"Dec 31, 2015",0.81
"Jan 31, 2016",-6.08
"Feb 29, 2016",1.08
"Mar 31, 2016",5.39
"Apr 30, 2016",4.94
"May 31, 2016",2.00
"Jun 30, 2016",3.54
"Jul 31, 2016",6.11
"Aug 31, 2016",-0.38
"Sep 30, 2016",1.55
"Oct 31, 2016",-7.20
"Nov 30, 2016",-2.54
"Dec 31, 2016",1.43
"Jan 31, 2017",6.90
"Feb 28, 2017",5.13
"Mar 31, 2017",1.39
"Apr 30, 2017",4.13
"May 31, 2017",2.07
"Jun 30, 2017",3.51
"Jul 31, 2017",-1.18
"Aug 31, 2017",0.95
"Sep 30, 2017",0.63
"Oct 31, 2017",3.29
"Nov 30, 2017",3.04
"Dec 31, 2017",-2.24
"Jan 31, 2018",10.13
"Feb 28, 2018",-3.82
"Mar 31, 2018",0.63
"Apr 30, 2018",1.84
"May 31, 2018",5.16
"Jun 30, 2018",1.33
"Jul 31, 2018",3.82
"Aug 31, 2018",5.55
"Sep 30, 2018",3.51
"Oct 31, 2018",-9.71
"Nov 30, 2018",5.44
"Dec 31, 2018",-7.58
"Jan 31, 2019",7.76
"Feb 28, 2019",5.05
