iShares U.S. Pharmaceuticals ETF,
,
Fund Inception,01-May-2006
,
Fecha a fin de mes,Rendimientos mensual
"May 31, 2006",--
"Jun 30, 2006",0.63
"Jul 31, 2006",2.66
"Aug 31, 2006",3.03
"Sep 30, 2006",2.06
"Oct 31, 2006",1.89
"Nov 30, 2006",-0.32
"Dec 31, 2006",0.21
"Jan 31, 2007",4.61
"Feb 28, 2007",-2.99
"Mar 31, 2007",-0.02
"Apr 30, 2007",7.11
"May 31, 2007",1.65
"Jun 30, 2007",-3.97
"Jul 31, 2007",-6.48
"Aug 31, 2007",1.98
"Sep 30, 2007",1.77
"Oct 31, 2007",1.99
"Nov 30, 2007",0.02
"Dec 31, 2007",-2.73
"Jan 31, 2008",-4.52
"Feb 29, 2008",-1.93
"Mar 31, 2008",-4.02
"Apr 30, 2008",2.47
"May 31, 2008",2.64
"Jun 30, 2008",-4.11
"Jul 31, 2008",4.46
"Aug 31, 2008",2.61
"Sep 30, 2008",-5.01
"Oct 31, 2008",-13.04
"Nov 30, 2008",-1.88
"Dec 31, 2008",7.82
"Jan 31, 2009",-2.87
"Feb 28, 2009",-11.83
"Mar 31, 2009",10.33
"Apr 30, 2009",-2.56
"May 31, 2009",7.42
"Jun 30, 2009",5.36
"Jul 31, 2009",3.78
"Aug 31, 2009",3.54
"Sep 30, 2009",6.54
"Oct 31, 2009",-3.46
"Nov 30, 2009",9.23
"Dec 31, 2009",3.72
"Jan 31, 2010",-0.64
"Feb 28, 2010",0.73
"Mar 31, 2010",3.85
"Apr 30, 2010",-1.34
"May 31, 2010",-6.18
"Jun 30, 2010",-0.69
"Jul 31, 2010",2.01
"Aug 31, 2010",0.40
"Sep 30, 2010",9.78
"Oct 31, 2010",3.40
"Nov 30, 2010",-3.67
"Dec 31, 2010",5.22
"Jan 31, 2011",-1.05
"Feb 28, 2011",1.98
"Mar 31, 2011",3.19
"Apr 30, 2011",8.47
"May 31, 2011",2.23
"Jun 30, 2011",0.04
"Jul 31, 2011",-2.59
"Aug 31, 2011",-2.98
"Sep 30, 2011",-4.02
"Oct 31, 2011",5.97
"Nov 30, 2011",5.18
"Dec 31, 2011",3.79
"Jan 31, 2012",1.84
"Feb 29, 2012",3.66
"Mar 31, 2012",3.29
"Apr 30, 2012",1.02
"May 31, 2012",-3.35
"Jun 30, 2012",7.07
"Jul 31, 2012",0.83
"Aug 31, 2012",-0.29
"Sep 30, 2012",3.69
"Oct 31, 2012",-3.36
"Nov 30, 2012",0.30
"Dec 31, 2012",-1.57
"Jan 31, 2013",7.18
"Feb 28, 2013",1.22
"Mar 31, 2013",4.24
"Apr 30, 2013",3.36
"May 31, 2013",1.70
"Jun 30, 2013",-0.94
"Jul 31, 2013",7.45
"Aug 31, 2013",-2.80
"Sep 30, 2013",2.76
"Oct 31, 2013",1.92
"Nov 30, 2013",8.03
"Dec 31, 2013",0.99
"Jan 31, 2014",2.40
"Feb 28, 2014",9.12
"Mar 31, 2014",-3.73
"Apr 30, 2014",2.01
"May 31, 2014",1.46
"Jun 30, 2014",3.65
"Jul 31, 2014",-3.71
"Aug 31, 2014",5.68
"Sep 30, 2014",2.37
"Oct 31, 2014",3.95
"Nov 30, 2014",4.48
"Dec 31, 2014",-0.62
"Jan 31, 2015",2.23
"Feb 28, 2015",8.85
"Mar 31, 2015",2.52
"Apr 30, 2015",-2.45
"May 31, 2015",5.36
"Jun 30, 2015",-1.16
"Jul 31, 2015",3.92
"Aug 31, 2015",-8.06
"Sep 30, 2015",-10.93
"Oct 31, 2015",5.16
"Nov 30, 2015",3.94
"Dec 31, 2015",0.94
"Jan 31, 2016",-12.05
"Feb 29, 2016",-4.06
"Mar 31, 2016",0.79
"Apr 30, 2016",2.98
"May 31, 2016",3.78
"Jun 30, 2016",-1.03
"Jul 31, 2016",7.71
"Aug 31, 2016",-4.32
"Sep 30, 2016",0.56
"Oct 31, 2016",-8.69
"Nov 30, 2016",2.27
"Dec 31, 2016",1.40
"Jan 31, 2017",0.43
"Feb 28, 2017",8.01
"Mar 31, 2017",-1.25
"Apr 30, 2017",1.51
"May 31, 2017",-1.88
"Jun 30, 2017",3.73
"Jul 31, 2017",0.08
"Aug 31, 2017",0.07
"Sep 30, 2017",1.06
"Oct 31, 2017",-3.51
"Nov 30, 2017",1.98
"Dec 31, 2017",0.39
"Jan 31, 2018",2.11
"Feb 28, 2018",-5.04
"Mar 31, 2018",-1.20
"Apr 30, 2018",-1.98
"May 31, 2018",3.24
"Jun 30, 2018",1.81
"Jul 31, 2018",6.95
"Aug 31, 2018",4.76
"Sep 30, 2018",-0.60
"Oct 31, 2018",-9.31
"Nov 30, 2018",3.45
"Dec 31, 2018",-10.48
"Jan 31, 2019",4.38
"Feb 28, 2019",5.33
