iShares U.S. Telecommunications ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",3.86
"Jul 31, 2000",-7.23
"Aug 31, 2000",-2.60
"Sep 30, 2000",-5.10
"Oct 31, 2000",1.68
"Nov 30, 2000",-18.76
"Dec 31, 2000",-6.45
"Jan 31, 2001",18.12
"Feb 28, 2001",-12.59
"Mar 31, 2001",-7.35
"Apr 30, 2001",3.43
"May 31, 2001",-1.54
"Jun 30, 2001",-3.11
"Jul 31, 2001",2.30
"Aug 31, 2001",-9.34
"Sep 30, 2001",0.00
"Oct 31, 2001",-11.49
"Nov 30, 2001",2.64
"Dec 31, 2001",2.29
"Jan 31, 2002",-9.15
"Feb 28, 2002",-7.58
"Mar 31, 2002",-0.21
"Apr 30, 2002",-14.52
"May 31, 2002",0.14
"Jun 30, 2002",-14.92
"Jul 31, 2002",-13.69
"Aug 31, 2002",2.14
"Sep 30, 2002",-14.57
"Oct 31, 2002",28.76
"Nov 30, 2002",12.13
"Dec 31, 2002",-6.74
"Jan 31, 2003",-4.09
"Feb 28, 2003",-6.77
"Mar 31, 2003",-0.32
"Apr 30, 2003",8.80
"May 31, 2003",7.87
"Jun 30, 2003",4.30
"Jul 31, 2003",-4.51
"Aug 31, 2003",0.20
"Sep 30, 2003",-3.14
"Oct 31, 2003",5.63
"Nov 30, 2003",-1.49
"Dec 31, 2003",7.25
"Jan 31, 2004",2.99
"Feb 29, 2004",2.67
"Mar 31, 2004",-2.26
"Apr 30, 2004",-0.46
"May 31, 2004",-2.69
"Jun 30, 2004",1.94
"Jul 31, 2004",3.80
"Aug 31, 2004",0.81
"Sep 30, 2004",2.41
"Oct 31, 2004",1.15
"Nov 30, 2004",4.24
"Dec 31, 2004",2.44
"Jan 31, 2005",-5.15
"Feb 28, 2005",1.52
"Mar 31, 2005",-1.32
"Apr 30, 2005",0.13
"May 31, 2005",0.83
"Jun 30, 2005",1.74
"Jul 31, 2005",3.16
"Aug 31, 2005",-1.24
"Sep 30, 2005",-0.37
"Oct 31, 2005",-2.20
"Nov 30, 2005",3.37
"Dec 31, 2005",-2.56
"Jan 31, 2006",3.72
"Feb 28, 2006",5.10
"Mar 31, 2006",4.16
"Apr 30, 2006",-1.04
"May 31, 2006",-2.90
"Jun 30, 2006",3.47
"Jul 31, 2006",2.31
"Aug 31, 2006",2.45
"Sep 30, 2006",3.81
"Oct 31, 2006",3.69
"Nov 30, 2006",-0.28
"Dec 31, 2006",4.23
"Jan 31, 2007",3.75
"Feb 28, 2007",-0.56
"Mar 31, 2007",2.72
"Apr 30, 2007",1.47
"May 31, 2007",9.02
"Jun 30, 2007",-1.92
"Jul 31, 2007",-1.24
"Aug 31, 2007",-0.48
"Sep 30, 2007",2.47
"Oct 31, 2007",-4.58
"Nov 30, 2007",-9.13
"Dec 31, 2007",1.34
"Jan 31, 2008",-10.52
"Feb 29, 2008",-10.62
"Mar 31, 2008",-0.32
"Apr 30, 2008",7.95
"May 31, 2008",6.57
"Jun 30, 2008",-9.83
"Jul 31, 2008",-3.40
"Aug 31, 2008",2.53
"Sep 30, 2008",-14.30
"Oct 31, 2008",-20.81
"Nov 30, 2008",3.05
"Dec 31, 2008",1.01
"Jan 31, 2009",-6.49
"Feb 28, 2009",-2.27
"Mar 31, 2009",6.59
"Apr 30, 2009",7.97
"May 31, 2009",4.07
"Jun 30, 2009",0.51
"Jul 31, 2009",1.41
"Aug 31, 2009",-1.50
"Sep 30, 2009",7.40
"Oct 31, 2009",-8.42
"Nov 30, 2009",7.28
"Dec 31, 2009",8.87
"Jan 31, 2010",-8.89
"Feb 28, 2010",2.69
"Mar 31, 2010",7.79
"Apr 30, 2010",1.65
"May 31, 2010",-3.63
"Jun 30, 2010",-3.89
"Jul 31, 2010",9.00
"Aug 31, 2010",-1.43
"Sep 30, 2010",9.09
"Oct 31, 2010",1.43
"Nov 30, 2010",-0.77
"Dec 31, 2010",7.82
"Jan 31, 2011",-1.67
"Feb 28, 2011",1.48
"Mar 31, 2011",2.95
"Apr 30, 2011",2.85
"May 31, 2011",4.77
"Jun 30, 2011",-2.72
"Jul 31, 2011",-5.94
"Aug 31, 2011",-4.31
"Sep 30, 2011",-8.32
"Oct 31, 2011",3.83
"Nov 30, 2011",-0.33
"Dec 31, 2011",0.81
"Jan 31, 2012",0.86
"Feb 29, 2012",4.81
"Mar 31, 2012",0.34
"Apr 30, 2012",-1.35
"May 31, 2012",-3.10
"Jun 30, 2012",6.49
"Jul 31, 2012",5.97
"Aug 31, 2012",1.39
"Sep 30, 2012",6.46
"Oct 31, 2012",-4.31
"Nov 30, 2012",-2.17
"Dec 31, 2012",2.49
"Jan 31, 2013",2.76
"Feb 28, 2013",-4.29
"Mar 31, 2013",2.44
"Apr 30, 2013",10.07
"May 31, 2013",-2.09
"Jun 30, 2013",-0.31
"Jul 31, 2013",7.77
"Aug 31, 2013",-3.98
"Sep 30, 2013",3.62
"Oct 31, 2013",6.16
"Nov 30, 2013",-2.15
"Dec 31, 2013",4.71
"Jan 31, 2014",-3.16
"Feb 28, 2014",-0.03
"Mar 31, 2014",4.50
"Apr 30, 2014",-2.04
"May 31, 2014",2.66
"Jun 30, 2014",1.33
"Jul 31, 2014",1.32
"Aug 31, 2014",-0.07
"Sep 30, 2014",-2.07
"Oct 31, 2014",1.80
"Nov 30, 2014",0.98
"Dec 31, 2014",-4.36
"Jan 31, 2015",-2.19
"Feb 28, 2015",7.69
"Mar 31, 2015",-1.40
"Apr 30, 2015",1.72
"May 31, 2015",-2.11
"Jun 30, 2015",-1.98
"Jul 31, 2015",-0.96
"Aug 31, 2015",-1.55
"Sep 30, 2015",-4.98
"Oct 31, 2015",10.86
"Nov 30, 2015",-0.80
"Dec 31, 2015",-2.70
"Jan 31, 2016",-3.50
"Feb 29, 2016",6.32
"Mar 31, 2016",4.46
"Apr 30, 2016",1.63
"May 31, 2016",1.44
"Jun 30, 2016",5.54
"Jul 31, 2016",3.61
"Aug 31, 2016",-6.38
"Sep 30, 2016",0.68
"Oct 31, 2016",-2.82
"Nov 30, 2016",1.82
"Dec 31, 2016",8.41
"Jan 31, 2017",3.11
"Feb 28, 2017",-6.09
"Mar 31, 2017",-1.91
"Apr 30, 2017",5.06
"May 31, 2017",-4.09
"Jun 30, 2017",-0.44
"Jul 31, 2017",-1.33
"Aug 31, 2017",0.13
"Sep 30, 2017",-3.65
"Oct 31, 2017",-0.66
"Nov 30, 2017",-0.20
"Dec 31, 2017",-1.68
"Jan 31, 2018",0.48
"Feb 28, 2018",-5.66
"Mar 31, 2018",-2.12
"Apr 30, 2018",1.15
"May 31, 2018",-1.53
"Jun 30, 2018",2.89
"Jul 31, 2018",0.25
"Aug 31, 2018",7.61
"Sep 30, 2018",0.77
"Oct 31, 2018",-5.24
"Nov 30, 2018",2.27
"Dec 31, 2018",-8.70
"Jan 31, 2019",6.53
"Feb 28, 2019",5.81
