As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,191.66",60.58,--,"993,600,000.00"
"Mar 26, 2019","1,192.26",60.61,--,"993,600,000.00"
"Mar 25, 2019","1,182.46",60.11,--,"983,800,000.00"
"Mar 22, 2019","1,193.48",60.67,--,"983,800,000.00"
"Mar 21, 2019","1,203.65",61.19,--,"983,800,000.00"
"Mar 20, 2019","1,201.51",61.08,--,"975,800,000.00"
"Mar 19, 2019","1,208.22",61.43,--,"975,800,000.00"
"Mar 18, 2019","1,203.30",61.17,--,"975,800,000.00"
"Mar 15, 2019","1,197.28",60.87,--,"964,800,000.00"
"Mar 14, 2019","1,187.44",60.37,--,"964,800,000.00"
"Mar 13, 2019","1,184.12",60.20,--,"964,000,000.00"
"Mar 12, 2019","1,179.37",59.96,--,"959,000,000.00"
"Mar 11, 2019","1,171.57",59.56,--,"959,000,000.00"
"Mar 08, 2019","1,164.83",59.22,--,"955,200,000.00"
"Mar 07, 2019","1,177.18",59.85,--,"955,200,000.00"
"Mar 06, 2019","1,187.43",60.37,--,"949,400,000.00"
"Mar 05, 2019","1,187.23",60.36,--,"949,400,000.00"
"Mar 04, 2019","1,189.87",60.49,--,"949,400,000.00"
"Mar 01, 2019","1,188.91",60.44,--,"949,400,000.00"
"Feb 28, 2019","1,185.43",60.26,--,"949,400,000.00"
"Feb 27, 2019","1,188.40",60.41,--,"949,400,000.00"
"Feb 26, 2019","1,188.44",60.41,--,"949,400,000.00"
"Feb 25, 2019","1,186.22",60.30,--,"944,600,000.00"
"Feb 22, 2019","1,181.31",60.05,--,"940,400,000.00"
"Feb 21, 2019","1,179.80",59.97,--,"940,400,000.00"
"Feb 20, 2019","1,181.14",60.04,--,"940,400,000.00"
"Feb 19, 2019","1,173.73",59.66,--,"940,400,000.00"
"Feb 15, 2019","1,161.93",59.06,--,"940,400,000.00"
"Feb 14, 2019","1,155.30",58.72,--,"940,400,000.00"
"Feb 13, 2019","1,157.57",58.84,--,"940,400,000.00"
"Feb 12, 2019","1,150.84",58.50,--,"940,400,000.00"
"Feb 11, 2019","1,139.69",57.93,--,"940,400,000.00"
"Feb 08, 2019","1,138.81",57.88,--,"940,400,000.00"
"Feb 07, 2019","1,150.63",58.49,--,"940,400,000.00"
"Feb 06, 2019","1,164.23",59.18,--,"940,400,000.00"
"Feb 05, 2019","1,165.82",59.27,--,"940,400,000.00"
"Feb 04, 2019","1,154.99",58.72,--,"940,400,000.00"
"Feb 01, 2019","1,155.33",58.74,--,"940,400,000.00"
"Jan 31, 2019","1,156.47",58.79,--,"940,400,000.00"
"Jan 30, 2019","1,145.88",58.26,--,"940,400,000.00"
"Jan 29, 2019","1,143.65",58.14,--,"940,400,000.00"
"Jan 28, 2019","1,140.25",57.97,--,"940,400,000.00"
"Jan 25, 2019","1,145.29",58.23,--,"940,400,000.00"
"Jan 24, 2019","1,133.82",57.64,--,"945,800,000.00"
"Jan 23, 2019","1,132.08",57.55,--,"945,800,000.00"
"Jan 22, 2019","1,133.64",57.63,--,"945,800,000.00"
"Jan 18, 2019","1,138.89",57.90,--,"945,800,000.00"
"Jan 17, 2019","1,125.21",57.20,--,"953,800,000.00"
"Jan 16, 2019","1,125.68",57.23,--,"950,600,000.00"
"Jan 15, 2019","1,125.86",57.23,--,"950,600,000.00"
"Jan 14, 2019","1,122.48",57.06,--,"950,600,000.00"
"Jan 11, 2019","1,126.75",57.28,--,"950,600,000.00"
"Jan 10, 2019","1,127.33",57.31,--,"950,600,000.00"
"Jan 09, 2019","1,126.23",57.25,--,"950,600,000.00"
"Jan 08, 2019","1,111.50",56.50,--,"950,600,000.00"
"Jan 07, 2019","1,105.10",56.17,--,"950,600,000.00"
