As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"1,362.73",51.03,--,1146600000.00
26-Mar-19,"1,370.43",51.32,--,1146600000.00
25-Mar-19,"1,366.44",51.17,--,1146600000.00
22-Mar-19,"1,381.91",51.74,--,1146600000.00
21-Mar-19,"1,394.72",52.23,--,1146600000.00
20-Mar-19,"1,393.50",52.18,--,1144800000.00
19-Mar-19,"1,396.22",52.29,--,1144800000.00
18-Mar-19,"1,394.50",52.22,--,1143600000.00
15-Mar-19,"1,379.44",51.65,--,1143600000.00
14-Mar-19,"1,368.21",51.24,--,1143600000.00
13-Mar-19,"1,370.68",51.33,--,1143600000.00
12-Mar-19,"1,371.61",51.36,--,1143600000.00
11-Mar-19,"1,358.42",50.88,--,1143600000.00
8-Mar-19,"1,344.49",50.35,--,1143600000.00
7-Mar-19,"1,360.97",50.97,--,1143600000.00
6-Mar-19,"1,376.29",51.56,--,1143600000.00
5-Mar-19,"1,375.53",51.53,--,1143600000.00
4-Mar-19,"1,373.09",51.44,--,1143600000.00
1-Mar-19,"1,370.02",51.32,--,1143600000.00
28-Feb-19,"1,368.97",51.29,--,1143600000.00
27-Feb-19,"1,381.77",51.78,--,1143600000.00
26-Feb-19,"1,385.68",51.92,--,1140000000.00
25-Feb-19,"1,389.12",52.05,--,1140000000.00
22-Feb-19,"1,377.49",51.62,--,1140000000.00
21-Feb-19,"1,367.54",51.25,--,1140000000.00
20-Feb-19,"1,365.35",51.17,--,1140000000.00
19-Feb-19,"1,349.86",50.59,--,1140000000.00
15-Feb-19,"1,341.29",50.27,--,1138200000.00
14-Feb-19,"1,351.81",50.66,--,1138200000.00
13-Feb-19,"1,354.87",50.77,--,1138200000.00
12-Feb-19,"1,354.82",50.77,--,1138200000.00
11-Feb-19,"1,346.70",50.47,--,1138200000.00
8-Feb-19,"1,347.85",50.5,--,1138200000.00
7-Feb-19,"1,354.84",50.77,--,1138200000.00
6-Feb-19,"1,362.65",51.07,--,1138200000.00
5-Feb-19,"1,366.66",51.22,--,1128600000.00
4-Feb-19,"1,362.16",51.05,--,1128600000.00
1-Feb-19,"1,364.81",51.16,--,1128600000.00
31-Jan-19,"1,364.30",51.15,--,1128600000.00
30-Jan-19,"1,347.55",50.52,--,1121400000.00
29-Jan-19,"1,338.79",50.19,--,1116000000.00
28-Jan-19,"1,336.61",50.1,--,1112400000.00
25-Jan-19,"1,341.63",50.29,--,1108200000.00
24-Jan-19,"1,325.96",49.71,--,1101600000.00
23-Jan-19,"1,315.79",49.34,--,1100400000.00
22-Jan-19,"1,313.81",49.27,--,1093200000.00
18-Jan-19,"1,323.59",49.64,--,1093200000.00
17-Jan-19,"1,312.44",49.21,--,1088400000.00
16-Jan-19,"1,313.43",49.25,--,1073400000.00
15-Jan-19,"1,308.21",49.06,--,1073400000.00
14-Jan-19,"1,292.89",48.48,--,1073400000.00
11-Jan-19,"1,303.39",48.89,--,1071600000.00
10-Jan-19,"1,300.35",48.77,--,1066800000.00
9-Jan-19,"1,294.76",48.56,--,1061400000.00
8-Jan-19,"1,271.47",47.68,--,1053000000.00
7-Jan-19,"1,274.64",47.8,--,1050600000.00
4-Jan-19,"1,257.99",47.18,--,1048800000.00
3-Jan-19,"1,238.68",46.45,--,1048800000.00
2-Jan-19,"1,246.39",46.74,--,1042200000.00
31-Dec-18,"1,258.73",47.21,--,1042200000.00
28-Dec-18,"1,254.51",47.05,--,1042200000.00
27-Dec-18,"1,241.15",46.54,--,1042200000.00
26-Dec-18,"1,235.60",46.33,--,1042200000.00
24-Dec-18,"1,239.51",46.47,--,1042200000.00
21-Dec-18,"1,245.11",46.67,--,1042200000.00
20-Dec-18,"1,248.55",46.8,--,1042200000.00
19-Dec-18,"1,258.26",47.16,--,1042200000.00
18-Dec-18,"1,251.58",46.91,0.86,1023600000.00
17-Dec-18,"1,257.58",48,--,1023600000.00
14-Dec-18,"1,262.82",48.19,--,1023600000.00
13-Dec-18,"1,279.95",48.85,--,1023600000.00
12-Dec-18,"1,271.27",48.52,--,1023600000.00
11-Dec-18,"1,252.94",47.83,--,1023600000.00
10-Dec-18,"1,250.30",47.72,--,1023600000.00
7-Dec-18,"1,274.63",48.65,--,1023600000.00
6-Dec-18,"1,271.15",48.5,--,1021800000.00
4-Dec-18,"1,316.53",50.24,--,1018200000.00
3-Dec-18,"1,319.85",50.37,--,1018200000.00
30-Nov-18,"1,291.57",49.29,--,1013400000.00
29-Nov-18,"1,295.51",49.44,--,1013400000.00
28-Nov-18,"1,286.80",49.11,--,993000000.00
27-Nov-18,"1,272.41",48.56,--,991800000.00
26-Nov-18,"1,267.83",48.39,--,991800000.00
23-Nov-18,"1,258.38",48.03,--,991800000.00
21-Nov-18,"1,266.59",48.34,--,985800000.00
20-Nov-18,"1,263.27",48.2,--,985800000.00
19-Nov-18,"1,283.02",48.96,--,982200000.00
16-Nov-18,"1,279.92",48.83,--,977400000.00
15-Nov-18,"1,272.59",48.55,--,966000000.00
14-Nov-18,"1,256.64",47.93,--,966000000.00
13-Nov-18,"1,253.89",47.84,--,966000000.00
12-Nov-18,"1,254.36",47.85,--,966000000.00
9-Nov-18,"1,266.82",48.33,--,966000000.00
8-Nov-18,"1,288.12",49.14,--,966000000.00
7-Nov-18,"1,292.95",49.33,--,956400000.00
6-Nov-18,"1,285.75",49.05,--,953400000.00
5-Nov-18,"1,286.09",49.07,--,946800000.00
2-Nov-18,"1,291.27",49.26,--,946800000.00
1-Nov-18,"1,258.64",48.02,--,946800000.00
31-Oct-18,"1,238.70",47.26,--,946800000.00
30-Oct-18,"1,214.36",46.33,--,946800000.00
29-Oct-18,"1,212.17",46.25,--,946800000.00
26-Oct-18,"1,218.88",46.51,--,946800000.00
25-Oct-18,"1,230.89",46.97,--,946800000.00
24-Oct-18,"1,237.24",47.21,--,946800000.00
23-Oct-18,"1,246.14",47.55,--,946800000.00
22-Oct-18,"1,274.74",48.64,--,946800000.00
19-Oct-18,"1,261.09",48.11,--,946800000.00
18-Oct-18,"1,260.47",48.09,--,946800000.00
17-Oct-18,"1,276.44",48.7,--,946800000.00
16-Oct-18,"1,277.35",48.74,--,946800000.00
15-Oct-18,"1,260.95",48.11,--,946800000.00
12-Oct-18,"1,271.09",48.5,--,946800000.00
11-Oct-18,"1,238.97",47.27,--,946800000.00
10-Oct-18,"1,279.55",48.82,--,946800000.00
9-Oct-18,"1,289.66",49.22,--,946800000.00
8-Oct-18,"1,292.03",49.3,--,946800000.00
5-Oct-18,"1,299.14",49.56,--,946800000.00
4-Oct-18,"1,312.30",50.06,--,946800000.00
3-Oct-18,"1,343.20",51.24,--,946800000.00
2-Oct-18,"1,341.34",51.17,--,946800000.00
1-Oct-18,"1,357.89",51.8,--,946800000.00
28-Sep-18,"1,359.92",51.88,--,946800000.00
27-Sep-18,"1,364.07",52.03,--,942000000.00
26-Sep-18,"1,357.53",51.77,--,942000000.00
25-Sep-18,"1,352.17",51.56,--,942000000.00
24-Sep-18,"1,353.10",51.59,--,942000000.00
21-Sep-18,"1,364.67",52.03,--,942000000.00
20-Sep-18,"1,346.55",51.34,--,939000000.00
19-Sep-18,"1,339.75",51.08,--,939000000.00
18-Sep-18,"1,326.04",50.55,--,939000000.00
17-Sep-18,"1,322.06",50.39,--,939000000.00
14-Sep-18,"1,337.22",50.98,--,939000000.00
13-Sep-18,"1,323.16",50.44,--,939000000.00
12-Sep-18,"1,306.70",49.81,--,939000000.00
11-Sep-18,"1,304.85",49.74,--,939000000.00
10-Sep-18,"1,314.17",50.09,--,939000000.00
7-Sep-18,"1,329.87",50.67,--,939000000.00
6-Sep-18,"1,324.18",50.45,--,939000000.00
5-Sep-18,"1,328.55",50.61,--,939000000.00
4-Sep-18,"1,351.21",51.48,--,939000000.00
31-Aug-18,"1,371.58",52.27,--,939000000.00
30-Aug-18,"1,373.11",52.35,--,937800000.00
29-Aug-18,"1,388.05",52.91,--,936600000.00
28-Aug-18,"1,388.29",52.92,--,936600000.00
27-Aug-18,"1,386.38",52.83,--,932400000.00
24-Aug-18,"1,362.71",51.93,--,932400000.00
23-Aug-18,"1,360.26",51.85,--,930000000.00
22-Aug-18,"1,362.97",51.95,--,930000000.00
21-Aug-18,"1,355.90",51.68,--,930000000.00
20-Aug-18,"1,341.98",51.15,--,930000000.00
17-Aug-18,"1,328.94",50.66,--,930000000.00
16-Aug-18,"1,327.10",50.59,--,930000000.00
15-Aug-18,"1,329.38",50.67,--,930000000.00
14-Aug-18,"1,353.17",51.59,--,930000000.00
13-Aug-18,"1,352.84",51.58,--,930000000.00
10-Aug-18,"1,378.44",52.55,--,930000000.00
9-Aug-18,"1,399.26",53.34,--,930000000.00
8-Aug-18,"1,400.44",53.38,--,930000000.00
7-Aug-18,"1,400.65",53.4,--,930000000.00
6-Aug-18,"1,389.83",52.98,--,930000000.00
3-Aug-18,"1,392.90",53.11,--,925800000.00
2-Aug-18,"1,384.72",52.79,--,924600000.00
1-Aug-18,"1,409.03",53.72,--,914400000.00
31-Jul-18,"1,408.70",53.71,--,910200000.00
30-Jul-18,"1,411.74",53.83,--,902400000.00
27-Jul-18,"1,414.71",53.95,--,902400000.00
26-Jul-18,"1,410.35",53.78,--,898200000.00
25-Jul-18,"1,408.77",53.73,--,896400000.00
24-Jul-18,"1,398.02",53.31,--,896400000.00
23-Jul-18,"1,383.75",52.76,--,894600000.00
20-Jul-18,"1,384.91",52.82,--,890400000.00
19-Jul-18,"1,373.46",52.37,--,890400000.00
18-Jul-18,"1,383.91",52.76,--,888000000.00
17-Jul-18,"1,386.76",52.87,--,888000000.00
16-Jul-18,"1,385.38",52.81,--,888000000.00
13-Jul-18,"1,392.63",53.07,--,888000000.00
12-Jul-18,"1,385.78",52.82,--,888000000.00
11-Jul-18,"1,377.87",52.51,--,888000000.00
10-Jul-18,"1,392.19",53.07,--,888000000.00
9-Jul-18,"1,390.70",53.02,--,888000000.00
