As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","1,210.30",57.69,--,"237,000,000.00"
"Mar 26, 2019","1,212.83",57.81,--,"237,000,000.00"
"Mar 25, 2019","1,204.55",57.41,--,"237,000,000.00"
"Mar 22, 2019","1,215.85",57.95,--,"237,000,000.00"
"Mar 21, 2019","1,226.82",58.48,--,"237,000,000.00"
"Mar 20, 2019","1,224.95",58.39,--,"237,000,000.00"
"Mar 19, 2019","1,230.51",58.65,--,"235,500,000.00"
"Mar 18, 2019","1,226.73",58.47,--,"235,500,000.00"
"Mar 15, 2019","1,218.64",58.09,--,"235,500,000.00"
"Mar 14, 2019","1,209.21",57.64,--,"235,500,000.00"
"Mar 13, 2019","1,207.72",57.57,--,"235,500,000.00"
"Mar 12, 2019","1,204.18",57.40,--,"235,500,000.00"
"Mar 11, 2019","1,195.43",56.99,--,"235,500,000.00"
"Mar 08, 2019","1,186.98",56.58,--,"235,500,000.00"
"Mar 07, 2019","1,199.54",57.18,--,"235,500,000.00"
"Mar 06, 2019","1,210.34",57.69,--,"235,500,000.00"
"Mar 05, 2019","1,210.50",57.71,--,"235,500,000.00"
"Mar 04, 2019","1,211.69",57.76,--,"235,500,000.00"
"Mar 01, 2019","1,211.05",57.73,--,"235,500,000.00"
"Feb 28, 2019","1,208.46",57.60,--,"235,500,000.00"
"Feb 27, 2019","1,213.93",57.86,--,"235,500,000.00"
"Feb 26, 2019","1,214.41",57.89,--,"235,500,000.00"
"Feb 25, 2019","1,213.71",57.86,--,"235,500,000.00"
"Feb 22, 2019","1,207.45",57.56,--,"235,500,000.00"
"Feb 21, 2019","1,204.14",57.40,--,"235,500,000.00"
"Feb 20, 2019","1,204.82",57.44,--,"235,500,000.00"
"Feb 19, 2019","1,195.20",56.97,--,"235,500,000.00"
"Feb 15, 2019","1,184.44",56.46,--,"235,500,000.00"
"Feb 14, 2019","1,181.17",56.31,--,"235,500,000.00"
"Feb 13, 2019","1,183.47",56.41,--,"235,500,000.00"
"Feb 12, 2019","1,178.71",56.19,--,"235,500,000.00"
"Feb 11, 2019","1,168.48",55.70,--,"235,500,000.00"
"Feb 08, 2019","1,168.66",55.70,--,"235,500,000.00"
"Feb 07, 2019","1,178.88",56.20,--,"235,500,000.00"
"Feb 06, 2019","1,190.66",56.76,--,"235,500,000.00"
"Feb 05, 2019","1,192.90",56.87,--,"235,500,000.00"
"Feb 04, 2019","1,183.94",56.45,--,"235,500,000.00"
"Feb 01, 2019","1,184.38",56.47,--,"235,500,000.00"
"Jan 31, 2019","1,185.08",56.51,--,"235,500,000.00"
"Jan 30, 2019","1,173.29",55.95,--,"235,500,000.00"
"Jan 29, 2019","1,169.25",55.75,--,"235,500,000.00"
"Jan 28, 2019","1,166.05",55.59,--,"235,500,000.00"
"Jan 25, 2019","1,170.60",55.82,--,"235,500,000.00"
"Jan 24, 2019","1,158.24",55.23,--,"235,500,000.00"
"Jan 23, 2019","1,154.31",55.04,--,"235,500,000.00"
"Jan 22, 2019","1,155.18",55.09,--,"235,500,000.00"
"Jan 18, 2019","1,161.88",55.41,--,"235,500,000.00"
"Jan 17, 2019","1,149.19",54.80,--,"234,300,000.00"
"Jan 16, 2019","1,149.46",54.81,--,"234,300,000.00"
"Jan 15, 2019","1,148.10",54.74,--,"234,300,000.00"
"Jan 14, 2019","1,141.91",54.45,--,"234,300,000.00"
"Jan 11, 2019","1,147.06",54.69,--,"234,300,000.00"
"Jan 10, 2019","1,146.79",54.69,--,"234,300,000.00"
"Jan 09, 2019","1,144.26",54.57,--,"234,300,000.00"
"Jan 08, 2019","1,127.49",53.76,--,"232,900,000.00"
"Jan 07, 2019","1,123.10",53.53,--,"232,900,000.00"
"Jan 04, 2019","1,110.49",52.94,--,"228,400,000.00"
"Jan 03, 2019","1,093.34",52.10,--,"228,400,000.00"
"Jan 02, 2019","1,094.57",52.17,--,"228,400,000.00"
"Dec 31, 2018","1,101.41",52.49,--,"228,400,000.00"
"Dec 28, 2018","1,096.42",52.26,--,"227,900,000.00"
"Dec 27, 2018","1,082.17",51.58,--,"227,900,000.00"
"Dec 26, 2018","1,077.93",51.39,--,"227,900,000.00"
"Dec 24, 2018","1,085.91",51.75,--,"227,900,000.00"
"Dec 21, 2018","1,089.07",51.89,--,"227,900,000.00"
"Dec 20, 2018","1,094.61",52.16,--,"227,900,000.00"
"Dec 19, 2018","1,110.19",52.90,--,"227,900,000.00"
"Dec 18, 2018","1,105.76",52.69,0.69,"225,100,000.00"
"Dec 17, 2018","1,113.98",53.77,--,"225,100,000.00"
"Dec 14, 2018","1,118.80",54.00,--,"225,100,000.00"
