As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"5,605.32",281.6,--,594850000.00
26-Mar-19,"5,631.39",282.91,--,595100000.00
25-Mar-19,"5,591.23",280.9,--,594650000.00
22-Mar-19,"5,595.50",281.11,--,594400000.00
21-Mar-19,"5,703.28",286.52,--,593500000.00
20-Mar-19,"5,641.74",283.42,1.13,593500000.00
19-Mar-19,"5,658.15",285.38,--,594650000.00
18-Mar-19,"5,658.73",285.4,--,594350000.00
15-Mar-19,"5,637.77",284.35,--,594350000.00
14-Mar-19,"5,609.59",282.92,--,585900000.00
13-Mar-19,"5,612.56",283.07,--,585450000.00
12-Mar-19,"5,573.44",281.1,--,585550000.00
11-Mar-19,"5,556.77",280.26,--,570850000.00
8-Mar-19,"5,476.39",276.2,--,571400000.00
7-Mar-19,"5,487.56",276.77,--,572100000.00
6-Mar-19,"5,531.34",278.97,--,571150000.00
5-Mar-19,"5,567.40",280.79,--,570850000.00
4-Mar-19,"5,573.53",281.1,--,570250000.00
1-Mar-19,"5,595.11",282.19,--,569550000.00
28-Feb-19,"5,556.49",280.24,--,569900000.00
27-Feb-19,"5,570.57",280.96,--,570100000.00
26-Feb-19,"5,572.74",281.06,--,570400000.00
25-Feb-19,"5,577.09",281.28,--,570450000.00
22-Feb-19,"5,569.45",280.9,--,570800000.00
21-Feb-19,"5,533.80",279.1,--,571300000.00
20-Feb-19,"5,552.90",280.06,--,570650000.00
19-Feb-19,"5,541.98",279.51,--,570000000.00
15-Feb-19,"5,533.27",279.07,--,569200000.00
14-Feb-19,"5,473.33",276.05,--,569650000.00
13-Feb-19,"5,485.97",276.69,--,568300000.00
12-Feb-19,"5,468.98",275.83,--,568000000.00
11-Feb-19,"5,399.00",272.3,--,568000000.00
8-Feb-19,"5,395.12",272.11,--,567850000.00
7-Feb-19,"5,389.69",271.83,--,568950000.00
6-Feb-19,"5,439.80",274.36,--,569650000.00
5-Feb-19,"5,451.40",274.95,--,569350000.00
4-Feb-19,"5,425.80",273.66,--,569350000.00
1-Feb-19,"5,389.19",271.81,--,568500000.00
31-Jan-19,"5,383.63",271.53,--,568050000.00
30-Jan-19,"5,336.60",269.16,--,567750000.00
29-Jan-19,"5,254.31",265.01,--,568550000.00
28-Jan-19,"5,261.88",265.39,--,568550000.00
25-Jan-19,"5,303.51",267.49,--,594350000.00
24-Jan-19,"5,258.69",265.23,--,594950000.00
23-Jan-19,"5,251.29",264.86,--,594900000.00
22-Jan-19,"5,239.75",264.28,--,595800000.00
18-Jan-19,"5,314.78",268.06,--,596050000.00
17-Jan-19,"5,245.48",264.57,--,596050000.00
16-Jan-19,"5,205.45",262.55,--,595700000.00
15-Jan-19,"5,193.78",261.96,--,595700000.00
14-Jan-19,"5,138.58",259.18,--,596150000.00
11-Jan-19,"5,165.15",260.52,--,596300000.00
10-Jan-19,"5,165.89",260.56,--,596300000.00
9-Jan-19,"5,142.66",259.38,--,596300000.00
8-Jan-19,"5,120.04",258.25,--,596000000.00
7-Jan-19,"5,070.76",255.76,--,596250000.00
4-Jan-19,"5,035.45",253.98,--,595900000.00
3-Jan-19,"4,868.30",245.55,--,595300000.00
2-Jan-19,"4,990.56",251.72,--,594200000.00
31-Dec-18,"4,984.22",251.4,--,594150000.00
28-Dec-18,"4,941.61",249.25,0.32,592500000.00
27-Dec-18,"4,946.94",249.84,--,590450000.00
26-Dec-18,"4,904.49",247.7,--,589250000.00
24-Dec-18,"4,672.66",235.99,--,589250000.00
21-Dec-18,"4,802.51",242.55,--,588100000.00
20-Dec-18,"4,903.46",247.65,--,585900000.00
19-Dec-18,"4,981.92",251.61,--,585800000.00
18-Dec-18,"5,059.34",255.52,--,584000000.00
17-Dec-18,"5,058.58",255.49,1.44,580850000.00
14-Dec-18,"5,165.60",262.37,--,580700000.00
13-Dec-18,"5,265.46",267.44,--,580200000.00
12-Dec-18,"5,265.53",267.44,--,579150000.00
11-Dec-18,"5,237.10",266,--,578650000.00
10-Dec-18,"5,238.70",266.08,--,581350000.00
7-Dec-18,"5,229.44",265.61,--,584800000.00
6-Dec-18,"5,353.43",271.91,--,585000000.00
4-Dec-18,"5,359.91",272.24,--,585000000.00
3-Dec-18,"5,538.86",281.33,--,584200000.00
