As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","2,828.99",187.09,--,"254,600,000.00"
"Mar 26, 2019","2,831.58",187.27,--,"254,600,000.00"
"Mar 25, 2019","2,803.95",185.44,--,"254,450,000.00"
"Mar 22, 2019","2,799.03",185.11,--,"254,150,000.00"
"Mar 21, 2019","2,879.82",190.46,--,"254,500,000.00"
"Mar 20, 2019","2,841.75",187.94,0.70,"254,300,000.00"
"Mar 19, 2019","2,865.47",190.22,--,"253,650,000.00"
"Mar 18, 2019","2,880.34",191.20,--,"253,650,000.00"
"Mar 15, 2019","2,860.48",189.89,--,"253,600,000.00"
"Mar 14, 2019","2,855.22",189.54,--,"253,750,000.00"
"Mar 13, 2019","2,858.60",189.76,--,"253,750,000.00"
"Mar 12, 2019","2,847.30",189.01,--,"253,750,000.00"
"Mar 11, 2019","2,842.77",188.71,--,"253,600,000.00"
"Mar 08, 2019","2,804.98",186.21,--,"253,600,000.00"
"Mar 07, 2019","2,812.68",186.72,--,"253,350,000.00"
"Mar 06, 2019","2,836.25",188.28,--,"252,650,000.00"
"Mar 05, 2019","2,875.87",190.91,--,"252,650,000.00"
"Mar 04, 2019","2,888.15",191.73,--,"252,650,000.00"
"Mar 01, 2019","2,902.13",192.66,--,"252,550,000.00"
"Feb 28, 2019","2,879.37",191.15,--,"252,350,000.00"
"Feb 27, 2019","2,890.98",191.92,--,"252,350,000.00"
"Feb 26, 2019","2,887.17",191.67,--,"252,750,000.00"
"Feb 25, 2019","2,912.49",193.35,--,"252,750,000.00"
"Feb 22, 2019","2,913.23",193.40,--,"252,600,000.00"
"Feb 21, 2019","2,889.93",191.85,--,"252,600,000.00"
"Feb 20, 2019","2,899.87",192.51,--,"252,200,000.00"
"Feb 19, 2019","2,886.51",191.63,--,"252,200,000.00"
"Feb 15, 2019","2,882.84",191.39,--,"252,300,000.00"
"Feb 14, 2019","2,848.87",189.13,--,"254,050,000.00"
"Feb 13, 2019","2,850.29",189.23,--,"254,000,000.00"
"Feb 12, 2019","2,836.75",188.33,--,"252,250,000.00"
"Feb 11, 2019","2,807.10",186.36,--,"252,250,000.00"
"Feb 08, 2019","2,788.50",185.12,--,"252,300,000.00"
"Feb 07, 2019","2,791.30",185.31,--,"252,950,000.00"
"Feb 06, 2019","2,803.75",186.14,--,"252,850,000.00"
"Feb 05, 2019","2,807.95",186.42,--,"252,050,000.00"
"Feb 04, 2019","2,795.44",185.59,--,"252,050,000.00"
"Feb 01, 2019","2,771.60",184.00,--,"251,850,000.00"
"Jan 31, 2019","2,762.26",183.39,--,"252,000,000.00"
"Jan 30, 2019","2,749.68",182.55,--,"251,150,000.00"
"Jan 29, 2019","2,732.30",181.40,--,"250,950,000.00"
"Jan 28, 2019","2,732.34",181.40,--,"250,950,000.00"
"Jan 25, 2019","2,736.10",181.65,--,"250,950,000.00"
"Jan 24, 2019","2,706.70",179.70,--,"250,850,000.00"
"Jan 23, 2019","2,687.63",178.44,--,"250,900,000.00"
