As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"3,813.58",63.7,--,289700000.00
26-Mar-19,"3,831.35",64,--,289700000.00
25-Mar-19,"3,802.66",63.52,--,289700000.00
22-Mar-19,"3,804.28",63.55,--,288600000.00
21-Mar-19,"3,885.18",64.9,--,288600000.00
20-Mar-19,"3,841.38",64.16,0.24,288600000.00
19-Mar-19,"3,854.87",64.63,--,288000000.00
18-Mar-19,"3,858.18",64.68,--,288000000.00
15-Mar-19,"3,842.61",64.42,--,288000000.00
14-Mar-19,"3,825.25",64.13,--,288000000.00
13-Mar-19,"3,828.11",64.18,--,291700000.00
12-Mar-19,"3,802.81",63.76,--,291300000.00
11-Mar-19,"3,792.17",63.58,--,291300000.00
8-Mar-19,"3,736.33",62.64,--,291300000.00
7-Mar-19,"3,743.84",62.77,--,291300000.00
6-Mar-19,"3,773.39",63.27,--,291300000.00
5-Mar-19,"3,803.67",63.77,--,290100000.00
4-Mar-19,"3,809.42",63.87,--,290100000.00
1-Mar-19,"3,827.21",64.17,--,289850000.00
28-Feb-19,"3,800.87",63.73,--,289850000.00
27-Feb-19,"3,811.25",63.91,--,289850000.00
26-Feb-19,"3,809.58",63.88,--,288050000.00
25-Feb-19,"3,815.61",63.98,--,286800000.00
22-Feb-19,"3,810.86",63.9,--,282100000.00
21-Feb-19,"3,784.48",63.46,--,274200000.00
20-Feb-19,"3,797.87",63.69,--,273050000.00
19-Feb-19,"3,790.55",63.56,--,273050000.00
15-Feb-19,"3,784.21",63.46,--,273050000.00
14-Feb-19,"3,742.42",62.76,--,273050000.00
13-Feb-19,"3,749.25",62.87,--,271550000.00
12-Feb-19,"3,737.86",62.68,--,271550000.00
11-Feb-19,"3,690.59",61.89,--,271550000.00
8-Feb-19,"3,684.77",61.79,--,271550000.00
7-Feb-19,"3,680.87",61.73,--,271550000.00
6-Feb-19,"3,713.41",62.27,--,270750000.00
5-Feb-19,"3,721.17",62.4,--,271250000.00
4-Feb-19,"3,704.54",62.13,--,271250000.00
1-Feb-19,"3,678.03",61.68,--,270900000.00
31-Jan-19,"3,671.94",61.58,--,270900000.00
30-Jan-19,"3,639.90",61.05,--,271400000.00
29-Jan-19,"3,586.14",60.15,--,275950000.00
28-Jan-19,"3,591.52",60.24,--,275950000.00
25-Jan-19,"3,617.68",60.68,--,275950000.00
24-Jan-19,"3,584.06",60.12,--,276500000.00
23-Jan-19,"3,575.53",59.98,--,277750000.00
22-Jan-19,"3,570.20",59.89,--,278250000.00
18-Jan-19,"3,622.38",60.76,--,276850000.00
17-Jan-19,"3,576.22",59.99,--,275700000.00
16-Jan-19,"3,548.41",59.52,--,274200000.00
15-Jan-19,"3,537.72",59.34,--,262850000.00
14-Jan-19,"3,501.27",58.73,--,265950000.00
11-Jan-19,"3,521.07",59.05,--,266250000.00
10-Jan-19,"3,520.82",59.04,--,266250000.00
9-Jan-19,"3,504.30",58.77,--,266550000.00
8-Jan-19,"3,486.26",58.47,--,266550000.00
7-Jan-19,"3,449.87",57.85,--,268400000.00
4-Jan-19,"3,420.11",57.36,--,269000000.00
3-Jan-19,"3,305.61",55.43,--,269250000.00
2-Jan-19,"3,384.46",56.75,--,267900000.00
31-Dec-18,"3,380.83",56.69,--,266900000.00
28-Dec-18,"3,351.51",56.2,0.06,263950000.00
27-Dec-18,"3,352.63",56.28,--,262600000.00
26-Dec-18,"3,326.35",55.84,--,259700000.00
24-Dec-18,"3,169.11",53.2,--,259700000.00
21-Dec-18,"3,254.77",54.63,--,259000000.00
20-Dec-18,"3,324.65",55.8,--,258050000.00
19-Dec-18,"3,378.87",56.71,--,256750000.00
18-Dec-18,"3,432.36",57.61,--,260800000.00
17-Dec-18,"3,431.99",57.6,0.35,261450000.00
14-Dec-18,"3,507.05",59.22,--,259950000.00
13-Dec-18,"3,571.79",60.31,--,259950000.00
12-Dec-18,"3,578.95",60.44,--,257950000.00
11-Dec-18,"3,557.67",60.08,--,256950000.00
10-Dec-18,"3,560.27",60.12,--,257200000.00
7-Dec-18,"3,556.99",60.07,--,255100000.00
6-Dec-18,"3,640.55",61.48,--,254750000.00
4-Dec-18,"3,643.88",61.54,--,252250000.00
3-Dec-18,"3,769.45",63.65,--,252250000.00
30-Nov-18,"3,728.53",62.96,--,251650000.00
29-Nov-18,"3,698.59",62.46,--,251200000.00
28-Nov-18,"3,705.61",62.58,--,249100000.00
27-Nov-18,"3,621.50",61.16,--,249100000.00
26-Nov-18,"3,617.09",61.08,--,249950000.00
23-Nov-18,"3,561.92",60.15,--,249950000.00
21-Nov-18,"3,581.34",60.48,--,250250000.00
20-Nov-18,"3,564.21",60.19,--,251350000.00
19-Nov-18,"3,628.39",61.27,--,250000000.00
16-Nov-18,"3,692.83",62.36,--,250000000.00
15-Nov-18,"3,684.76",62.22,--,249750000.00
14-Nov-18,"3,643.40",61.52,--,249750000.00
13-Nov-18,"3,670.57",61.98,--,249200000.00
12-Nov-18,"3,675.15",62.06,--,249200000.00
9-Nov-18,"3,748.92",63.3,--,249200000.00
8-Nov-18,"3,786.70",63.94,--,249200000.00
7-Nov-18,"3,796.19",64.1,--,248700000.00
6-Nov-18,"3,719.94",62.81,--,248700000.00
5-Nov-18,"3,697.68",62.43,--,248700000.00
2-Nov-18,"3,680.71",62.15,--,248700000.00
1-Nov-18,"3,700.56",62.48,--,247400000.00
31-Oct-18,"3,655.29",61.72,--,246250000.00
30-Oct-18,"3,616.42",61.06,--,245100000.00
29-Oct-18,"3,558.63",60.09,--,245100000.00
26-Oct-18,"3,582.10",60.48,--,244600000.00
25-Oct-18,"3,642.31",61.5,--,244400000.00
24-Oct-18,"3,575.13",60.37,--,241900000.00
23-Oct-18,"3,692.19",62.34,--,241550000.00
22-Oct-18,"3,713.79",62.7,--,241550000.00
19-Oct-18,"3,729.10",62.96,--,241150000.00
18-Oct-18,"3,736.58",63.09,--,241150000.00
17-Oct-18,"3,792.52",64.03,--,240850000.00
16-Oct-18,"3,795.64",64.08,--,239600000.00
15-Oct-18,"3,713.07",62.69,--,239300000.00
12-Oct-18,"3,729.69",62.97,--,239300000.00
11-Oct-18,"3,681.81",62.16,--,239300000.00
10-Oct-18,"3,757.37",63.43,--,239300000.00
9-Oct-18,"3,883.21",65.56,--,239300000.00
8-Oct-18,"3,890.14",65.68,--,239300000.00
5-Oct-18,"3,894.42",65.75,--,239300000.00
4-Oct-18,"3,918.19",66.15,--,239300000.00
3-Oct-18,"3,953.81",66.75,--,239300000.00
2-Oct-18,"3,947.33",66.64,--,239300000.00
1-Oct-18,"3,953.60",66.74,--,239050000.00
28-Sep-18,"3,947.70",66.64,--,238800000.00
27-Sep-18,"3,946.02",66.61,--,238800000.00
26-Sep-18,"3,935.93",66.44,0.3,238800000.00
25-Sep-18,"3,952.25",67.01,--,238200000.00
24-Sep-18,"3,954.87",67.06,--,238200000.00
21-Sep-18,"3,969.19",67.31,--,239100000.00
20-Sep-18,"3,972.43",67.36,--,239100000.00
19-Sep-18,"3,941.16",66.83,--,238200000.00
18-Sep-18,"3,940.05",66.81,--,238200000.00
17-Sep-18,"3,919.57",66.46,--,237600000.00
14-Sep-18,"3,945.26",66.9,--,237600000.00
13-Sep-18,"3,941.33",66.83,--,237600000.00
12-Sep-18,"3,922.36",66.51,--,237600000.00
11-Sep-18,"3,921.31",66.49,--,237600000.00
10-Sep-18,"3,907.86",66.26,--,237250000.00
7-Sep-18,"3,899.23",66.12,--,237250000.00
6-Sep-18,"3,907.38",66.26,--,236950000.00
5-Sep-18,"3,922.00",66.51,--,236950000.00
4-Sep-18,"3,934.94",66.73,--,236600000.00
31-Aug-18,"3,941.47",66.84,--,236600000.00
30-Aug-18,"3,938.25",66.78,--,236600000.00
29-Aug-18,"3,954.34",67.06,--,236350000.00
28-Aug-18,"3,933.07",66.7,--,236350000.00
27-Aug-18,"3,931.61",66.67,--,235900000.00
24-Aug-18,"3,903.71",66.2,--,235900000.00
23-Aug-18,"3,879.49",65.79,--,235900000.00
22-Aug-18,"3,886.86",65.91,--,235300000.00
21-Aug-18,"3,886.63",65.91,--,235050000.00
20-Aug-18,"3,873.79",65.7,--,235050000.00
17-Aug-18,"3,863.45",65.52,--,235050000.00
16-Aug-18,"3,850.11",65.29,--,234850000.00
15-Aug-18,"3,818.72",64.76,--,234850000.00
14-Aug-18,"3,850.10",65.29,--,234400000.00
13-Aug-18,"3,823.91",64.85,--,233700000.00
10-Aug-18,"3,840.63",65.13,--,233700000.00
9-Aug-18,"3,864.46",65.54,--,233700000.00
8-Aug-18,"3,867.09",65.58,--,233350000.00
7-Aug-18,"3,869.10",65.62,--,233050000.00
6-Aug-18,"3,857.60",65.42,--,232700000.00
3-Aug-18,"3,841.74",65.15,--,232700000.00
2-Aug-18,"3,828.22",64.92,--,232700000.00
1-Aug-18,"3,805.43",64.54,--,232400000.00
31-Jul-18,"3,809.03",64.6,--,232200000.00
30-Jul-18,"3,787.11",64.23,--,232200000.00
27-Jul-18,"3,810.60",64.62,--,232200000.00
26-Jul-18,"3,841.54",65.15,--,232200000.00
25-Jul-18,"3,848.11",65.26,--,231950000.00
24-Jul-18,"3,816.01",64.72,--,231650000.00
23-Jul-18,"3,807.62",64.57,--,231650000.00
20-Jul-18,"3,802.04",64.48,--,231000000.00
19-Jul-18,"3,807.23",64.57,--,230750000.00
18-Jul-18,"3,817.53",64.74,--,230750000.00
17-Jul-18,"3,808.64",64.59,--,230550000.00
16-Jul-18,"3,792.25",64.31,--,230850000.00
13-Jul-18,"3,798.91",64.42,--,230850000.00
12-Jul-18,"3,796.22",64.38,--,230850000.00
11-Jul-18,"3,765.30",63.85,--,231150000.00
10-Jul-18,"3,791.89",64.3,--,232200000.00
9-Jul-18,"3,782.55",64.15,--,232200000.00
6-Jul-18,"3,749.19",63.58,--,232200000.00
5-Jul-18,"3,716.89",63.03,--,232100000.00
3-Jul-18,"3,683.87",62.47,--,232100000.00
2-Jul-18,"3,698.17",62.71,--,232100000.00
29-Jun-18,"3,685.75",62.5,--,232100000.00
28-Jun-18,"3,683.11",62.46,--,231700000.00
27-Jun-18,"3,660.92",62.08,--,231300000.00
26-Jun-18,"3,696.65",62.69,0.26,229500000.00
25-Jun-18,"3,686.94",62.78,--,229500000.00
22-Jun-18,"3,740.51",63.69,--,229650000.00
21-Jun-18,"3,734.77",63.6,--,229650000.00
20-Jun-18,"3,760.99",64.04,--,229650000.00
19-Jun-18,"3,751.15",63.87,--,228900000.00
18-Jun-18,"3,764.99",64.11,--,228600000.00
15-Jun-18,"3,768.94",64.17,--,228500000.00
14-Jun-18,"3,771.91",64.22,--,228500000.00
13-Jun-18,"3,760.36",64.03,--,228400000.00
12-Jun-18,"3,775.67",64.29,--,228050000.00
11-Jun-18,"3,767.14",64.14,--,227350000.00
8-Jun-18,"3,763.05",64.07,--,226950000.00
7-Jun-18,"3,750.78",63.87,--,225400000.00
6-Jun-18,"3,754.61",63.93,--,225400000.00
5-Jun-18,"3,722.80",63.39,--,225150000.00
4-Jun-18,"3,717.39",63.3,--,224850000.00
1-Jun-18,"3,700.04",63,--,224600000.00
31-May-18,"3,661.55",62.35,--,224550000.00
30-May-18,"3,686.73",62.78,--,223350000.00
29-May-18,"3,639.52",61.97,--,221850000.00
25-May-18,"3,676.59",62.6,--,221850000.00
24-May-18,"3,684.00",62.73,--,221550000.00
23-May-18,"3,689.85",62.83,--,221550000.00
22-May-18,"3,678.88",62.65,--,221300000.00
21-May-18,"3,692.82",62.88,--,221300000.00
18-May-18,"3,665.99",62.43,--,220750000.00
17-May-18,"3,673.43",62.56,--,220750000.00
16-May-18,"3,672.78",62.55,--,220500000.00
15-May-18,"3,655.07",62.24,--,220500000.00
14-May-18,"3,676.93",62.62,--,220200000.00
11-May-18,"3,675.80",62.6,--,219700000.00
10-May-18,"3,669.09",62.48,--,219250000.00
9-May-18,"3,637.14",61.94,--,219250000.00
8-May-18,"3,603.84",61.37,--,218850000.00
7-May-18,"3,602.44",61.35,--,218850000.00
4-May-18,"3,586.86",61.08,--,217800000.00
3-May-18,"3,540.92",60.3,--,217800000.00
2-May-18,"3,549.14",60.44,--,217800000.00
1-May-18,"3,570.60",60.8,--,217800000.00
30-Apr-18,"3,560.96",60.64,--,217800000.00
27-Apr-18,"3,589.97",61.13,--,217500000.00
26-Apr-18,"3,587.77",61.1,--,217500000.00
25-Apr-18,"3,553.63",60.52,--,217500000.00
24-Apr-18,"3,549.55",60.45,--,217000000.00
23-Apr-18,"3,594.22",61.21,--,215750000.00
20-Apr-18,"3,594.82",61.22,--,215750000.00
19-Apr-18,"3,623.89",61.71,--,215400000.00
18-Apr-18,"3,644.26",62.06,--,215200000.00
17-Apr-18,"3,639.69",61.98,--,215200000.00
16-Apr-18,"3,601.15",61.32,--,215200000.00
13-Apr-18,"3,571.70",60.82,--,214700000.00
12-Apr-18,"3,583.05",61.02,--,214700000.00
11-Apr-18,"3,554.90",60.54,--,214700000.00
10-Apr-18,"3,570.97",60.81,--,214700000.00
9-Apr-18,"3,511.38",59.8,--,214600000.00
6-Apr-18,"3,501.03",59.62,--,214350000.00
5-Apr-18,"3,577.40",60.92,--,214350000.00
4-Apr-18,"3,552.23",60.49,--,214350000.00
3-Apr-18,"3,511.65",59.8,--,214350000.00
2-Apr-18,"3,468.43",59.06,--,214300000.00
29-Mar-18,"3,548.29",60.42,--,214300000.00
28-Mar-18,"3,500.90",59.61,--,214550000.00
27-Mar-18,"3,509.72",59.76,--,214200000.00
26-Mar-18,"3,572.28",60.83,--,214200000.00
23-Mar-18,"3,481.09",59.27,--,214050000.00
22-Mar-18,"3,554.63",60.53,0.25,213950000.00
21-Mar-18,"3,644.64",62.32,--,213950000.00
20-Mar-18,"3,647.16",62.36,--,213700000.00
19-Mar-18,"3,641.97",62.27,--,213700000.00
16-Mar-18,"3,691.83",63.12,--,212650000.00
15-Mar-18,"3,682.98",62.97,--,212650000.00
14-Mar-18,"3,687.96",63.06,--,212650000.00
13-Mar-18,"3,707.31",63.39,--,212650000.00
12-Mar-18,"3,730.44",63.78,--,212650000.00
9-Mar-18,"3,732.72",63.82,--,212650000.00
8-Mar-18,"3,670.79",62.76,--,212650000.00
7-Mar-18,"3,656.45",62.52,--,212300000.00
6-Mar-18,"3,654.33",62.48,--,212300000.00
5-Mar-18,"3,640.56",62.25,--,212300000.00
2-Mar-18,"3,601.33",61.57,--,212250000.00
1-Mar-18,"3,577.78",61.17,--,212250000.00
28-Feb-18,"3,620.05",61.9,--,212250000.00
27-Feb-18,"3,660.37",62.59,--,212250000.00
26-Feb-18,"3,707.56",63.39,--,212250000.00
23-Feb-18,"3,667.83",62.71,--,212050000.00
22-Feb-18,"3,611.95",61.76,--,211800000.00
21-Feb-18,"3,609.99",61.73,--,211800000.00
20-Feb-18,"3,627.35",62.02,--,211450000.00
16-Feb-18,"3,649.15",62.4,--,209750000.00
15-Feb-18,"3,646.56",62.35,--,209400000.00
14-Feb-18,"3,603.46",61.62,--,208950000.00
13-Feb-18,"3,552.14",60.74,--,208700000.00
12-Feb-18,"3,542.05",60.56,--,208450000.00
9-Feb-18,"3,495.27",59.76,--,208250000.00
8-Feb-18,"3,446.24",58.92,--,209450000.00
7-Feb-18,"3,576.74",61.15,--,209250000.00
6-Feb-18,"3,591.33",61.4,--,209100000.00
5-Feb-18,"3,534.33",60.43,--,209400000.00
2-Feb-18,"3,680.81",62.93,--,209350000.00
1-Feb-18,"3,759.02",64.27,--,209350000.00
31-Jan-18,"3,759.31",64.27,--,207800000.00
30-Jan-18,"3,759.20",64.27,--,207150000.00
29-Jan-18,"3,799.60",64.97,--,206950000.00
26-Jan-18,"3,825.31",65.41,--,206850000.00
25-Jan-18,"3,784.80",64.71,--,208400000.00
24-Jan-18,"3,782.83",64.68,--,207850000.00
23-Jan-18,"3,787.50",64.76,--,207850000.00
22-Jan-18,"3,778.16",64.6,--,207850000.00
19-Jan-18,"3,748.70",64.1,--,207650000.00
18-Jan-18,"3,727.87",63.74,--,207650000.00
17-Jan-18,"3,735.28",63.87,--,207450000.00
16-Jan-18,"3,701.12",63.28,--,207650000.00
12-Jan-18,"3,718.24",63.57,--,207650000.00
11-Jan-18,"3,695.78",63.19,--,207400000.00
10-Jan-18,"3,664.95",62.66,--,206900000.00
9-Jan-18,"3,669.22",62.74,--,206650000.00
8-Jan-18,"3,664.82",62.66,--,206650000.00
5-Jan-18,"3,657.91",62.54,--,206650000.00
4-Jan-18,"3,634.49",62.14,--,206650000.00
3-Jan-18,"3,620.71",61.91,--,206150000.00
2-Jan-18,"3,599.59",61.55,--,205900000.00
29-Dec-17,"3,569.88",61.04,--,205650000.00
28-Dec-17,"3,589.14",61.37,--,205400000.00
27-Dec-17,"3,580.76",61.23,--,204600000.00
26-Dec-17,"3,577.99",61.18,--,204600000.00
22-Dec-17,"3,580.51",61.22,--,204200000.00
21-Dec-17,"3,582.08",61.25,--,204200000.00
20-Dec-17,"3,573.71",61.1,--,204500000.00
