As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"2,110.19",109.04,--,543600000.00
26-Mar-19,"2,105.84",108.81,--,543600000.00
25-Mar-19,"2,104.72",108.75,--,543600000.00
22-Mar-19,"2,099.93",108.51,--,544400000.00
21-Mar-19,"2,090.56",108.02,--,544400000.00
20-Mar-19,"2,089.18",107.95,--,543600000.00
19-Mar-19,"2,081.83",107.57,--,543400000.00
18-Mar-19,"2,082.52",107.61,--,543200000.00
15-Mar-19,"2,081.88",107.57,--,543200000.00
14-Mar-19,"2,078.05",107.37,--,543200000.00
13-Mar-19,"2,080.62",107.51,--,543000000.00
12-Mar-19,"2,081.23",107.54,--,542800000.00
11-Mar-19,"2,076.04",107.27,--,541200000.00
8-Mar-19,"2,077.11",107.32,--,541400000.00
7-Mar-19,"2,075.77",107.26,--,540900000.00
6-Mar-19,"2,070.01",106.96,--,540900000.00
5-Mar-19,"2,067.21",106.82,--,541900000.00
4-Mar-19,"2,066.92",106.8,--,541900000.00
1-Mar-19,"2,063.07",106.6,0.27,541900000.00
28-Feb-19,"2,067.14",107.07,--,540500000.00
27-Feb-19,"2,068.47",107.15,--,540300000.00
26-Feb-19,"2,073.92",107.43,--,539400000.00
25-Feb-19,"2,070.41",107.25,--,539000000.00
22-Feb-19,"2,071.35",107.3,--,538800000.00
21-Feb-19,"2,067.20",107.08,--,538500000.00
20-Feb-19,"2,071.32",107.29,--,538300000.00
19-Feb-19,"2,072.02",107.33,--,538200000.00
15-Feb-19,"2,069.13",107.18,--,537900000.00
14-Feb-19,"2,069.25",107.19,--,537900000.00
13-Feb-19,"2,065.10",106.97,--,537700000.00
12-Feb-19,"2,067.15",107.08,--,537500000.00
11-Feb-19,"2,068.68",107.16,--,536300000.00
8-Feb-19,"2,071.09",107.28,--,536100000.00
7-Feb-19,"2,069.00",107.18,--,536100000.00
6-Feb-19,"2,064.98",106.97,--,536000000.00
5-Feb-19,"2,064.70",106.95,--,534600000.00
4-Feb-19,"2,060.87",106.76,--,534000000.00
1-Feb-19,"2,063.18",106.87,0.27,534400000.00
31-Jan-19,"2,068.34",107.41,--,534900000.00
30-Jan-19,"2,060.17",106.98,--,534900000.00
29-Jan-19,"2,057.54",106.85,--,534900000.00
28-Jan-19,"2,053.77",106.65,--,536100000.00
25-Jan-19,"2,052.40",106.58,--,535900000.00
24-Jan-19,"2,055.37",106.74,--,535900000.00
23-Jan-19,"2,050.40",106.48,--,536500000.00
22-Jan-19,"2,051.87",106.55,--,536500000.00
18-Jan-19,"2,046.35",106.27,--,537700000.00
17-Jan-19,"2,048.01",106.35,--,537500000.00
16-Jan-19,"2,048.46",106.38,--,540400000.00
15-Jan-19,"2,049.11",106.41,--,544500000.00
14-Jan-19,"2,049.06",106.41,--,544000000.00
11-Jan-19,"2,050.23",106.47,--,543800000.00
10-Jan-19,"2,046.72",106.29,--,543200000.00
9-Jan-19,"2,047.91",106.35,--,542500000.00
8-Jan-19,"2,047.83",106.35,--,542000000.00
7-Jan-19,"2,050.39",106.48,--,541800000.00
4-Jan-19,"2,050.97",106.51,--,540800000.00
3-Jan-19,"2,060.54",107,--,538900000.00
2-Jan-19,"2,049.21",106.42,--,537100000.00
31-Dec-18,"2,046.60",106.27,--,535700000.00
28-Dec-18,"2,041.58",106.02,--,534800000.00
