As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","4,349.87",58.27,--,"420,900,000.00"
"Mar 26, 2019","4,361.15",58.43,--,"416,700,000.00"
"Mar 25, 2019","4,328.83",57.99,--,"416,200,000.00"
"Mar 22, 2019","4,324.44",57.94,--,"416,100,000.00"
"Mar 21, 2019","4,356.37",58.36,--,"414,900,000.00"
"Mar 20, 2019","4,302.19",57.64,0.24,"414,300,000.00"
"Mar 19, 2019","4,318.33",58.09,--,"413,700,000.00"
"Mar 18, 2019","4,328.13",58.22,--,"413,000,000.00"
"Mar 15, 2019","4,324.45",58.17,--,"412,200,000.00"
"Mar 14, 2019","4,309.44",57.97,--,"411,800,000.00"
"Mar 13, 2019","4,312.26",58.01,--,"411,400,000.00"
"Mar 12, 2019","4,291.29",57.72,--,"411,500,000.00"
"Mar 11, 2019","4,278.86",57.56,--,"410,700,000.00"
"Mar 08, 2019","4,230.96",56.91,--,"410,300,000.00"
"Mar 07, 2019","4,236.29",56.98,--,"410,200,000.00"
"Mar 06, 2019","4,252.67",57.21,--,"408,800,000.00"
"Mar 05, 2019","4,270.03",57.44,--,"408,400,000.00"
"Mar 04, 2019","4,270.61",57.45,--,"408,900,000.00"
"Mar 01, 2019","4,294.17",57.76,--,"408,800,000.00"
"Feb 28, 2019","4,274.52",57.50,--,"408,200,000.00"
"Feb 27, 2019","4,261.78",57.33,--,"407,800,000.00"
"Feb 26, 2019","4,262.27",57.34,--,"406,100,000.00"
"Feb 25, 2019","4,264.94",57.37,--,"405,500,000.00"
"Feb 22, 2019","4,277.26",57.54,--,"405,000,000.00"
"Feb 21, 2019","4,251.92",57.20,--,"403,500,000.00"
"Feb 20, 2019","4,251.72",57.20,--,"403,500,000.00"
"Feb 19, 2019","4,246.34",57.12,--,"402,000,000.00"
"Feb 15, 2019","4,238.13",57.02,--,"401,700,000.00"
"Feb 14, 2019","4,194.40",56.43,--,"395,400,000.00"
"Feb 13, 2019","4,208.44",56.62,--,"391,700,000.00"
"Feb 12, 2019","4,199.02",56.49,--,"390,300,000.00"
"Feb 11, 2019","4,170.48",56.11,--,"389,400,000.00"
"Feb 08, 2019","4,169.14",56.09,--,"389,400,000.00"
"Feb 07, 2019","4,152.20",55.86,--,"389,400,000.00"
"Feb 06, 2019","4,158.20",55.94,--,"387,400,000.00"
"Feb 05, 2019","4,164.40",56.03,--,"383,200,000.00"
"Feb 04, 2019","4,152.47",55.87,--,"382,600,000.00"
"Feb 01, 2019","4,128.02",55.54,--,"382,100,000.00"
"Jan 31, 2019","4,118.60",55.41,--,"381,200,000.00"
"Jan 30, 2019","4,086.77",54.98,--,"380,900,000.00"
"Jan 29, 2019","4,043.51",54.40,--,"384,100,000.00"
"Jan 28, 2019","4,034.52",54.28,--,"383,200,000.00"
"Jan 25, 2019","4,044.72",54.42,--,"381,700,000.00"
"Jan 24, 2019","4,030.99",54.23,--,"380,800,000.00"
"Jan 23, 2019","4,042.01",54.38,--,"380,200,000.00"
"Jan 22, 2019","4,018.31",54.06,--,"378,400,000.00"
"Jan 18, 2019","4,043.69",54.40,--,"377,500,000.00"
"Jan 17, 2019","4,000.17",53.82,--,"374,600,000.00"
"Jan 16, 2019","3,974.86",53.48,--,"373,500,000.00"
"Jan 15, 2019","3,976.10",53.50,--,"370,100,000.00"
"Jan 14, 2019","3,939.73",53.01,--,"369,500,000.00"
"Jan 11, 2019","3,965.85",53.36,--,"368,500,000.00"
"Jan 10, 2019","3,963.50",53.33,--,"367,800,000.00"
"Jan 09, 2019","3,935.93",52.96,--,"367,700,000.00"
"Jan 08, 2019","3,935.66",52.95,--,"367,400,000.00"
"Jan 07, 2019","3,899.42",52.46,--,"365,400,000.00"
"Jan 04, 2019","3,888.53",52.32,--,"364,200,000.00"
"Jan 03, 2019","3,804.31",51.18,--,"363,700,000.00"
"Jan 02, 2019","3,859.11",51.92,--,"362,600,000.00"
"Dec 31, 2018","3,894.08",52.39,--,"360,500,000.00"
"Dec 28, 2018","3,861.87",51.96,0.03,"357,400,000.00"
"Dec 27, 2018","3,865.20",52.04,--,"355,900,000.00"
"Dec 26, 2018","3,824.54",51.49,--,"355,300,000.00"
"Dec 24, 2018","3,693.44",49.72,--,"353,400,000.00"
"Dec 21, 2018","3,803.15",51.20,--,"351,500,000.00"
"Dec 20, 2018","3,853.49",51.88,--,"348,700,000.00"
"Dec 19, 2018","3,907.07",52.60,--,"348,300,000.00"
"Dec 18, 2018","3,944.13",53.10,--,"348,600,000.00"
"Dec 17, 2018","3,953.15",53.23,0.30,"346,200,000.00"
"Dec 14, 2018","4,040.99",54.72,--,"345,900,000.00"
"Dec 13, 2018","4,100.58",55.52,--,"342,600,000.00"
"Dec 12, 2018","4,086.97",55.34,--,"341,000,000.00"
"Dec 11, 2018","4,084.42",55.31,--,"338,600,000.00"
"Dec 10, 2018","4,083.57",55.30,--,"338,100,000.00"
"Dec 07, 2018","4,068.37",55.09,--,"336,700,000.00"
"Dec 06, 2018","4,130.44",55.93,--,"334,300,000.00"
"Dec 04, 2018","4,131.81",55.95,--,"332,000,000.00"
"Dec 03, 2018","4,208.54",56.99,--,"332,000,000.00"
"Nov 30, 2018","4,191.69",56.76,--,"341,300,000.00"
"Nov 29, 2018","4,151.66",56.22,--,"341,000,000.00"
"Nov 28, 2018","4,156.17",56.28,--,"329,900,000.00"
"Nov 27, 2018","4,085.47",55.32,--,"328,900,000.00"
"Nov 26, 2018","4,072.33",55.15,--,"328,500,000.00"
"Nov 23, 2018","4,038.18",54.68,--,"328,800,000.00"
"Nov 21, 2018","4,047.32",54.81,--,"327,300,000.00"
"Nov 20, 2018","4,050.97",54.86,--,"325,800,000.00"
"Nov 19, 2018","4,105.22",55.59,--,"325,400,000.00"
"Nov 16, 2018","4,145.17",56.14,--,"324,200,000.00"
"Nov 15, 2018","4,120.78",55.81,--,"322,700,000.00"
"Nov 14, 2018","4,094.98",55.46,--,"321,200,000.00"
"Nov 13, 2018","4,114.64",55.72,--,"321,200,000.00"
"Nov 12, 2018","4,124.69",55.86,--,"316,700,000.00"
"Nov 09, 2018","4,172.64",56.51,--,"316,400,000.00"
"Nov 08, 2018","4,175.16",56.54,--,"315,400,000.00"
"Nov 07, 2018","4,171.76",56.50,--,"314,400,000.00"
"Nov 06, 2018","4,105.21",55.60,--,"313,700,000.00"
"Nov 05, 2018","4,082.26",55.29,--,"313,000,000.00"
"Nov 02, 2018","4,046.88",54.81,--,"312,100,000.00"
"Nov 01, 2018","4,055.05",54.92,--,"311,300,000.00"
"Oct 31, 2018","4,040.83",54.73,--,"307,200,000.00"
"Oct 30, 2018","4,031.22",54.60,--,"306,800,000.00"
"Oct 29, 2018","3,973.75",53.82,--,"306,000,000.00"
"Oct 26, 2018","3,972.69",53.81,--,"306,000,000.00"
"Oct 25, 2018","4,025.06",54.52,--,"305,200,000.00"
"Oct 24, 2018","3,999.80",54.17,--,"303,500,000.00"
"Oct 23, 2018","4,062.26",55.02,--,"303,600,000.00"
"Oct 22, 2018","4,074.89",55.19,--,"303,000,000.00"
"Oct 19, 2018","4,089.17",55.38,--,"302,100,000.00"
"Oct 18, 2018","4,080.47",55.27,--,"301,400,000.00"
"Oct 17, 2018","4,107.56",55.64,--,"300,300,000.00"
"Oct 16, 2018","4,106.55",55.62,--,"295,600,000.00"
"Oct 15, 2018","4,032.20",54.61,--,"295,000,000.00"
"Oct 12, 2018","4,034.63",54.65,--,"295,000,000.00"
"Oct 11, 2018","3,995.18",54.12,--,"294,800,000.00"
"Oct 10, 2018","4,083.44",55.31,--,"294,200,000.00"
"Oct 09, 2018","4,188.89",56.74,--,"296,200,000.00"
"Oct 08, 2018","4,183.70",56.67,--,"295,800,000.00"
"Oct 05, 2018","4,177.28",56.58,--,"295,800,000.00"
"Oct 04, 2018","4,175.78",56.56,--,"295,800,000.00"
"Oct 03, 2018","4,194.18",56.81,--,"296,000,000.00"
"Oct 02, 2018","4,212.65",57.06,--,"297,700,000.00"
"Oct 01, 2018","4,208.15",57.00,--,"296,900,000.00"
"Sep 28, 2018","4,210.16",57.03,--,"296,600,000.00"
"Sep 27, 2018","4,188.17",56.73,--,"296,600,000.00"
"Sep 26, 2018","4,182.85",56.66,0.25,"295,800,000.00"
"Sep 25, 2018","4,198.54",57.13,--,"295,800,000.00"
"Sep 24, 2018","4,202.42",57.18,--,"295,400,000.00"
"Sep 21, 2018","4,233.43",57.60,--,"295,200,000.00"
"Sep 20, 2018","4,220.74",57.43,--,"294,700,000.00"
"Sep 19, 2018","4,198.05",57.12,--,"294,300,000.00"
"Sep 18, 2018","4,218.07",57.40,--,"294,000,000.00"
"Sep 17, 2018","4,204.99",57.22,--,"294,000,000.00"
"Sep 14, 2018","4,213.02",57.33,--,"294,300,000.00"
"Sep 13, 2018","4,213.31",57.33,--,"292,500,000.00"
"Sep 12, 2018","4,189.01",57.00,--,"290,200,000.00"
"Sep 11, 2018","4,181.09",56.90,--,"289,000,000.00"
"Sep 10, 2018","4,176.12",56.83,--,"288,300,000.00"
"Sep 07, 2018","4,167.10",56.71,--,"288,300,000.00"
"Sep 06, 2018","4,181.59",56.90,--,"288,300,000.00"
"Sep 05, 2018","4,163.22",56.65,--,"287,000,000.00"
"Sep 04, 2018","4,155.53",56.55,--,"286,900,000.00"
"Aug 31, 2018","4,158.06",56.59,--,"286,900,000.00"
"Aug 30, 2018","4,151.20",56.49,--,"286,600,000.00"
"Aug 29, 2018","4,166.55",56.70,--,"286,300,000.00"
"Aug 28, 2018","4,150.29",56.48,--,"286,200,000.00"
"Aug 27, 2018","4,149.90",56.48,--,"286,300,000.00"
"Aug 24, 2018","4,142.95",56.38,--,"286,100,000.00"
"Aug 23, 2018","4,120.21",56.07,--,"284,900,000.00"
"Aug 22, 2018","4,119.59",56.06,--,"284,800,000.00"
"Aug 21, 2018","4,130.94",56.22,--,"279,100,000.00"
"Aug 20, 2018","4,137.87",56.31,--,"278,900,000.00"
"Aug 17, 2018","4,130.84",56.22,--,"278,700,000.00"
"Aug 16, 2018","4,109.14",55.92,--,"278,700,000.00"
"Aug 15, 2018","4,075.30",55.46,--,"278,400,000.00"
"Aug 14, 2018","4,076.90",55.49,--,"277,900,000.00"
"Aug 13, 2018","4,057.09",55.22,--,"277,000,000.00"
"Aug 10, 2018","4,064.73",55.32,--,"276,600,000.00"
"Aug 09, 2018","4,080.51",55.54,--,"276,600,000.00"
"Aug 08, 2018","4,077.54",55.50,--,"276,300,000.00"
"Aug 07, 2018","4,079.19",55.52,--,"276,400,000.00"
"Aug 06, 2018","4,073.15",55.44,--,"276,200,000.00"
"Aug 03, 2018","4,062.57",55.29,--,"276,200,000.00"
"Aug 02, 2018","4,038.01",54.96,--,"275,900,000.00"
"Aug 01, 2018","4,024.88",54.78,--,"276,700,000.00"
"Jul 31, 2018","4,033.80",54.90,--,"276,700,000.00"
"Jul 30, 2018","4,002.96",54.48,--,"277,000,000.00"
"Jul 27, 2018","4,027.78",54.82,--,"277,000,000.00"
"Jul 26, 2018","4,046.29",55.07,--,"277,000,000.00"
"Jul 25, 2018","4,041.70",55.01,--,"277,100,000.00"
"Jul 24, 2018","4,009.39",54.57,--,"278,300,000.00"
"Jul 23, 2018","4,003.19",54.49,--,"278,300,000.00"
"Jul 20, 2018","4,009.59",54.58,--,"278,300,000.00"
"Jul 19, 2018","4,013.51",54.63,--,"280,200,000.00"
"Jul 18, 2018","4,012.07",54.61,--,"279,900,000.00"
"Jul 17, 2018","4,011.63",54.61,--,"279,800,000.00"
"Jul 16, 2018","3,999.71",54.44,--,"279,300,000.00"
"Jul 13, 2018","4,010.47",54.59,--,"279,300,000.00"
"Jul 12, 2018","4,008.77",54.57,--,"277,700,000.00"
"Jul 11, 2018","3,982.05",54.20,--,"277,000,000.00"
"Jul 10, 2018","3,990.73",54.32,--,"276,800,000.00"
"Jul 09, 2018","3,968.90",54.03,--,"276,800,000.00"
"Jul 06, 2018","3,964.61",53.97,--,"276,800,000.00"
"Jul 05, 2018","3,944.85",53.70,--,"276,800,000.00"
"Jul 03, 2018","3,911.98",53.25,--,"276,400,000.00"
"Jul 02, 2018","3,911.39",53.24,--,"276,100,000.00"
"Jun 29, 2018","3,902.56",53.13,--,"276,200,000.00"
"Jun 28, 2018","3,899.60",53.08,--,"276,000,000.00"
"Jun 27, 2018","3,868.11",52.66,--,"275,800,000.00"
"Jun 26, 2018","3,897.79",53.06,0.29,"275,700,000.00"
"Jun 25, 2018","3,899.85",53.38,--,"275,700,000.00"
"Jun 22, 2018","3,919.04",53.64,--,"275,600,000.00"
"Jun 21, 2018","3,901.12",53.40,--,"275,600,000.00"
"Jun 20, 2018","3,912.12",53.55,--,"275,500,000.00"
"Jun 19, 2018","3,915.81",53.60,--,"274,700,000.00"
"Jun 18, 2018","3,920.07",53.67,--,"274,700,000.00"
"Jun 15, 2018","3,934.34",53.87,--,"274,600,000.00"
"Jun 14, 2018","3,922.30",53.69,--,"274,900,000.00"
"Jun 13, 2018","3,908.09",53.49,--,"275,000,000.00"
"Jun 12, 2018","3,925.60",53.74,--,"275,000,000.00"
"Jun 11, 2018","3,916.97",53.62,--,"275,300,000.00"
"Jun 08, 2018","3,920.88",53.67,--,"275,500,000.00"
"Jun 07, 2018","3,900.42",53.39,--,"275,500,000.00"
"Jun 06, 2018","3,897.83",53.36,--,"275,700,000.00"
"Jun 05, 2018","3,875.76",53.05,--,"275,700,000.00"
"Jun 04, 2018","3,878.40",53.09,--,"275,700,000.00"
"Jun 01, 2018","3,859.20",52.83,--,"275,700,000.00"
"May 31, 2018","3,838.07",52.54,--,"293,300,000.00"
"May 30, 2018","3,867.15",52.94,--,"293,300,000.00"
"May 29, 2018","3,820.23",52.30,--,"275,400,000.00"
"May 25, 2018","3,846.17",52.65,--,"275,400,000.00"
"May 24, 2018","3,847.17",52.67,--,"275,500,000.00"
"May 23, 2018","3,847.57",52.67,--,"275,700,000.00"
"May 22, 2018","3,827.35",52.39,--,"275,700,000.00"
"May 21, 2018","3,845.05",52.64,--,"275,800,000.00"
"May 18, 2018","3,818.69",52.28,--,"275,800,000.00"
"May 17, 2018","3,819.98",52.29,--,"275,800,000.00"
"May 16, 2018","3,828.46",52.41,--,"276,000,000.00"
"May 15, 2018","3,823.47",52.34,--,"276,000,000.00"
"May 14, 2018","3,850.38",52.71,--,"276,100,000.00"
