As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","4,185.98",87.48,--,"115,500,000.00"
"Mar 26, 2019","4,203.39",87.84,--,"116,000,000.00"
"Mar 25, 2019","4,166.34",87.07,--,"116,000,000.00"
"Mar 22, 2019","4,167.59",87.09,--,"115,700,000.00"
"Mar 21, 2019","4,246.08",88.73,--,"115,450,000.00"
"Mar 20, 2019","4,205.10",87.88,0.35,"115,550,000.00"
"Mar 19, 2019","4,212.45",88.39,--,"115,450,000.00"
"Mar 18, 2019","4,216.74",88.48,--,"115,300,000.00"
"Mar 15, 2019","4,208.89",88.31,--,"113,900,000.00"
"Mar 14, 2019","4,190.57",87.93,--,"113,900,000.00"
"Mar 13, 2019","4,192.77",87.97,--,"113,250,000.00"
"Mar 12, 2019","4,168.23",87.45,--,"111,250,000.00"
"Mar 11, 2019","4,152.19",87.12,--,"110,700,000.00"
"Mar 08, 2019","4,091.02",85.84,--,"110,700,000.00"
"Mar 07, 2019","4,097.47",85.97,--,"110,700,000.00"
"Mar 06, 2019","4,130.32",86.66,--,"109,950,000.00"
"Mar 05, 2019","4,146.01",86.99,--,"109,950,000.00"
"Mar 04, 2019","4,150.28",87.08,--,"110,900,000.00"
"Mar 01, 2019","4,162.73",87.34,--,"110,900,000.00"
"Feb 28, 2019","4,130.86",86.68,--,"110,900,000.00"
"Feb 27, 2019","4,144.06",86.95,--,"110,350,000.00"
"Feb 26, 2019","4,135.86",86.78,--,"110,450,000.00"
"Feb 25, 2019","4,137.32",86.81,--,"110,450,000.00"
"Feb 22, 2019","4,134.00",86.75,--,"110,450,000.00"
"Feb 21, 2019","4,093.53",85.90,--,"110,050,000.00"
"Feb 20, 2019","4,115.09",86.35,--,"110,050,000.00"
"Feb 19, 2019","4,098.85",86.01,--,"111,150,000.00"
"Feb 15, 2019","4,099.18",86.02,--,"111,050,000.00"
"Feb 14, 2019","4,057.62",85.15,--,"110,500,000.00"
"Feb 13, 2019","4,065.70",85.32,--,"110,650,000.00"
"Feb 12, 2019","4,045.08",84.88,--,"110,450,000.00"
"Feb 11, 2019","3,996.92",83.87,--,"110,450,000.00"
"Feb 08, 2019","3,993.61",83.80,--,"110,450,000.00"
"Feb 07, 2019","3,981.22",83.55,--,"110,250,000.00"
"Feb 06, 2019","4,021.37",84.39,--,"109,900,000.00"
"Feb 05, 2019","4,029.34",84.56,--,"110,100,000.00"
"Feb 04, 2019","4,002.71",84.00,--,"110,100,000.00"
"Feb 01, 2019","3,977.29",83.47,--,"110,000,000.00"
"Jan 31, 2019","3,958.88",83.08,--,"110,000,000.00"
"Jan 30, 2019","3,898.75",81.82,--,"109,950,000.00"
"Jan 29, 2019","3,849.09",80.78,--,"109,750,000.00"
"Jan 28, 2019","3,849.10",80.78,--,"109,750,000.00"
"Jan 25, 2019","3,876.77",81.36,--,"109,750,000.00"
"Jan 24, 2019","3,835.55",80.50,--,"109,750,000.00"
"Jan 23, 2019","3,829.04",80.36,--,"109,800,000.00"
"Jan 22, 2019","3,825.93",80.30,--,"109,350,000.00"
"Jan 18, 2019","3,882.84",81.49,--,"109,350,000.00"
"Jan 17, 2019","3,830.55",80.39,--,"109,400,000.00"
"Jan 16, 2019","3,796.16",79.67,--,"108,800,000.00"
"Jan 15, 2019","3,792.82",79.60,--,"108,650,000.00"
"Jan 14, 2019","3,759.08",78.89,--,"108,350,000.00"
"Jan 11, 2019","3,778.16",79.30,--,"107,300,000.00"
"Jan 10, 2019","3,788.89",79.52,--,"107,300,000.00"
"Jan 09, 2019","3,770.94",79.14,--,"106,500,000.00"
"Jan 08, 2019","3,751.62",78.74,--,"89,850,000.00"
"Jan 07, 2019","3,710.35",77.87,--,"88,150,000.00"
"Jan 04, 2019","3,688.36",77.41,--,"87,950,000.00"
"Jan 03, 2019","3,563.34",74.79,--,"88,000,000.00"
"Jan 02, 2019","3,653.74",76.69,--,"87,700,000.00"
"Dec 31, 2018","3,651.92",76.65,--,"87,600,000.00"
"Dec 28, 2018","3,619.16",75.96,--,"87,750,000.00"
"Dec 27, 2018","3,626.17",76.11,--,"87,350,000.00"
"Dec 26, 2018","3,588.05",75.31,--,"87,250,000.00"
"Dec 24, 2018","3,423.32",71.85,--,"87,250,000.00"
"Dec 21, 2018","3,511.14",73.70,--,"86,750,000.00"
"Dec 20, 2018","3,583.96",75.23,--,"86,600,000.00"
"Dec 19, 2018","3,637.52",76.35,--,"84,600,000.00"
"Dec 18, 2018","3,700.23",77.67,--,"84,500,000.00"
"Dec 17, 2018","3,695.31",77.57,0.41,"84,750,000.00"
"Dec 14, 2018","3,775.71",79.68,--,"84,800,000.00"
"Dec 13, 2018","3,862.57",81.51,--,"84,300,000.00"
"Dec 12, 2018","3,859.53",81.44,--,"82,200,000.00"
"Dec 11, 2018","3,838.82",81.01,--,"81,750,000.00"
"Dec 10, 2018","3,837.14",80.97,--,"81,550,000.00"
"Dec 07, 2018","3,824.96",80.72,--,"82,400,000.00"
"Dec 06, 2018","3,915.85",82.63,--,"82,300,000.00"
"Dec 04, 2018","3,913.65",82.59,--,"82,050,000.00"
"Dec 03, 2018","4,040.79",85.27,--,"81,800,000.00"
"Nov 30, 2018","4,000.19",84.42,--,"81,400,000.00"
"Nov 29, 2018","3,954.81",83.46,--,"81,250,000.00"
"Nov 28, 2018","3,973.73",83.86,--,"80,900,000.00"
"Nov 27, 2018","3,880.21",81.89,--,"80,850,000.00"
"Nov 26, 2018","3,873.74",81.75,--,"80,750,000.00"
"Nov 23, 2018","3,822.25",80.66,--,"80,650,000.00"
"Nov 21, 2018","3,850.26",81.26,--,"80,000,000.00"
"Nov 20, 2018","3,852.83",81.31,--,"80,400,000.00"
"Nov 19, 2018","3,919.57",82.72,--,"80,250,000.00"
"Nov 16, 2018","3,988.10",84.17,--,"80,050,000.00"
"Nov 15, 2018","3,991.60",84.24,--,"80,350,000.00"
"Nov 14, 2018","3,950.22",83.37,--,"80,300,000.00"
"Nov 13, 2018","3,981.87",84.03,--,"80,400,000.00"
"Nov 12, 2018","3,991.36",84.23,--,"80,900,000.00"
"Nov 09, 2018","4,068.58",85.86,--,"80,900,000.00"
"Nov 08, 2018","4,103.25",86.60,--,"80,700,000.00"
"Nov 07, 2018","4,110.61",86.75,--,"80,850,000.00"
"Nov 06, 2018","4,027.56",85.00,--,"80,850,000.00"
"Nov 05, 2018","4,000.51",84.43,--,"81,400,000.00"
"Nov 02, 2018","3,980.36",84.01,--,"81,400,000.00"
"Nov 01, 2018","4,004.26",84.51,--,"83,000,000.00"
"Oct 31, 2018","3,960.02",83.58,--,"82,550,000.00"
"Oct 30, 2018","3,921.38",82.76,--,"82,550,000.00"
"Oct 29, 2018","3,857.90",81.42,--,"82,550,000.00"
"Oct 26, 2018","3,867.79",81.63,--,"82,550,000.00"
"Oct 25, 2018","3,921.63",82.77,--,"82,850,000.00"
"Oct 24, 2018","3,862.75",81.53,--,"82,500,000.00"
"Oct 23, 2018","3,985.29",84.11,--,"82,500,000.00"
"Oct 22, 2018","4,012.93",84.70,--,"82,400,000.00"
"Oct 19, 2018","4,020.01",84.85,--,"82,400,000.00"
"Oct 18, 2018","4,036.97",85.21,--,"82,400,000.00"
"Oct 17, 2018","4,090.36",86.33,--,"80,600,000.00"
"Oct 16, 2018","4,094.31",86.42,--,"82,150,000.00"
"Oct 15, 2018","4,018.42",84.81,--,"81,850,000.00"
"Oct 12, 2018","4,040.03",85.27,--,"81,650,000.00"
"Oct 11, 2018","3,979.89",84.01,--,"80,350,000.00"
"Oct 10, 2018","4,072.18",85.95,--,"78,050,000.00"
"Oct 09, 2018","4,220.91",89.09,--,"77,900,000.00"
"Oct 08, 2018","4,229.63",89.27,--,"77,650,000.00"
"Oct 05, 2018","4,229.77",89.28,--,"77,450,000.00"
"Oct 04, 2018","4,259.70",89.91,--,"77,450,000.00"
"Oct 03, 2018","4,297.74",90.71,--,"77,150,000.00"
"Oct 02, 2018","4,298.68",90.73,--,"75,150,000.00"
"Oct 01, 2018","4,296.05",90.68,--,"74,900,000.00"
"Sep 28, 2018","4,280.39",90.35,--,"74,550,000.00"
"Sep 27, 2018","4,273.94",90.21,--,"74,150,000.00"
"Sep 26, 2018","4,265.55",90.04,0.37,"73,950,000.00"
