As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 03, 2019",--,25.57,--,"150,000.00"
"Apr 02, 2019",--,25.71,--,"150,000.00"
"Apr 01, 2019",--,25.79,--,"150,000.00"
"Mar 29, 2019",--,25.87,--,"150,000.00"
"Mar 28, 2019",--,25.71,--,"150,000.00"
"Mar 27, 2019",--,25.57,--,"150,000.00"
"Mar 26, 2019",--,25.66,--,"150,000.00"
"Mar 25, 2019",--,25.44,--,"150,000.00"
"Mar 22, 2019",--,25.36,--,"150,000.00"
"Mar 21, 2019",--,25.38,--,"150,000.00"
"Mar 20, 2019",--,25.03,0.11,"150,000.00"
"Mar 19, 2019",--,25.21,--,"150,000.00"
"Mar 18, 2019",--,25.26,--,"150,000.00"
"Mar 15, 2019",--,25.20,--,"150,000.00"
"Mar 14, 2019",--,25.07,--,"150,000.00"
"Mar 13, 2019",--,25.08,--,"150,000.00"
"Mar 12, 2019",--,24.97,--,"150,000.00"
"Mar 11, 2019",--,24.99,--,"150,000.00"
"Mar 08, 2019",--,24.68,--,"150,000.00"
"Mar 07, 2019",--,24.75,--,"150,000.00"
"Mar 06, 2019",--,24.85,--,"150,000.00"
"Mar 05, 2019",--,24.89,--,"150,000.00"
"Mar 04, 2019",--,24.90,--,"150,000.00"
"Mar 01, 2019",--,24.96,--,"150,000.00"
"Feb 28, 2019",--,24.85,--,"150,000.00"
"Feb 27, 2019",--,24.70,--,"150,000.00"
"Feb 26, 2019",--,24.72,--,"150,000.00"
"Feb 25, 2019",--,24.71,--,"150,000.00"
"Feb 22, 2019",--,24.87,--,"150,000.00"
"Feb 21, 2019",--,25.10,--,"150,000.00"
"Feb 20, 2019",--,24.99,--,"150,000.00"
"Feb 19, 2019",--,24.88,--,"150,000.00"
"Feb 15, 2019",--,24.87,--,"150,000.00"
"Feb 14, 2019",--,24.67,--,"150,000.00"
"Feb 13, 2019",--,24.94,--,"150,000.00"
"Feb 12, 2019",--,24.90,--,"150,000.00"
"Feb 11, 2019",--,24.71,--,"150,000.00"
"Feb 08, 2019",--,24.66,--,"150,000.00"
"Feb 07, 2019",--,24.51,--,"150,000.00"
"Feb 06, 2019",--,24.54,--,"150,000.00"
"Feb 05, 2019",--,24.56,--,"150,000.00"
"Feb 04, 2019",--,24.55,--,"150,000.00"
"Feb 01, 2019",--,24.44,--,"150,000.00"
"Jan 31, 2019",--,24.46,--,"150,000.00"
"Jan 30, 2019",--,24.10,--,"150,000.00"
"Jan 29, 2019",--,23.91,--,"150,000.00"
"Jan 28, 2019",--,23.85,--,"150,000.00"
"Jan 25, 2019",--,23.79,--,"150,000.00"
"Jan 24, 2019",--,23.77,--,"150,000.00"
"Jan 23, 2019",--,24.06,--,"150,000.00"
"Jan 22, 2019",--,23.88,--,"150,000.00"
"Jan 18, 2019",--,24.04,--,"150,000.00"
"Jan 17, 2019",--,23.77,--,"150,000.00"
"Jan 16, 2019",--,23.61,--,"150,000.00"
"Jan 15, 2019",--,23.74,--,"150,000.00"
"Jan 14, 2019",--,23.54,--,"150,000.00"
