As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
3-Apr-19,--,25.57,--,150000.00
2-Apr-19,--,25.71,--,150000.00
1-Apr-19,--,25.79,--,150000.00
29-Mar-19,--,25.87,--,150000.00
28-Mar-19,--,25.71,--,150000.00
27-Mar-19,--,25.57,--,150000.00
26-Mar-19,--,25.66,--,150000.00
25-Mar-19,--,25.44,--,150000.00
22-Mar-19,--,25.36,--,150000.00
21-Mar-19,--,25.38,--,150000.00
20-Mar-19,--,25.03,0.11,150000.00
19-Mar-19,--,25.21,--,150000.00
18-Mar-19,--,25.26,--,150000.00
15-Mar-19,--,25.2,--,150000.00
14-Mar-19,--,25.07,--,150000.00
13-Mar-19,--,25.08,--,150000.00
12-Mar-19,--,24.97,--,150000.00
11-Mar-19,--,24.99,--,150000.00
8-Mar-19,--,24.68,--,150000.00
7-Mar-19,--,24.75,--,150000.00
6-Mar-19,--,24.85,--,150000.00
5-Mar-19,--,24.89,--,150000.00
4-Mar-19,--,24.9,--,150000.00
1-Mar-19,--,24.96,--,150000.00
28-Feb-19,--,24.85,--,150000.00
27-Feb-19,--,24.7,--,150000.00
26-Feb-19,--,24.72,--,150000.00
25-Feb-19,--,24.71,--,150000.00
22-Feb-19,--,24.87,--,150000.00
21-Feb-19,--,25.1,--,150000.00
20-Feb-19,--,24.99,--,150000.00
19-Feb-19,--,24.88,--,150000.00
15-Feb-19,--,24.87,--,150000.00
14-Feb-19,--,24.67,--,150000.00
13-Feb-19,--,24.94,--,150000.00
12-Feb-19,--,24.9,--,150000.00
11-Feb-19,--,24.71,--,150000.00
8-Feb-19,--,24.66,--,150000.00
7-Feb-19,--,24.51,--,150000.00
6-Feb-19,--,24.54,--,150000.00
5-Feb-19,--,24.56,--,150000.00
4-Feb-19,--,24.55,--,150000.00
1-Feb-19,--,24.44,--,150000.00
31-Jan-19,--,24.46,--,150000.00
30-Jan-19,--,24.1,--,150000.00
29-Jan-19,--,23.91,--,150000.00
28-Jan-19,--,23.85,--,150000.00
25-Jan-19,--,23.79,--,150000.00
24-Jan-19,--,23.77,--,150000.00
23-Jan-19,--,24.06,--,150000.00
22-Jan-19,--,23.88,--,150000.00
18-Jan-19,--,24.04,--,150000.00
17-Jan-19,--,23.77,--,150000.00
16-Jan-19,--,23.61,--,150000.00
15-Jan-19,--,23.74,--,150000.00
14-Jan-19,--,23.54,--,150000.00
11-Jan-19,--,23.66,--,150000.00
10-Jan-19,--,23.58,--,150000.00
9-Jan-19,--,23.39,--,150000.00
8-Jan-19,--,23.57,--,150000.00
7-Jan-19,--,23.33,--,150000.00
4-Jan-19,--,23.32,--,150000.00
3-Jan-19,--,22.79,--,150000.00
2-Jan-19,--,22.96,--,150000.00
31-Dec-18,--,23.09,--,150000.00
28-Dec-18,--,22.98,--,150000.00
27-Dec-18,--,23,--,150000.00
26-Dec-18,--,22.81,--,150000.00
24-Dec-18,--,22.23,--,150000.00
21-Dec-18,--,22.84,--,150000.00
20-Dec-18,--,23.12,--,150000.00
