As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
3-Apr-19,--,26.76,--,200000.00
2-Apr-19,--,26.57,--,200000.00
1-Apr-19,--,26.59,--,200000.00
29-Mar-19,--,26.23,--,200000.00
28-Mar-19,--,26.24,--,200000.00
27-Mar-19,--,26.29,--,200000.00
26-Mar-19,--,26.4,--,200000.00
25-Mar-19,--,26.15,--,200000.00
22-Mar-19,--,26.15,--,200000.00
21-Mar-19,--,26.7,--,200000.00
20-Mar-19,--,26.3,0.05,200000.00
19-Mar-19,--,26.51,--,200000.00
18-Mar-19,--,26.68,--,200000.00
15-Mar-19,--,26.77,--,200000.00
14-Mar-19,--,26.67,--,200000.00
13-Mar-19,--,26.58,--,200000.00
12-Mar-19,--,26.61,--,200000.00
11-Mar-19,--,26.54,--,200000.00
8-Mar-19,--,26.25,--,200000.00
7-Mar-19,--,26.32,--,200000.00
6-Mar-19,--,26.52,--,200000.00
5-Mar-19,--,26.52,--,200000.00
4-Mar-19,--,26.54,--,200000.00
1-Mar-19,--,26.69,--,200000.00
28-Feb-19,--,26.37,--,200000.00
27-Feb-19,--,26.24,--,200000.00
26-Feb-19,--,26.29,--,200000.00
25-Feb-19,--,26.28,--,200000.00
22-Feb-19,--,26.46,--,200000.00
21-Feb-19,--,26.22,--,200000.00
20-Feb-19,--,26.26,--,200000.00
19-Feb-19,--,26.26,--,200000.00
15-Feb-19,--,26.3,--,200000.00
14-Feb-19,--,26.07,--,200000.00
13-Feb-19,--,25.88,--,200000.00
12-Feb-19,--,25.79,--,200000.00
11-Feb-19,--,25.57,--,200000.00
8-Feb-19,--,25.9,--,200000.00
7-Feb-19,--,25.65,--,200000.00
6-Feb-19,--,25.65,--,200000.00
5-Feb-19,--,25.98,--,200000.00
4-Feb-19,--,25.71,--,200000.00
1-Feb-19,--,25.63,--,200000.00
31-Jan-19,--,25.6,--,200000.00
30-Jan-19,--,25.03,--,200000.00
29-Jan-19,--,25.02,--,200000.00
28-Jan-19,--,25.14,--,200000.00
25-Jan-19,--,25.18,--,200000.00
24-Jan-19,--,24.97,--,200000.00
23-Jan-19,--,24.75,--,200000.00
22-Jan-19,--,24.7,--,200000.00
18-Jan-19,--,25.2,--,200000.00
17-Jan-19,--,25.03,--,200000.00
16-Jan-19,--,24.91,--,200000.00
15-Jan-19,--,24.93,--,200000.00
14-Jan-19,--,24.78,--,200000.00
11-Jan-19,--,24.87,--,200000.00
10-Jan-19,--,24.85,--,200000.00
9-Jan-19,--,24.8,--,200000.00
8-Jan-19,--,24.77,--,200000.00
7-Jan-19,--,24.42,--,200000.00
4-Jan-19,--,24.05,--,200000.00
3-Jan-19,--,23.19,--,200000.00
2-Jan-19,--,23.38,--,200000.00
31-Dec-18,--,23.13,--,200000.00
28-Dec-18,--,22.98,--,200000.00
27-Dec-18,--,22.94,--,200000.00
26-Dec-18,--,22.93,--,200000.00
24-Dec-18,--,21.94,--,200000.00
21-Dec-18,--,22.47,--,200000.00
20-Dec-18,--,23.11,--,200000.00
19-Dec-18,--,23.61,--,200000.00
18-Dec-18,--,23.98,--,200000.00
17-Dec-18,--,24.11,0.21,200000.00
14-Dec-18,--,24.66,--,200000.00
13-Dec-18,--,24.85,--,200000.00
12-Dec-18,--,25.11,--,200000.00
11-Dec-18,--,24.96,--,200000.00
10-Dec-18,--,25.05,--,200000.00
7-Dec-18,--,25.1,--,200000.00
6-Dec-18,--,25.51,--,200000.00
4-Dec-18,--,25.21,--,200000.00
3-Dec-18,--,25.84,--,200000.00
30-Nov-18,--,25.89,--,200000.00
29-Nov-18,--,26.19,--,200000.00
28-Nov-18,--,25.99,--,200000.00
27-Nov-18,--,25.48,--,200000.00
26-Nov-18,--,25.38,--,200000.00
23-Nov-18,--,25.1,--,200000.00
21-Nov-18,--,25.14,--,200000.00
20-Nov-18,--,24.7,--,200000.00
19-Nov-18,--,25.34,--,200000.00
16-Nov-18,--,25.97,--,200000.00
15-Nov-18,--,26.04,--,200000.00
14-Nov-18,--,25.84,--,200000.00
13-Nov-18,--,25.91,--,200000.00
12-Nov-18,--,25.99,--,200000.00
9-Nov-18,--,26.27,--,200000.00
8-Nov-18,--,26.62,--,200000.00
7-Nov-18,--,26.85,--,200000.00
6-Nov-18,--,26.54,--,200000.00
5-Nov-18,--,26.43,--,200000.00
2-Nov-18,--,26.26,--,200000.00
1-Nov-18,--,26.58,--,200000.00
31-Oct-18,--,26.05,--,200000.00
30-Oct-18,--,25.65,--,200000.00
29-Oct-18,--,24.94,--,200000.00
26-Oct-18,--,25.06,--,200000.00
25-Oct-18,--,25.61,--,200000.00
24-Oct-18,--,25.05,--,200000.00
23-Oct-18,--,26.42,--,200000.00
22-Oct-18,--,26.71,--,200000.00
19-Oct-18,--,26.79,--,200000.00
18-Oct-18,--,26.87,--,200000.00
17-Oct-18,--,27.26,--,200000.00
16-Oct-18,--,27.17,--,200000.00
15-Oct-18,--,26.55,--,200000.00
12-Oct-18,--,26.39,--,200000.00
11-Oct-18,--,25.86,--,200000.00
10-Oct-18,--,26.21,--,200000.00
