As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
26-Mar-19,385.04,205.4,--,7700000.00
25-Mar-19,383.17,204.41,--,7700000.00
22-Mar-19,383.96,204.84,--,7750000.00
21-Mar-19,393.78,210.08,--,7750000.00
20-Mar-19,386.06,205.96,0.28,7750000.00
19-Mar-19,384.74,205.54,--,7750000.00
18-Mar-19,383.18,204.71,--,7750000.00
15-Mar-19,382.27,204.23,--,7750000.00
14-Mar-19,379.25,202.62,--,7750000.00
13-Mar-19,379.62,202.82,--,7750000.00
12-Mar-19,377.13,201.49,--,7750000.00
11-Mar-19,375.37,200.56,--,7750000.00
8-Mar-19,367.27,196.24,--,7750000.00
7-Mar-19,367.49,196.36,--,7750000.00
6-Mar-19,371.56,198.53,--,7750000.00
5-Mar-19,373.71,199.68,--,7750000.00
4-Mar-19,373.51,199.58,--,7750000.00
1-Mar-19,374.41,200.06,--,7750000.00
28-Feb-19,371.23,198.37,--,7750000.00
27-Feb-19,372.95,199.29,--,7750000.00
26-Feb-19,373.03,199.33,--,7750000.00
25-Feb-19,372.43,199.01,--,7750000.00
22-Feb-19,370.79,198.15,--,7750000.00
21-Feb-19,366.07,195.64,--,7750000.00
20-Feb-19,367.25,196.27,--,7800000.00
19-Feb-19,367.52,196.41,--,7800000.00
15-Feb-19,366.8,196.04,--,7800000.00
14-Feb-19,365.3,195.24,--,7800000.00
13-Feb-19,364.79,194.97,--,7800000.00
12-Feb-19,364.51,194.83,--,7800000.00
11-Feb-19,358.85,191.81,--,7800000.00
8-Feb-19,358.95,191.87,--,7800000.00
7-Feb-19,357.32,191,--,7800000.00
6-Feb-19,362.43,193.73,--,7750000.00
5-Feb-19,363.25,194.17,--,7750000.00
4-Feb-19,359.8,192.33,--,7750000.00
1-Feb-19,354.57,189.55,--,7750000.00
31-Jan-19,354.43,189.48,--,7750000.00
30-Jan-19,349.97,187.1,--,7750000.00
29-Jan-19,340.15,181.85,--,7750000.00
28-Jan-19,344.39,184.12,--,7750000.00
25-Jan-19,348.95,186.56,--,7750000.00
24-Jan-19,343.57,183.69,--,7750000.00
23-Jan-19,339.82,181.7,--,7750000.00
22-Jan-19,339.28,181.41,--,7750000.00
18-Jan-19,346.38,185.21,--,7800000.00
17-Jan-19,342.09,182.92,--,7800000.00
16-Jan-19,339.64,181.61,--,7800000.00
15-Jan-19,339.54,181.56,--,7800000.00
14-Jan-19,333.25,178.21,--,7800000.00
11-Jan-19,336.22,179.8,--,7850000.00
10-Jan-19,336.9,180.17,--,7850000.00
9-Jan-19,335.46,179.4,--,7850000.00
8-Jan-19,332.44,177.79,--,7850000.00
7-Jan-19,328.64,175.76,--,7850000.00
4-Jan-19,324.4,173.5,--,7850000.00
3-Jan-19,310,165.81,--,7850000.00
