As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 26, 2019",428.50,209.69,--,"12,950,000.00"
"Mar 25, 2019",425.89,208.42,--,"13,050,000.00"
"Mar 22, 2019",425.64,208.33,--,"13,050,000.00"
"Mar 21, 2019",438.55,214.64,--,"12,850,000.00"
"Mar 20, 2019",428.34,209.65,0.00,"12,550,000.00"
"Mar 19, 2019",429.89,210.41,--,"12,600,000.00"
"Mar 18, 2019",427.38,209.19,--,"12,550,000.00"
"Mar 15, 2019",425.68,208.36,--,"12,400,000.00"
"Mar 14, 2019",425.68,208.36,--,"12,600,000.00"
"Mar 13, 2019",423.91,207.50,--,"12,550,000.00"
"Mar 12, 2019",421.37,206.26,--,"12,450,000.00"
"Mar 11, 2019",419.88,205.53,--,"12,450,000.00"
"Mar 08, 2019",412.26,201.80,--,"12,700,000.00"
"Mar 07, 2019",412.47,201.91,--,"12,650,000.00"
"Mar 06, 2019",413.11,202.23,--,"12,750,000.00"
"Mar 05, 2019",415.44,203.38,--,"12,750,000.00"
"Mar 04, 2019",417.01,204.15,--,"13,000,000.00"
"Mar 01, 2019",425.02,208.09,--,"13,000,000.00"
"Feb 28, 2019",423.01,207.12,--,"12,950,000.00"
"Feb 27, 2019",425.03,208.12,--,"12,700,000.00"
"Feb 26, 2019",423.04,207.13,--,"12,650,000.00"
"Feb 25, 2019",422.03,206.66,--,"12,500,000.00"
"Feb 22, 2019",420.98,206.16,--,"12,350,000.00"
"Feb 21, 2019",414.56,203.00,--,"12,200,000.00"
"Feb 20, 2019",413.88,202.67,--,"12,150,000.00"
"Feb 19, 2019",417.34,204.35,--,"12,100,000.00"
"Feb 15, 2019",417.05,204.21,--,"12,100,000.00"
"Feb 14, 2019",415.02,203.22,--,"12,100,000.00"
"Feb 13, 2019",412.72,202.10,--,"12,000,000.00"
"Feb 12, 2019",413.09,202.29,--,"11,950,000.00"
"Feb 11, 2019",406.18,198.92,--,"11,950,000.00"
"Feb 08, 2019",406.37,199.01,--,"11,950,000.00"
"Feb 07, 2019",399.65,195.73,--,"11,950,000.00"
"Feb 06, 2019",402.28,197.01,--,"11,850,000.00"
"Feb 05, 2019",406.58,199.12,--,"11,950,000.00"
"Feb 04, 2019",402.63,197.19,--,"11,850,000.00"
"Feb 01, 2019",395.98,193.94,--,"11,750,000.00"
"Jan 31, 2019",392.39,192.18,--,"10,850,000.00"
"Jan 30, 2019",385.79,188.95,--,"11,150,000.00"
"Jan 29, 2019",377.35,184.82,--,"11,250,000.00"
"Jan 28, 2019",382.13,187.17,--,"11,250,000.00"
"Jan 25, 2019",386.13,189.13,--,"10,750,000.00"
"Jan 24, 2019",380.11,186.19,--,"10,750,000.00"
"Jan 23, 2019",379.53,185.91,--,"10,750,000.00"
"Jan 22, 2019",379.43,185.86,--,"10,600,000.00"
"Jan 18, 2019",384.88,188.54,--,"10,200,000.00"
"Jan 17, 2019",378.40,185.36,--,"10,200,000.00"
"Jan 16, 2019",375.55,183.97,--,"10,150,000.00"
"Jan 15, 2019",375.85,184.12,--,"10,000,000.00"
"Jan 14, 2019",369.07,180.81,--,"10,000,000.00"
"Jan 11, 2019",373.04,182.76,--,"10,000,000.00"
"Jan 10, 2019",374.28,183.37,--,"10,000,000.00"
"Jan 09, 2019",372.21,182.35,--,"9,800,000.00"
"Jan 08, 2019",369.79,181.17,--,"9,700,000.00"
"Jan 07, 2019",364.17,178.42,--,"9,600,000.00"
"Jan 04, 2019",356.78,174.81,--,"9,700,000.00"
"Jan 03, 2019",341.40,167.29,--,"9,500,000.00"
"Jan 02, 2019",352.43,172.68,--,"9,800,000.00"
"Dec 31, 2018",354.00,173.45,--,"9,800,000.00"
"Dec 28, 2018",350.85,171.92,--,"9,750,000.00"
"Dec 27, 2018",351.59,172.15,--,"10,050,000.00"
"Dec 26, 2018",346.27,169.51,--,"10,100,000.00"
"Dec 24, 2018",327.19,160.32,--,"9,700,000.00"
"Dec 21, 2018",334.88,163.21,--,"9,700,000.00"
"Dec 20, 2018",347.33,169.27,--,"10,150,000.00"
"Dec 19, 2018",353.55,172.31,--,"10,150,000.00"
"Dec 18, 2018",355.64,173.33,--,"10,400,000.00"
"Dec 17, 2018",351.92,171.52,0.22,"10,500,000.00"
"Dec 14, 2018",772.48,177.34,--,"10,500,000.00"
"Dec 13, 2018",792.78,181.99,--,"10,500,000.00"
"Dec 12, 2018",794.39,182.37,--,"10,500,000.00"
"Dec 11, 2018",784.21,180.03,--,"10,450,000.00"
"Dec 10, 2018",784.02,179.99,--,"10,500,000.00"
"Dec 07, 2018",772.22,177.29,--,"10,550,000.00"
"Dec 06, 2018",797.65,183.13,--,"10,500,000.00"
"Dec 04, 2018",790.19,181.42,--,"10,450,000.00"
"Dec 03, 2018",814.02,186.89,--,"10,350,000.00"
"Nov 30, 2018",380.43,185.68,--,"10,350,000.00"
"Nov 29, 2018",799.13,183.48,--,"10,250,000.00"
"Nov 28, 2018",798.39,183.31,--,"10,000,000.00"
"Nov 27, 2018",765.61,175.79,--,"9,950,000.00"
"Nov 26, 2018",770.01,176.80,--,"9,750,000.00"
"Nov 23, 2018",752.37,172.76,--,"9,900,000.00"
"Nov 21, 2018",753.49,173.02,--,"9,900,000.00"
"Nov 20, 2018",737.62,169.38,--,"9,850,000.00"
"Nov 19, 2018",744.43,170.95,--,"10,150,000.00"
"Nov 16, 2018",786.85,180.69,--,"10,100,000.00"
"Nov 15, 2018",790.45,181.52,--,"10,000,000.00"
"Nov 14, 2018",770.41,176.92,--,"10,000,000.00"
"Nov 13, 2018",777.92,178.65,--,"10,100,000.00"
"Nov 12, 2018",776.22,178.26,--,"10,300,000.00"
"Nov 09, 2018",799.27,183.56,--,"10,300,000.00"
"Nov 08, 2018",820.76,188.49,--,"10,400,000.00"
"Nov 07, 2018",824.39,189.33,--,"10,350,000.00"
"Nov 06, 2018",793.53,182.25,--,"10,350,000.00"
"Nov 05, 2018",793.43,182.22,--,"10,800,000.00"
"Nov 02, 2018",798.12,183.31,--,"11,050,000.00"
"Nov 01, 2018",806.06,185.13,--,"11,200,000.00"
"Oct 31, 2018",375.34,183.26,--,"11,150,000.00"
"Oct 30, 2018",779.04,178.93,--,"10,950,000.00"
"Oct 29, 2018",766.01,175.94,--,"11,000,000.00"
"Oct 26, 2018",772.07,177.34,--,"11,050,000.00"
"Oct 25, 2018",792.94,182.13,--,"10,950,000.00"
"Oct 24, 2018",766.20,176.00,--,"11,250,000.00"
"Oct 23, 2018",801.84,184.18,--,"11,200,000.00"
"Oct 22, 2018",804.76,184.85,--,"11,200,000.00"
"Oct 19, 2018",795.93,182.83,--,"11,600,000.00"
"Oct 18, 2018",810.01,186.07,--,"11,750,000.00"
"Oct 17, 2018",832.85,191.31,--,"11,600,000.00"
"Oct 16, 2018",833.77,191.53,--,"10,950,000.00"
"Oct 15, 2018",803.15,184.50,--,"10,750,000.00"
"Oct 12, 2018",814.97,187.22,--,"10,650,000.00"
"Oct 11, 2018",786.83,180.76,--,"9,650,000.00"
"Oct 10, 2018",790.96,181.71,--,"10,050,000.00"
"Oct 09, 2018",831.54,191.04,--,"10,050,000.00"
"Oct 08, 2018",834.18,191.64,--,"10,100,000.00"
"Oct 05, 2018",855.54,196.56,--,"10,050,000.00"
"Oct 04, 2018",860.86,197.78,--,"10,100,000.00"
"Oct 03, 2018",880.60,202.32,--,"10,100,000.00"
"Oct 02, 2018",877.22,201.54,--,"10,150,000.00"
"Oct 01, 2018",889.58,204.39,--,"10,450,000.00"
"Sep 28, 2018",419.73,205.01,--,"10,550,000.00"
"Sep 27, 2018",889.91,204.47,--,"10,450,000.00"
"Sep 26, 2018",885.14,203.38,0.00,"10,550,000.00"
"Sep 25, 2018",886.94,203.79,--,"10,550,000.00"
"Sep 24, 2018",879.54,202.10,--,"10,650,000.00"
"Sep 21, 2018",873.44,200.70,--,"10,650,000.00"
"Sep 20, 2018",874.71,201.00,--,"10,500,000.00"
"Sep 19, 2018",867.67,199.38,--,"10,450,000.00"
"Sep 18, 2018",878.56,201.88,--,"10,400,000.00"
"Sep 17, 2018",874.43,200.94,--,"10,500,000.00"
"Sep 14, 2018",894.49,205.56,--,"10,450,000.00"
"Sep 13, 2018",889.77,204.48,--,"10,350,000.00"
"Sep 12, 2018",886.04,203.63,--,"10,350,000.00"
"Sep 11, 2018",880.14,202.28,--,"10,300,000.00"
"Sep 10, 2018",870.89,200.15,--,"10,250,000.00"
"Sep 07, 2018",863.32,198.42,--,"10,250,000.00"
"Sep 06, 2018",858.85,197.40,--,"10,300,000.00"
"Sep 05, 2018",853.64,196.20,--,"10,350,000.00"
"Sep 04, 2018",877.59,201.70,--,"10,350,000.00"
"Aug 31, 2018",873.80,200.84,--,"10,500,000.00"
"Aug 30, 2018",874.37,200.98,--,"10,400,000.00"
"Aug 29, 2018",882.42,202.83,--,"10,400,000.00"
"Aug 28, 2018",872.54,200.56,--,"10,350,000.00"
"Aug 27, 2018",869.05,199.76,--,"10,300,000.00"
"Aug 24, 2018",869.28,199.82,--,"10,350,000.00"
"Aug 23, 2018",847.21,194.76,--,"10,350,000.00"
"Aug 22, 2018",842.89,193.77,--,"10,350,000.00"
"Aug 21, 2018",834.68,191.89,--,"10,350,000.00"
"Aug 20, 2018",831.61,191.19,--,"10,250,000.00"
"Aug 17, 2018",829.86,190.80,--,"10,150,000.00"
"Aug 16, 2018",832.57,191.42,--,"10,150,000.00"
"Aug 15, 2018",828.81,190.56,--,"10,150,000.00"
"Aug 14, 2018",840.50,193.25,--,"10,100,000.00"
"Aug 13, 2018",834.14,191.79,--,"10,050,000.00"
"Aug 10, 2018",838.65,192.83,--,"10,200,000.00"
"Aug 09, 2018",837.82,192.65,--,"10,200,000.00"
"Aug 08, 2018",833.96,191.76,--,"10,200,000.00"
"Aug 07, 2018",832.17,191.35,--,"10,250,000.00"
"Aug 06, 2018",830.11,190.88,--,"10,250,000.00"
"Aug 03, 2018",824.36,189.57,--,"10,250,000.00"
"Aug 02, 2018",825.34,189.79,--,"10,200,000.00"
"Aug 01, 2018",811.06,186.51,--,"9,900,000.00"
"Jul 31, 2018",806.51,185.47,--,"10,250,000.00"
"Jul 30, 2018",804.28,184.96,--,"10,450,000.00"
"Jul 27, 2018",833.31,191.64,--,"10,350,000.00"
"Jul 26, 2018",854.71,196.56,--,"10,600,000.00"
"Jul 25, 2018",857.61,197.23,--,"10,550,000.00"
"Jul 24, 2018",844.18,194.14,--,"10,550,000.00"
"Jul 23, 2018",854.30,196.47,--,"10,600,000.00"
"Jul 20, 2018",851.70,195.88,--,"10,500,000.00"
"Jul 19, 2018",851.81,195.91,--,"10,550,000.00"
"Jul 18, 2018",856.46,196.98,--,"10,500,000.00"
"Jul 17, 2018",854.95,196.63,--,"10,600,000.00"
"Jul 16, 2018",847.96,195.03,--,"10,500,000.00"
"Jul 13, 2018",852.99,196.19,--,"10,600,000.00"
"Jul 12, 2018",852.83,196.16,--,"10,300,000.00"
"Jul 11, 2018",830.56,191.04,--,"10,250,000.00"
"Jul 10, 2018",824.84,189.73,--,"10,200,000.00"
"Jul 09, 2018",824.85,189.73,--,"10,200,000.00"
"Jul 06, 2018",820.69,188.78,--,"10,150,000.00"
"Jul 05, 2018",809.53,186.22,--,"10,150,000.00"
"Jul 03, 2018",802.36,184.58,--,"10,150,000.00"
"Jul 02, 2018",807.65,185.79,--,"10,150,000.00"
"Jun 29, 2018",373.39,182.60,--,"10,100,000.00"
"Jun 28, 2018",790.50,181.86,--,"9,850,000.00"
"Jun 27, 2018",777.06,178.77,--,"10,000,000.00"
"Jun 26, 2018",794.84,182.86,0.04,"10,200,000.00"
"Jun 25, 2018",790.32,181.86,--,"10,400,000.00"
"Jun 22, 2018",806.64,185.62,--,"10,550,000.00"
"Jun 21, 2018",820.44,188.80,--,"10,550,000.00"
"Jun 20, 2018",829.24,190.82,--,"10,600,000.00"
"Jun 19, 2018",832.31,191.53,--,"10,550,000.00"
"Jun 18, 2018",838.75,193.01,--,"10,400,000.00"
"Jun 15, 2018",833.41,191.79,--,"10,450,000.00"
"Jun 14, 2018",835.73,192.33,--,"10,450,000.00"
"Jun 13, 2018",831.30,191.31,--,"10,100,000.00"
"Jun 12, 2018",827.79,190.51,--,"10,100,000.00"
"Jun 11, 2018",819.48,188.60,--,"9,950,000.00"
"Jun 08, 2018",817.13,188.06,--,"9,950,000.00"
"Jun 07, 2018",811.40,186.75,--,"9,950,000.00"
"Jun 06, 2018",825.52,190.00,--,"9,900,000.00"
"Jun 05, 2018",819.67,188.66,--,"9,800,000.00"
"Jun 04, 2018",814.13,187.39,--,"9,450,000.00"
"Jun 01, 2018",807.93,185.97,--,"9,500,000.00"
"May 31, 2018",794.72,182.93,--,"9,500,000.00"
"May 30, 2018",795.29,183.06,--,"9,500,000.00"
"May 29, 2018",786.70,181.09,--,"9,550,000.00"
"May 25, 2018",792.36,182.40,--,"9,600,000.00"
"May 24, 2018",793.99,182.78,--,"9,600,000.00"
"May 23, 2018",794.12,182.81,--,"9,550,000.00"
"May 22, 2018",783.97,180.48,--,"9,550,000.00"
"May 21, 2018",788.81,181.59,--,"9,550,000.00"
"May 18, 2018",788.53,181.54,--,"9,550,000.00"
"May 17, 2018",783.21,180.32,--,"9,550,000.00"
"May 16, 2018",784.77,180.68,--,"9,550,000.00"
"May 15, 2018",783.52,180.39,--,"9,350,000.00"
"May 14, 2018",787.02,181.20,--,"9,350,000.00"
"May 11, 2018",795.85,183.24,--,"9,250,000.00"
"May 10, 2018",804.35,185.20,--,"9,300,000.00"
"May 09, 2018",797.19,183.55,--,"9,100,000.00"
"May 08, 2018",784.36,180.60,--,"9,100,000.00"
"May 07, 2018",780.94,179.81,--,"8,950,000.00"
"May 04, 2018",772.24,177.82,--,"9,000,000.00"
"May 03, 2018",760.57,175.14,--,"8,900,000.00"
"May 02, 2018",756.47,174.19,--,"8,950,000.00"
"May 01, 2018",760.88,175.21,--,"8,950,000.00"
"Apr 30, 2018",754.02,173.63,--,"8,850,000.00"
"Apr 27, 2018",755.24,173.92,--,"8,850,000.00"
"Apr 26, 2018",756.82,174.29,--,"8,900,000.00"
"Apr 25, 2018",740.09,170.44,--,"8,900,000.00"
"Apr 24, 2018",745.27,171.63,--,"8,650,000.00"
"Apr 23, 2018",758.22,174.62,--,"8,700,000.00"
"Apr 20, 2018",759.45,174.91,--,"8,750,000.00"
"Apr 19, 2018",768.75,177.05,--,"8,750,000.00"
"Apr 18, 2018",775.42,178.58,--,"8,600,000.00"
"Apr 17, 2018",772.09,177.82,--,"8,550,000.00"
"Apr 16, 2018",755.05,173.90,--,"8,400,000.00"
"Apr 13, 2018",746.54,171.95,--,"8,400,000.00"
"Apr 12, 2018",753.91,173.65,--,"8,350,000.00"
"Apr 11, 2018",743.23,171.19,--,"8,100,000.00"
"Apr 10, 2018",745.48,171.71,--,"8,000,000.00"
"Apr 09, 2018",730.40,168.24,--,"8,000,000.00"
"Apr 06, 2018",725.62,167.15,--,"8,050,000.00"
"Apr 05, 2018",741.20,170.74,--,"7,950,000.00"
"Apr 04, 2018",740.05,170.47,--,"7,900,000.00"
"Apr 03, 2018",726.23,167.29,--,"7,900,000.00"
"Apr 02, 2018",720.34,165.94,--,"8,000,000.00"
"Mar 29, 2018",736.63,169.70,--,"7,950,000.00"
"Mar 28, 2018",723.03,166.57,--,"7,950,000.00"
"Mar 27, 2018",731.63,168.55,--,"8,050,000.00"
"Mar 26, 2018",759.04,174.87,--,"8,150,000.00"
"Mar 23, 2018",730.78,168.36,--,"8,150,000.00"
"Mar 22, 2018",749.16,172.60,0.02,"8,150,000.00"
"Mar 21, 2018",767.33,176.80,--,"8,050,000.00"
"Mar 20, 2018",769.77,177.37,--,"8,050,000.00"
"Mar 19, 2018",769.42,177.29,--,"7,950,000.00"
"Mar 16, 2018",778.86,179.47,--,"7,950,000.00"
"Mar 15, 2018",780.63,179.88,--,"8,000,000.00"
"Mar 14, 2018",781.41,180.06,--,"8,000,000.00"
"Mar 13, 2018",781.73,180.14,--,"8,000,000.00"
"Mar 12, 2018",789.56,181.94,--,"7,900,000.00"
"Mar 09, 2018",791.08,182.30,--,"7,800,000.00"
"Mar 08, 2018",780.94,179.97,--,"7,650,000.00"
