As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,137.08,50.86,--,206400000.00
26-Mar-19,137.07,50.86,--,206400000.00
25-Mar-19,137.05,50.85,--,206400000.00
22-Mar-19,137.02,50.84,--,207400000.00
21-Mar-19,137.01,50.84,--,207400000.00
20-Mar-19,137,50.83,--,207400000.00
19-Mar-19,136.98,50.83,--,207400000.00
18-Mar-19,136.95,50.82,--,207400000.00
15-Mar-19,136.9,50.8,--,207400000.00
14-Mar-19,136.88,50.79,--,207400000.00
13-Mar-19,136.86,50.78,--,207400000.00
12-Mar-19,136.84,50.78,--,207400000.00
11-Mar-19,136.81,50.77,--,207400000.00
8-Mar-19,136.77,50.75,--,207400000.00
7-Mar-19,136.77,50.75,--,207400000.00
6-Mar-19,136.76,50.75,--,207400000.00
5-Mar-19,136.74,50.74,--,207400000.00
4-Mar-19,136.72,50.73,--,207400000.00
1-Mar-19,136.66,50.71,0.12,207400000.00
28-Feb-19,136.63,50.82,--,209100000.00
27-Feb-19,136.6,50.81,--,210100000.00
26-Feb-19,136.57,50.81,--,210100000.00
25-Feb-19,136.55,50.8,--,210100000.00
22-Feb-19,136.5,50.78,--,210100000.00
21-Feb-19,136.48,50.77,--,211100000.00
20-Feb-19,136.46,50.77,--,211100000.00
19-Feb-19,136.45,50.76,--,211100000.00
15-Feb-19,136.39,50.74,--,211100000.00
14-Feb-19,136.37,50.73,--,211100000.00
13-Feb-19,136.35,50.73,--,211100000.00
12-Feb-19,136.33,50.72,--,212800000.00
11-Feb-19,136.31,50.71,--,212800000.00
8-Feb-19,136.27,50.7,--,212800000.00
7-Feb-19,136.26,50.69,--,212800000.00
6-Feb-19,136.24,50.69,--,212800000.00
5-Feb-19,136.21,50.68,--,212800000.00
4-Feb-19,136.17,50.66,--,212800000.00
1-Feb-19,136.13,50.65,0.13,212800000.00
31-Jan-19,136.09,50.76,--,215800000.00
30-Jan-19,136.02,50.74,--,215800000.00
29-Jan-19,136,50.73,--,215800000.00
28-Jan-19,135.97,50.71,--,215800000.00
25-Jan-19,135.9,50.69,--,215200000.00
24-Jan-19,135.84,50.67,--,215000000.00
23-Jan-19,135.79,50.65,--,215000000.00
22-Jan-19,135.73,50.63,--,215000000.00
