a día,Index Level,NAV por acción,Dividedndos excluidos,Shares Outstanding
03-abr-2019,344.87,175.42,--,"16,600,000.00"
02-abr-2019,341.55,173.74,--,"16,600,000.00"
01-abr-2019,340.36,173.14,--,"16,500,000.00"
29-mar-2019,335.87,170.86,--,"16,500,000.00"
28-mar-2019,332.73,169.27,--,"16,500,000.00"
27-mar-2019,332.08,168.89,--,"16,500,000.00"
26-mar-2019,333.69,169.70,--,"16,500,000.00"
25-mar-2019,331.47,168.58,--,"16,500,000.00"
22-mar-2019,333.86,169.80,--,"16,500,000.00"
21-mar-2019,340.20,173.02,--,"16,500,000.00"
20-mar-2019,332.65,169.19,--,"16,500,000.00"
19-mar-2019,333.24,169.48,--,"16,400,000.00"
18-mar-2019,332.33,169.02,--,"16,400,000.00"
15-mar-2019,331.22,168.47,--,"16,400,000.00"
14-mar-2019,327.16,166.41,--,"16,400,000.00"
13-mar-2019,326.82,166.23,--,"16,400,000.00"
12-mar-2019,325.39,165.51,--,"16,400,000.00"
11-mar-2019,323.11,164.35,--,"16,400,000.00"
08-mar-2019,317.23,161.38,--,"16,400,000.00"
07-mar-2019,318.12,161.83,--,"16,400,000.00"
06-mar-2019,320.85,163.22,--,"16,400,000.00"
05-mar-2019,322.41,164.00,--,"16,400,000.00"
04-mar-2019,323.42,164.52,--,"16,300,000.00"
01-mar-2019,324.42,165.03,--,"16,300,000.00"
28-feb-2019,322.36,163.99,--,"16,300,000.00"
27-feb-2019,324.17,164.91,--,"16,300,000.00"
26-feb-2019,324.72,165.19,--,"16,300,000.00"
25-feb-2019,324.54,165.10,--,"16,300,000.00"
22-feb-2019,322.72,164.18,--,"16,300,000.00"
21-feb-2019,319.01,162.30,--,"16,200,000.00"
20-feb-2019,318.77,162.18,--,"16,200,000.00"
19-feb-2019,317.81,161.66,--,"16,200,000.00"
15-feb-2019,317.37,161.44,--,"16,200,000.00"
14-feb-2019,316.10,160.80,--,"16,150,000.00"
13-feb-2019,315.29,160.38,--,"15,650,000.00"
12-feb-2019,314.43,159.95,--,"15,650,000.00"
11-feb-2019,310.11,157.76,--,"15,650,000.00"
08-feb-2019,309.63,157.53,--,"15,650,000.00"
07-feb-2019,309.38,157.37,--,"15,650,000.00"
06-feb-2019,313.63,159.52,--,"15,650,000.00"
05-feb-2019,312.57,158.97,--,"15,550,000.00"
04-feb-2019,309.96,157.65,--,"15,550,000.00"
01-feb-2019,305.88,155.58,--,"15,550,000.00"
31-ene-2019,304.43,154.84,--,"15,550,000.00"
30-ene-2019,304.20,154.73,--,"15,550,000.00"
29-ene-2019,297.06,151.10,--,"15,550,000.00"
28-ene-2019,299.83,152.51,--,"15,450,000.00"
25-ene-2019,303.15,154.20,--,"15,450,000.00"
24-ene-2019,298.10,151.63,--,"15,450,000.00"
23-ene-2019,294.79,149.95,--,"15,450,000.00"
22-ene-2019,293.90,149.50,--,"15,300,000.00"
18-ene-2019,298.31,151.75,--,"15,300,000.00"
17-ene-2019,294.01,149.57,--,"15,200,000.00"
16-ene-2019,292.21,148.65,--,"15,000,000.00"
15-ene-2019,292.24,148.67,--,"15,000,000.00"
14-ene-2019,287.79,146.41,--,"15,000,000.00"
11-ene-2019,290.58,147.83,--,"15,000,000.00"
10-ene-2019,290.41,147.75,--,"15,000,000.00"
09-ene-2019,289.51,147.29,--,"15,000,000.00"
08-ene-2019,285.13,145.07,--,"15,000,000.00"
07-ene-2019,283.20,144.09,--,"15,050,000.00"
04-ene-2019,279.58,142.25,--,"15,050,000.00"
03-ene-2019,270.54,137.66,--,"15,050,000.00"
02-ene-2019,283.17,144.07,--,"15,050,000.00"
31-dic-2018,283.50,144.24,--,"15,150,000.00"
28-dic-2018,281.23,143.09,--,"15,150,000.00"
