As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019",560.46,109.52,--,"156,400,000.00"
"Mar 26, 2019",561.18,109.66,--,"156,100,000.00"
"Mar 25, 2019",559.66,109.36,--,"156,100,000.00"
"Mar 22, 2019",560.11,109.42,--,"156,300,000.00"
"Mar 21, 2019",561.29,109.65,--,"155,900,000.00"
"Mar 20, 2019",558.52,109.14,--,"156,200,000.00"
"Mar 19, 2019",558.32,109.10,--,"156,200,000.00"
"Mar 18, 2019",557.53,108.94,--,"158,100,000.00"
"Mar 15, 2019",556.43,108.70,--,"158,100,000.00"
"Mar 14, 2019",554.96,108.41,--,"158,300,000.00"
"Mar 13, 2019",553.95,108.25,--,"158,200,000.00"
"Mar 12, 2019",554.11,108.28,--,"158,100,000.00"
"Mar 11, 2019",552.44,107.96,--,"157,800,000.00"
"Mar 08, 2019",550.40,107.53,--,"158,400,000.00"
"Mar 07, 2019",551.10,107.66,--,"160,500,000.00"
"Mar 06, 2019",551.70,107.81,--,"160,300,000.00"
"Mar 05, 2019",550.55,107.59,--,"160,000,000.00"
"Mar 04, 2019",551.79,107.84,--,"160,000,000.00"
"Mar 01, 2019",552.41,107.93,0.44,"160,100,000.00"
"Feb 28, 2019",553.97,108.68,--,"160,200,000.00"
"Feb 27, 2019",553.99,108.68,--,"162,200,000.00"
"Feb 26, 2019",553.41,108.61,--,"162,200,000.00"
"Feb 25, 2019",552.79,108.48,--,"161,800,000.00"
"Feb 22, 2019",551.99,108.30,--,"161,800,000.00"
"Feb 21, 2019",550.53,108.01,--,"162,200,000.00"
"Feb 20, 2019",550.38,108.02,--,"162,200,000.00"
"Feb 19, 2019",549.99,107.94,--,"161,200,000.00"
"Feb 15, 2019",548.89,107.68,--,"161,200,000.00"
"Feb 14, 2019",549.88,107.87,--,"161,700,000.00"
"Feb 13, 2019",549.80,107.91,--,"161,600,000.00"
"Feb 12, 2019",548.18,107.59,--,"161,600,000.00"
"Feb 11, 2019",547.09,107.38,--,"161,600,000.00"
"Feb 08, 2019",548.51,107.63,--,"161,600,000.00"
"Feb 07, 2019",549.74,107.87,--,"161,500,000.00"
"Feb 06, 2019",551.24,108.20,--,"161,500,000.00"
"Feb 05, 2019",551.53,108.26,--,"158,900,000.00"
"Feb 04, 2019",548.67,107.70,--,"156,400,000.00"
"Feb 01, 2019",548.97,107.73,0.44,"153,400,000.00"
"Jan 31, 2019",548.48,108.08,--,"150,800,000.00"
"Jan 30, 2019",542.24,106.90,--,"149,800,000.00"
"Jan 29, 2019",542.01,106.86,--,"149,400,000.00"
"Jan 28, 2019",543.12,107.06,--,"151,400,000.00"
"Jan 25, 2019",544.53,107.31,--,"151,100,000.00"
"Jan 24, 2019",544.30,107.27,--,"150,800,000.00"
"Jan 23, 2019",542.16,106.88,--,"150,500,000.00"
"Jan 22, 2019",539.03,106.27,--,"150,000,000.00"
"Jan 18, 2019",538.75,106.17,--,"148,500,000.00"
"Jan 17, 2019",536.01,105.63,--,"146,700,000.00"
"Jan 16, 2019",535.85,105.66,--,"146,300,000.00"
"Jan 15, 2019",534.63,105.42,--,"145,900,000.00"
"Jan 14, 2019",533.32,105.16,--,"146,000,000.00"
"Jan 11, 2019",533.37,105.14,--,"146,600,000.00"
"Jan 10, 2019",533.05,105.07,--,"146,300,000.00"
"Jan 09, 2019",533.96,105.29,--,"144,700,000.00"
"Jan 08, 2019",531.46,104.80,--,"142,800,000.00"
"Jan 07, 2019",532.05,104.92,--,"141,100,000.00"
"Jan 04, 2019",529.01,104.29,--,"138,700,000.00"
"Jan 03, 2019",525.97,103.69,--,"138,200,000.00"
"Jan 02, 2019",523.77,103.29,--,"137,300,000.00"
"Dec 31, 2018",523.26,103.17,--,"136,900,000.00"
"Dec 28, 2018",523.54,103.22,--,"136,200,000.00"
"Dec 27, 2018",523.06,103.14,--,"135,900,000.00"
"Dec 26, 2018",522.82,103.09,--,"137,900,000.00"
"Dec 24, 2018",523.34,103.18,--,"137,900,000.00"
"Dec 21, 2018",523.12,103.11,--,"138,200,000.00"
"Dec 20, 2018",523.93,103.28,--,"140,800,000.00"
"Dec 19, 2018",524.10,103.35,--,"140,700,000.00"
"Dec 18, 2018",524.18,103.37,1.29,"140,400,000.00"
"Dec 17, 2018",524.46,104.72,--,"140,600,000.00"
"Dec 14, 2018",524.14,104.62,--,"141,300,000.00"
"Dec 13, 2018",524.12,104.62,--,"143,800,000.00"
"Dec 12, 2018",522.17,104.26,--,"144,100,000.00"
"Dec 11, 2018",520.45,103.92,--,"144,000,000.00"
"Dec 10, 2018",520.18,103.87,--,"144,200,000.00"
"Dec 07, 2018",520.77,103.95,--,"144,200,000.00"
"Dec 06, 2018",518.94,103.59,--,"144,500,000.00"
"Dec 04, 2018",519.28,103.68,--,"145,200,000.00"
"Dec 03, 2018",519.81,103.78,0.45,"145,200,000.00"
"Nov 30, 2018",516.03,103.47,--,"144,700,000.00"
"Nov 29, 2018",515.21,103.31,--,"144,200,000.00"
"Nov 28, 2018",511.95,102.68,--,"143,100,000.00"
"Nov 27, 2018",510.19,102.33,--,"143,800,000.00"
"Nov 26, 2018",511.83,102.66,--,"143,100,000.00"
"Nov 23, 2018",513.20,102.90,--,"142,700,000.00"
"Nov 21, 2018",513.76,103.01,--,"142,700,000.00"
"Nov 20, 2018",512.83,102.86,--,"142,600,000.00"
"Nov 19, 2018",516.64,103.64,--,"142,600,000.00"
"Nov 16, 2018",517.21,103.72,--,"141,900,000.00"
"Nov 15, 2018",516.93,103.67,--,"141,900,000.00"
"Nov 14, 2018",517.64,103.85,--,"141,900,000.00"
"Nov 13, 2018",518.12,103.94,--,"141,900,000.00"
"Nov 12, 2018",520.24,104.37,--,"141,900,000.00"
"Nov 09, 2018",520.24,104.32,--,"142,100,000.00"
"Nov 08, 2018",520.91,104.46,--,"142,200,000.00"
"Nov 07, 2018",522.01,104.74,--,"142,000,000.00"
"Nov 06, 2018",521.18,104.57,--,"142,000,000.00"
"Nov 05, 2018",521.28,104.59,--,"141,500,000.00"
"Nov 02, 2018",520.98,104.50,--,"141,900,000.00"
"Nov 01, 2018",520.26,104.36,0.46,"141,000,000.00"
"Oct 31, 2018",518.87,104.57,--,"140,800,000.00"
"Oct 30, 2018",519.51,104.72,--,"140,900,000.00"
"Oct 29, 2018",520.46,104.91,--,"140,900,000.00"
"Oct 26, 2018",521.62,105.10,--,"140,300,000.00"
"Oct 25, 2018",521.32,105.04,--,"139,900,000.00"
"Oct 24, 2018",521.38,105.09,--,"140,000,000.00"
"Oct 23, 2018",521.42,105.10,--,"139,700,000.00"
"Oct 22, 2018",522.04,105.22,--,"139,800,000.00"
"Oct 19, 2018",522.58,105.30,--,"140,200,000.00"
"Oct 18, 2018",523.85,105.56,--,"140,100,000.00"
"Oct 17, 2018",525.54,105.94,--,"140,200,000.00"
"Oct 16, 2018",524.97,105.82,--,"139,300,000.00"
"Oct 15, 2018",523.90,105.61,--,"139,000,000.00"
"Oct 12, 2018",523.55,105.51,--,"138,800,000.00"
"Oct 11, 2018",522.19,105.24,--,"138,100,000.00"
"Oct 10, 2018",522.54,105.34,--,"137,700,000.00"
"Oct 09, 2018",523.21,105.48,--,"136,900,000.00"
"Oct 08, 2018",524.02,105.64,--,"136,900,000.00"
"Oct 05, 2018",524.02,105.59,--,"136,900,000.00"
"Oct 04, 2018",525.65,105.92,--,"136,800,000.00"
"Oct 03, 2018",530.23,106.90,--,"136,500,000.00"
"Oct 02, 2018",530.57,106.97,--,"135,400,000.00"
"Oct 01, 2018",530.93,107.05,0.45,"134,900,000.00"
"Sep 28, 2018",531.81,107.65,--,"135,000,000.00"
"Sep 27, 2018",532.05,107.70,--,"134,900,000.00"
"Sep 26, 2018",529.30,107.17,--,"134,100,000.00"
"Sep 25, 2018",527.80,106.87,--,"134,000,000.00"
"Sep 24, 2018",527.78,106.87,--,"133,300,000.00"
"Sep 21, 2018",527.56,106.79,--,"133,400,000.00"
"Sep 20, 2018",526.01,106.48,--,"133,600,000.00"
"Sep 19, 2018",523.37,105.98,--,"132,500,000.00"
"Sep 18, 2018",522.81,105.87,--,"132,500,000.00"
"Sep 17, 2018",523.51,106.01,--,"131,700,000.00"
"Sep 14, 2018",524.66,106.21,--,"132,400,000.00"
"Sep 13, 2018",523.50,105.98,--,"131,300,000.00"
"Sep 12, 2018",519.95,105.30,--,"130,700,000.00"
"Sep 11, 2018",517.97,104.90,--,"130,500,000.00"
"Sep 10, 2018",519.18,105.15,--,"130,100,000.00"
"Sep 07, 2018",520.73,105.43,--,"129,900,000.00"
"Sep 06, 2018",521.19,105.53,--,"129,400,000.00"
"Sep 05, 2018",518.67,105.06,--,"128,200,000.00"
"Sep 04, 2018",518.41,105.01,0.44,"127,800,000.00"
"Aug 31, 2018",522.43,106.21,--,"127,900,000.00"
"Aug 30, 2018",523.84,106.52,--,"128,700,000.00"
"Aug 29, 2018",525.22,106.85,--,"128,400,000.00"
"Aug 28, 2018",526.57,107.11,--,"128,300,000.00"
"Aug 27, 2018",526.35,107.07,--,"127,900,000.00"
"Aug 24, 2018",526.01,106.97,--,"128,000,000.00"
"Aug 23, 2018",526.69,107.11,--,"128,100,000.00"
"Aug 22, 2018",526.76,107.16,--,"127,600,000.00"
"Aug 21, 2018",524.42,106.68,--,"126,700,000.00"
"Aug 20, 2018",523.56,106.51,--,"126,000,000.00"
"Aug 17, 2018",523.32,106.43,--,"125,600,000.00"
"Aug 16, 2018",522.91,106.35,--,"125,700,000.00"
"Aug 15, 2018",521.45,106.09,--,"125,300,000.00"
"Aug 14, 2018",521.79,106.16,--,"124,600,000.00"
"Aug 13, 2018",518.01,105.39,--,"124,000,000.00"
"Aug 10, 2018",523.28,106.44,--,"125,600,000.00"
"Aug 09, 2018",527.65,107.32,--,"124,600,000.00"
"Aug 08, 2018",528.83,107.59,--,"124,100,000.00"
"Aug 07, 2018",530.00,107.84,--,"123,900,000.00"
"Aug 06, 2018",530.77,107.99,--,"124,700,000.00"
"Aug 03, 2018",531.33,108.08,--,"124,800,000.00"
"Aug 02, 2018",530.07,107.82,--,"125,100,000.00"
"Aug 01, 2018",530.98,108.04,0.44,"125,400,000.00"
"Jul 31, 2018",533.23,108.95,--,"125,100,000.00"
"Jul 30, 2018",533.25,108.97,--,"124,700,000.00"
"Jul 27, 2018",534.24,109.15,--,"123,100,000.00"
"Jul 26, 2018",533.89,109.06,--,"122,700,000.00"
"Jul 25, 2018",531.41,108.58,--,"122,800,000.00"
"Jul 24, 2018",529.66,108.23,--,"123,200,000.00"
"Jul 23, 2018",529.61,108.22,--,"123,000,000.00"
"Jul 20, 2018",530.61,108.40,--,"123,200,000.00"
"Jul 19, 2018",530.42,108.36,--,"122,700,000.00"
"Jul 18, 2018",530.65,108.45,--,"121,500,000.00"
"Jul 17, 2018",530.07,108.33,--,"121,000,000.00"
"Jul 16, 2018",530.99,108.52,--,"120,300,000.00"
"Jul 13, 2018",531.91,108.68,--,"119,500,000.00"
"Jul 12, 2018",529.44,108.17,--,"119,700,000.00"
"Jul 11, 2018",528.61,108.04,--,"119,000,000.00"
"Jul 10, 2018",529.56,108.23,--,"118,800,000.00"
"Jul 09, 2018",529.52,108.23,--,"118,100,000.00"
"Jul 06, 2018",526.66,107.61,--,"117,500,000.00"
"Jul 05, 2018",523.68,107.00,--,"117,200,000.00"
"Jul 03, 2018",520.79,106.44,--,"117,000,000.00"
"Jul 02, 2018",518.30,105.92,0.45,"116,800,000.00"
"Jun 29, 2018",518.84,106.47,--,"116,500,000.00"
"Jun 28, 2018",518.53,106.41,--,"116,800,000.00"
"Jun 27, 2018",518.75,106.49,--,"117,100,000.00"
"Jun 26, 2018",518.86,106.52,--,"116,800,000.00"
"Jun 25, 2018",519.83,106.72,--,"117,000,000.00"
"Jun 22, 2018",521.24,106.98,--,"116,800,000.00"
"Jun 21, 2018",518.33,106.38,--,"116,000,000.00"
"Jun 20, 2018",516.88,106.12,--,"112,100,000.00"
"Jun 19, 2018",513.58,105.44,--,"111,100,000.00"
"Jun 18, 2018",516.23,105.99,--,"110,900,000.00"
"Jun 15, 2018",519.23,106.58,--,"110,600,000.00"
"Jun 14, 2018",520.01,106.75,--,"111,300,000.00"
"Jun 13, 2018",518.90,106.56,--,"112,800,000.00"
"Jun 12, 2018",519.97,106.78,--,"111,700,000.00"
"Jun 11, 2018",521.62,107.13,--,"110,900,000.00"
"Jun 08, 2018",522.92,107.37,--,"110,900,000.00"
"Jun 07, 2018",523.66,107.52,--,"111,900,000.00"
"Jun 06, 2018",523.90,107.60,--,"111,700,000.00"
"Jun 05, 2018",525.53,107.94,--,"111,900,000.00"
"Jun 04, 2018",525.41,107.92,--,"111,500,000.00"
"Jun 01, 2018",524.34,107.68,0.45,"111,100,000.00"
"May 31, 2018",526.13,108.50,--,"110,200,000.00"
"May 30, 2018",528.09,108.96,--,"109,900,000.00"
"May 29, 2018",528.95,109.15,--,"110,900,000.00"
"May 25, 2018",529.24,109.14,--,"110,500,000.00"
"May 24, 2018",527.92,108.86,--,"109,900,000.00"
"May 23, 2018",525.59,108.43,--,"109,400,000.00"
"May 22, 2018",523.47,107.99,--,"108,300,000.00"
"May 21, 2018",520.84,107.45,--,"107,500,000.00"
"May 18, 2018",521.56,107.57,--,"106,600,000.00"
"May 17, 2018",522.76,107.82,--,"106,300,000.00"
"May 16, 2018",524.47,108.21,--,"105,700,000.00"
"May 15, 2018",523.35,107.99,--,"104,900,000.00"
"May 14, 2018",526.92,108.76,--,"105,200,000.00"
"May 11, 2018",526.78,108.68,--,"103,700,000.00"
"May 10, 2018",524.82,108.29,--,"103,100,000.00"
"May 09, 2018",519.49,107.22,--,"102,900,000.00"
"May 08, 2018",520.97,107.55,--,"104,300,000.00"
"May 07, 2018",524.22,108.21,--,"104,100,000.00"
"May 04, 2018",524.60,108.23,--,"103,700,000.00"
"May 03, 2018",524.90,108.29,--,"103,500,000.00"
"May 02, 2018",526.59,108.68,--,"103,700,000.00"
"May 01, 2018",529.73,109.32,0.41,"103,500,000.00"
"Apr 30, 2018",531.57,110.14,--,"103,900,000.00"
"Apr 27, 2018",532.12,110.22,--,"103,700,000.00"
"Apr 26, 2018",532.28,110.25,--,"104,000,000.00"
"Apr 25, 2018",532.01,110.22,--,"105,000,000.00"
"Apr 24, 2018",534.62,110.76,--,"104,900,000.00"
"Apr 23, 2018",534.66,110.78,--,"104,900,000.00"
"Apr 20, 2018",536.69,111.15,--,"105,200,000.00"
"Apr 19, 2018",538.29,111.47,--,"106,700,000.00"
"Apr 18, 2018",540.22,111.92,--,"106,500,000.00"
"Apr 17, 2018",539.77,111.84,--,"106,200,000.00"
"Apr 16, 2018",540.15,111.92,--,"105,900,000.00"
"Apr 13, 2018",541.40,112.13,--,"105,800,000.00"
"Apr 12, 2018",541.24,112.10,--,"105,700,000.00"
"Apr 11, 2018",541.00,112.09,--,"105,700,000.00"
"Apr 10, 2018",540.82,112.07,--,"105,800,000.00"
"Apr 09, 2018",541.63,112.25,--,"106,200,000.00"
"Apr 06, 2018",543.05,112.50,--,"107,700,000.00"
"Apr 05, 2018",542.29,112.33,--,"107,700,000.00"
"Apr 04, 2018",541.06,112.11,--,"107,500,000.00"
"Apr 03, 2018",540.94,112.09,--,"107,300,000.00"
"Apr 02, 2018",540.38,111.99,0.37,"107,100,000.00"
"Mar 29, 2018",540.67,112.39,--,"106,900,000.00"
"Mar 28, 2018",538.81,111.98,--,"106,700,000.00"
"Mar 27, 2018",538.13,111.90,--,"106,100,000.00"
"Mar 26, 2018",535.89,111.40,--,"106,200,000.00"
"Mar 23, 2018",535.39,111.28,--,"106,000,000.00"
"Mar 22, 2018",536.83,111.58,--,"105,700,000.00"
"Mar 21, 2018",536.06,111.46,--,"105,500,000.00"
"Mar 20, 2018",535.92,111.42,--,"105,300,000.00"
"Mar 19, 2018",537.18,111.69,--,"105,800,000.00"
