As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019",248.24,71.49,--,"140,800,000.00"
"Mar 26, 2019",249.13,71.74,--,"140,800,000.00"
"Mar 25, 2019",247.42,71.26,--,"140,800,000.00"
"Mar 22, 2019",248.55,71.56,--,"140,800,000.00"
"Mar 21, 2019",252.28,72.66,--,"140,800,000.00"
"Mar 20, 2019",250.56,72.17,--,"140,800,000.00"
"Mar 19, 2019",251.50,72.44,--,"140,800,000.00"
"Mar 18, 2019",251.18,72.34,--,"140,800,000.00"
"Mar 15, 2019",249.88,71.96,--,"140,800,000.00"
"Mar 14, 2019",248.32,71.50,--,"140,800,000.00"
"Mar 13, 2019",248.27,71.47,--,"140,800,000.00"
"Mar 12, 2019",247.00,71.11,--,"140,800,000.00"
"Mar 11, 2019",245.79,70.77,--,"140,800,000.00"
"Mar 08, 2019",243.02,69.96,--,"140,800,000.00"
"Mar 07, 2019",244.46,70.37,--,"140,800,000.00"
"Mar 06, 2019",246.49,70.97,--,"140,800,000.00"
"Mar 05, 2019",247.38,71.23,--,"140,800,000.00"
"Mar 04, 2019",247.64,71.29,--,"140,800,000.00"
"Mar 01, 2019",248.17,71.46,--,"140,800,000.00"
"Feb 28, 2019",247.05,71.15,--,"140,800,000.00"
"Feb 27, 2019",247.92,71.39,--,"140,800,000.00"
"Feb 26, 2019",247.96,71.42,--,"140,800,000.00"
"Feb 25, 2019",248.03,71.44,--,"140,800,000.00"
"Feb 22, 2019",247.26,71.20,--,"140,800,000.00"
"Feb 21, 2019",246.03,70.84,--,"140,800,000.00"
"Feb 20, 2019",246.58,71.00,--,"140,800,000.00"
"Feb 19, 2019",245.42,70.66,--,"140,800,000.00"
"Feb 15, 2019",244.26,70.32,--,"140,800,000.00"
"Feb 14, 2019",242.50,69.82,--,"143,000,000.00"
"Feb 13, 2019",243.04,69.98,--,"144,000,000.00"
"Feb 12, 2019",242.22,69.76,--,"144,000,000.00"
"Feb 11, 2019",239.57,68.99,--,"149,800,000.00"
"Feb 08, 2019",239.47,68.96,--,"149,800,000.00"
"Feb 07, 2019",240.27,69.18,--,"149,800,000.00"
"Feb 06, 2019",242.54,69.83,--,"149,800,000.00"
"Feb 05, 2019",243.07,69.98,--,"149,800,000.00"
"Feb 04, 2019",241.54,69.54,--,"149,800,000.00"
"Feb 01, 2019",240.74,69.31,--,"149,800,000.00"
"Jan 31, 2019",240.61,69.30,--,"151,000,000.00"
"Jan 30, 2019",238.38,68.65,--,"151,000,000.00"
"Jan 29, 2019",235.94,67.94,--,"153,600,000.00"
"Jan 28, 2019",235.85,67.91,--,"154,600,000.00"
"Jan 25, 2019",237.29,68.33,--,"154,600,000.00"
"Jan 24, 2019",234.99,67.65,--,"154,600,000.00"
"Jan 23, 2019",234.44,67.49,--,"158,000,000.00"
"Jan 22, 2019",234.28,67.45,--,"159,800,000.00"
"Jan 18, 2019",236.76,68.17,--,"159,800,000.00"
"Jan 17, 2019",233.88,67.35,--,"159,800,000.00"
"Jan 16, 2019",232.93,67.06,--,"159,800,000.00"
