As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019","5,780.17",64.75,--,"981,000,000.00"
"Mar 26, 2019","5,783.16",64.78,--,"981,000,000.00"
"Mar 25, 2019","5,737.97",64.27,--,"981,000,000.00"
"Mar 22, 2019","5,787.88",64.83,--,"983,400,000.00"
"Mar 21, 2019","5,840.10",65.42,--,"983,400,000.00"
"Mar 20, 2019","5,827.98",65.28,--,"991,800,000.00"
"Mar 19, 2019","5,861.50",65.66,--,"991,800,000.00"
"Mar 18, 2019","5,837.85",65.39,--,"996,600,000.00"
"Mar 15, 2019","5,807.69",65.05,--,"1,008,600,000.00"
"Mar 14, 2019","5,759.60",64.51,--,"1,008,600,000.00"
"Mar 13, 2019","5,742.18",64.32,--,"1,008,600,000.00"
"Mar 12, 2019","5,718.59",64.06,--,"1,008,600,000.00"
"Mar 11, 2019","5,681.85",63.64,--,"1,008,600,000.00"
"Mar 08, 2019","5,649.26",63.28,--,"1,008,600,000.00"
"Mar 07, 2019","5,707.08",63.93,--,"1,008,600,000.00"
"Mar 06, 2019","5,753.59",64.44,--,"1,009,800,000.00"
"Mar 05, 2019","5,752.18",64.43,--,"1,009,800,000.00"
"Mar 04, 2019","5,763.49",64.55,--,"1,011,600,000.00"
"Mar 01, 2019","5,760.98",64.52,--,"1,011,600,000.00"
"Feb 28, 2019","5,745.99",64.35,--,"1,014,600,000.00"
"Feb 27, 2019","5,760.27",64.51,--,"1,017,000,000.00"
"Feb 26, 2019","5,760.75",64.52,--,"1,017,000,000.00"
"Feb 25, 2019","5,751.54",64.42,--,"1,017,000,000.00"
"Feb 22, 2019","5,727.90",64.15,--,"1,023,600,000.00"
"Feb 21, 2019","5,720.80",64.07,--,"1,026,600,000.00"
"Feb 20, 2019","5,727.28",64.15,--,"1,026,600,000.00"
"Feb 19, 2019","5,690.62",63.74,--,"1,026,600,000.00"
"Feb 15, 2019","5,635.14",63.12,--,"1,026,600,000.00"
"Feb 14, 2019","5,600.56",62.73,--,"1,026,600,000.00"
"Feb 13, 2019","5,612.33",62.86,--,"1,026,600,000.00"
"Feb 12, 2019","5,579.75",62.50,--,"1,029,600,000.00"
"Feb 11, 2019","5,527.36",61.91,--,"1,029,600,000.00"
"Feb 08, 2019","5,522.65",61.86,--,"1,029,600,000.00"
"Feb 07, 2019","5,577.08",62.47,--,"1,029,600,000.00"
"Feb 06, 2019","5,642.64",63.20,--,"1,029,600,000.00"
"Feb 05, 2019","5,651.79",63.31,--,"1,029,600,000.00"
"Feb 04, 2019","5,594.63",62.67,--,"1,035,600,000.00"
"Feb 01, 2019","5,599.96",62.73,--,"1,035,600,000.00"
