As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 27, 2019",482.94,42.38,--,"807,750,000.00"
"Mar 26, 2019",485.79,42.63,--,"807,750,000.00"
"Mar 25, 2019",484.53,42.51,--,"807,750,000.00"
"Mar 22, 2019",490.01,42.99,--,"807,750,000.00"
"Mar 21, 2019",494.65,43.41,--,"807,750,000.00"
"Mar 20, 2019",494.07,43.36,--,"807,750,000.00"
"Mar 19, 2019",495.20,43.46,--,"807,750,000.00"
"Mar 18, 2019",494.40,43.39,--,"807,750,000.00"
"Mar 15, 2019",488.86,42.91,--,"807,750,000.00"
"Mar 14, 2019",484.65,42.54,--,"807,750,000.00"
"Mar 13, 2019",485.65,42.62,--,"807,750,000.00"
"Mar 12, 2019",486.10,42.66,--,"807,750,000.00"
"Mar 11, 2019",481.30,42.25,--,"807,750,000.00"
"Mar 08, 2019",476.18,41.80,--,"807,750,000.00"
"Mar 07, 2019",482.38,42.34,--,"807,750,000.00"
"Mar 06, 2019",487.96,42.84,--,"807,750,000.00"
"Mar 05, 2019",487.57,42.81,--,"807,750,000.00"
"Mar 04, 2019",486.84,42.75,--,"807,750,000.00"
"Mar 01, 2019",485.88,42.67,--,"807,750,000.00"
"Feb 28, 2019",485.58,42.64,--,"807,750,000.00"
"Feb 27, 2019",490.32,43.06,--,"807,750,000.00"
"Feb 26, 2019",492.00,43.21,--,"807,750,000.00"
"Feb 25, 2019",493.21,43.32,--,"807,750,000.00"
"Feb 22, 2019",489.04,42.95,--,"807,750,000.00"
"Feb 21, 2019",485.21,42.62,--,"807,750,000.00"
"Feb 20, 2019",484.41,42.55,--,"807,750,000.00"
"Feb 19, 2019",478.70,42.05,--,"802,800,000.00"
"Feb 15, 2019",475.78,41.80,--,"802,800,000.00"
"Feb 14, 2019",479.71,42.14,--,"802,800,000.00"
"Feb 13, 2019",480.92,42.25,--,"802,800,000.00"
"Feb 12, 2019",481.05,42.26,--,"802,800,000.00"
"Feb 11, 2019",477.92,41.99,--,"802,800,000.00"
"Feb 08, 2019",478.13,42.01,--,"802,800,000.00"
"Feb 07, 2019",480.87,42.25,--,"802,800,000.00"
"Feb 06, 2019",483.85,42.52,--,"802,800,000.00"
"Feb 05, 2019",485.42,42.66,--,"793,800,000.00"
"Feb 04, 2019",483.64,42.50,--,"793,800,000.00"
"Feb 01, 2019",484.64,42.59,--,"793,800,000.00"
"Jan 31, 2019",484.49,42.58,--,"784,800,000.00"
"Jan 30, 2019",478.36,42.04,--,"770,850,000.00"
"Jan 29, 2019",475.18,41.76,--,"770,400,000.00"
"Jan 28, 2019",474.40,41.68,--,"769,950,000.00"
"Jan 25, 2019",476.37,41.86,--,"766,800,000.00"
"Jan 24, 2019",470.40,41.34,--,"763,650,000.00"
"Jan 23, 2019",466.74,41.02,--,"763,650,000.00"
"Jan 22, 2019",466.31,40.99,--,"762,300,000.00"
"Jan 18, 2019",469.70,41.29,--,"760,500,000.00"
"Jan 17, 2019",465.54,40.92,--,"760,500,000.00"
"Jan 16, 2019",465.72,40.94,--,"760,500,000.00"
"Jan 15, 2019",463.74,40.77,--,"760,500,000.00"
"Jan 14, 2019",458.02,40.27,--,"760,500,000.00"
"Jan 11, 2019",461.90,40.61,--,"760,500,000.00"
"Jan 10, 2019",460.77,40.51,--,"756,900,000.00"
"Jan 09, 2019",458.80,40.34,--,"755,100,000.00"
"Jan 08, 2019",450.07,39.57,--,"753,300,000.00"
"Jan 07, 2019",451.14,39.66,--,"753,300,000.00"
