As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
27-Mar-19,"6,158.91",55.31,--,244350000.00
26-Mar-19,"6,124.63",54.98,--,245250000.00
25-Mar-19,"6,002.07",53.88,--,243900000.00
22-Mar-19,"6,171.30",55.41,--,255450000.00
21-Mar-19,"6,104.27",54.81,--,255450000.00
20-Mar-19,"6,072.77",54.52,--,260100000.00
19-Mar-19,"6,062.13",54.43,--,262200000.00
18-Mar-19,"6,067.39",54.48,--,265500000.00
15-Mar-19,"6,021.92",54.07,--,268200000.00
14-Mar-19,"5,961.89",53.53,--,268200000.00
13-Mar-19,"5,998.60",53.86,--,268200000.00
12-Mar-19,"6,039.44",54.23,--,274050000.00
11-Mar-19,"5,958.37",53.5,--,273900000.00
8-Mar-19,"5,927.03",53.22,--,273900000.00
7-Mar-19,"6,007.00",53.95,--,279600000.00
6-Mar-19,"6,049.37",54.33,--,280500000.00
5-Mar-19,"6,057.22",54.4,--,281550000.00
4-Mar-19,"6,087.98",54.68,--,285000000.00
1-Mar-19,"6,041.21",54.26,--,286200000.00
28-Feb-19,"6,042.51",54.27,--,285750000.00
27-Feb-19,"6,119.48",54.96,--,288000000.00
26-Feb-19,"6,116.23",54.93,--,289500000.00
25-Feb-19,"6,122.49",54.99,--,289500000.00
22-Feb-19,"6,087.26",54.67,--,291900000.00
21-Feb-19,"6,104.98",54.83,--,292650000.00
20-Feb-19,"6,098.26",54.77,--,294450000.00
19-Feb-19,"6,080.57",54.62,--,294450000.00
15-Feb-19,"5,973.72",53.66,--,292950000.00
14-Feb-19,"6,012.81",54.01,--,292950000.00
13-Feb-19,"6,002.35",53.92,--,292950000.00
12-Feb-19,"5,954.98",53.49,--,293850000.00
11-Feb-19,"5,839.79",52.46,--,293850000.00
8-Feb-19,"5,875.45",52.78,--,293850000.00
7-Feb-19,"5,987.41",53.78,--,293850000.00
6-Feb-19,"6,030.58",54.17,--,293850000.00
5-Feb-19,"6,026.71",54.13,--,293850000.00
4-Feb-19,"6,016.59",54.04,--,290850000.00
1-Feb-19,"6,003.38",53.93,--,290850000.00
31-Jan-19,"6,044.49",54.3,--,294150000.00
30-Jan-19,"5,941.80",53.38,--,291750000.00
29-Jan-19,"5,974.19",53.67,--,291750000.00
28-Jan-19,"5,975.11",53.68,--,291750000.00
25-Jan-19,"5,990.57",53.82,--,291750000.00
24-Jan-19,"5,939.61",53.36,--,291750000.00
23-Jan-19,"5,920.36",53.19,--,291750000.00
22-Jan-19,"5,964.06",53.58,--,294750000.00
18-Jan-19,"5,953.84",53.49,--,294750000.00
17-Jan-19,"5,935.66",53.33,--,294750000.00
16-Jan-19,"5,929.24",53.27,--,294750000.00
15-Jan-19,"5,964.74",53.59,--,294750000.00
14-Jan-19,"5,928.43",53.27,--,295650000.00
11-Jan-19,"5,923.51",53.22,--,295650000.00
10-Jan-19,"5,891.43",52.93,--,295650000.00
9-Jan-19,"5,944.17",53.41,--,297750000.00
8-Jan-19,"5,849.98",52.57,--,295050000.00
7-Jan-19,"5,835.51",52.44,--,296850000.00
4-Jan-19,"5,688.52",51.12,--,285000000.00
3-Jan-19,"5,810.86",52.23,--,297900000.00
2-Jan-19,"5,718.88",51.4,--,297900000.00
31-Dec-18,"5,696.99",51.2,--,297900000.00
28-Dec-18,"5,660.61",50.88,--,297900000.00
27-Dec-18,"5,673.21",50.99,--,299700000.00
26-Dec-18,"5,445.73",48.95,--,293100000.00
24-Dec-18,"5,647.08",50.76,--,295350000.00
21-Dec-18,"5,615.33",50.48,--,294000000.00
20-Dec-18,"5,689.70",51.15,--,294000000.00
19-Dec-18,"5,795.16",52.1,--,295200000.00
18-Dec-18,"5,805.75",52.2,0.41,293100000.00
17-Dec-18,"5,895.26",53.41,--,295500000.00
14-Dec-18,"5,856.91",53.07,--,295500000.00
13-Dec-18,"5,934.46",53.77,--,295500000.00
12-Dec-18,"5,923.88",53.68,--,295500000.00
11-Dec-18,"5,800.98",52.56,--,295500000.00
10-Dec-18,"5,866.79",53.16,--,295500000.00
7-Dec-18,"5,990.06",54.28,--,298650000.00
6-Dec-18,"5,967.39",54.08,--,300600000.00
4-Dec-18,"6,072.86",55.04,--,303600000.00
3-Dec-18,"6,183.74",56.04,--,303600000.00
30-Nov-18,"6,104.82",55.33,--,303600000.00
29-Nov-18,"6,095.40",55.25,--,304800000.00
28-Nov-18,"6,039.31",54.74,--,306000000.00
27-Nov-18,"6,017.51",54.54,--,300300000.00
26-Nov-18,"5,982.87",54.23,--,300300000.00
23-Nov-18,"6,015.05",54.53,--,300300000.00
21-Nov-18,"5,962.03",54.05,--,300300000.00
20-Nov-18,"6,015.38",54.53,--,302550000.00
19-Nov-18,"6,064.85",54.98,--,303900000.00
16-Nov-18,"6,018.89",54.56,--,305850000.00
15-Nov-18,"6,031.58",54.67,--,305850000.00
14-Nov-18,"6,009.53",54.48,--,305850000.00
13-Nov-18,"5,990.04",54.3,--,305850000.00
12-Nov-18,"6,117.54",55.45,--,306600000.00
9-Nov-18,"6,117.62",55.46,--,307500000.00
8-Nov-18,"6,152.72",55.77,--,307500000.00
7-Nov-18,"6,069.54",55.02,--,307350000.00
6-Nov-18,"6,100.27",55.3,--,307350000.00
5-Nov-18,"6,033.33",54.69,--,307350000.00
2-Nov-18,"6,111.48",55.4,--,307350000.00
1-Nov-18,"6,026.15",54.63,--,307350000.00
31-Oct-18,"6,080.78",55.12,--,307350000.00
30-Oct-18,"5,959.29",54.03,--,307350000.00
29-Oct-18,"5,897.71",53.47,--,307350000.00
26-Oct-18,"5,972.16",54.15,--,307350000.00
25-Oct-18,"5,921.47",53.69,--,305850000.00
24-Oct-18,"6,102.76",55.33,--,306600000.00
23-Oct-18,"6,127.68",55.55,--,306600000.00
22-Oct-18,"6,247.88",56.65,--,305550000.00
19-Oct-18,"6,261.03",56.77,--,305550000.00
18-Oct-18,"6,304.48",57.16,--,305550000.00
17-Oct-18,"6,361.44",57.68,--,305550000.00
16-Oct-18,"6,264.20",56.8,--,303750000.00
15-Oct-18,"6,231.47",56.5,--,300150000.00
12-Oct-18,"6,311.71",57.23,--,294150000.00
11-Oct-18,"6,303.51",57.16,--,294150000.00
10-Oct-18,"6,508.50",59.02,--,290100000.00
9-Oct-18,"6,476.86",58.73,--,286950000.00
8-Oct-18,"6,588.55",59.74,--,286950000.00
5-Oct-18,"6,552.06",59.41,--,286950000.00
4-Oct-18,"6,581.63",59.68,--,284550000.00
3-Oct-18,"6,567.98",59.56,--,283500000.00
2-Oct-18,"6,671.22",60.49,--,280500000.00
1-Oct-18,"6,626.52",60.09,--,277800000.00
28-Sep-18,"6,642.41",60.23,--,277800000.00
27-Sep-18,"6,591.96",59.78,--,277800000.00
26-Sep-18,"6,678.51",60.57,--,278550000.00
