As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 03, 2019","1,508.12",120.19,--,"8,050,000.00"
"Apr 02, 2019","1,501.82",119.69,--,"8,050,000.00"
"Apr 01, 2019","1,502.47",119.74,--,"7,950,000.00"
"Mar 29, 2019","1,484.46",118.31,--,"7,950,000.00"
"Mar 28, 2019","1,474.85",117.54,--,"7,950,000.00"
"Mar 27, 2019","1,467.00",116.92,--,"7,950,000.00"
"Mar 26, 2019","1,474.58",117.52,--,"7,850,000.00"
"Mar 25, 2019","1,463.26",116.63,--,"7,900,000.00"
"Mar 22, 2019","1,464.39",116.72,--,"7,900,000.00"
"Mar 21, 2019","1,493.86",119.06,--,"7,900,000.00"
"Mar 20, 2019","1,475.54",117.60,0.41,"7,850,000.00"
"Mar 19, 2019","1,480.26",118.39,--,"7,850,000.00"
"Mar 18, 2019","1,482.06",118.53,--,"7,850,000.00"
"Mar 15, 2019","1,476.00",118.05,--,"7,850,000.00"
"Mar 14, 2019","1,468.26",117.43,--,"7,850,000.00"
"Mar 13, 2019","1,466.16",117.27,--,"7,800,000.00"
"Mar 12, 2019","1,456.13",116.47,--,"7,800,000.00"
"Mar 11, 2019","1,451.56",116.10,--,"7,800,000.00"
"Mar 08, 2019","1,428.99",114.30,--,"7,800,000.00"
"Mar 07, 2019","1,430.87",114.45,--,"7,800,000.00"
"Mar 06, 2019","1,441.47",115.30,--,"7,800,000.00"
"Mar 05, 2019","1,451.43",116.10,--,"7,800,000.00"
"Mar 04, 2019","1,454.77",116.36,--,"7,800,000.00"
"Mar 01, 2019","1,461.24",116.88,--,"7,800,000.00"
"Feb 28, 2019","1,451.71",116.12,--,"8,050,000.00"
"Feb 27, 2019","1,455.36",116.41,--,"8,050,000.00"
"Feb 26, 2019","1,451.62",116.12,--,"7,800,000.00"
"Feb 25, 2019","1,453.02",116.23,--,"7,700,000.00"
"Feb 22, 2019","1,450.75",116.05,--,"7,700,000.00"
"Feb 21, 2019","1,442.01",115.35,--,"7,700,000.00"
"Feb 20, 2019","1,444.56",115.56,--,"7,700,000.00"
"Feb 19, 2019","1,441.33",115.30,--,"7,700,000.00"
"Feb 15, 2019","1,437.70",115.01,--,"7,700,000.00"
"Feb 14, 2019","1,424.44",113.96,--,"7,700,000.00"
"Feb 13, 2019","1,428.15",114.25,--,"7,700,000.00"
"Feb 12, 2019","1,423.04",113.84,--,"7,700,000.00"
"Feb 11, 2019","1,404.08",112.33,--,"7,700,000.00"
"Feb 08, 2019","1,401.27",112.11,--,"7,700,000.00"
"Feb 07, 2019","1,399.72",111.99,--,"7,700,000.00"
"Feb 06, 2019","1,411.41",112.92,--,"7,700,000.00"
"Feb 05, 2019","1,412.71",113.02,--,"7,700,000.00"
"Feb 04, 2019","1,406.30",112.51,--,"7,700,000.00"
"Feb 01, 2019","1,393.65",111.50,--,"7,700,000.00"
"Jan 31, 2019","1,391.06",111.30,--,"7,700,000.00"
"Jan 30, 2019","1,379.12",110.35,--,"7,700,000.00"
"Jan 29, 2019","1,359.67",108.79,--,"7,700,000.00"
"Jan 28, 2019","1,360.54",108.86,--,"7,700,000.00"
"Jan 25, 2019","1,371.71",109.76,--,"7,700,000.00"
"Jan 24, 2019","1,357.22",108.60,--,"7,700,000.00"
"Jan 23, 2019","1,356.25",108.52,--,"7,650,000.00"
"Jan 22, 2019","1,353.10",108.27,--,"7,650,000.00"
"Jan 18, 2019","1,372.33",109.81,--,"7,650,000.00"
"Jan 17, 2019","1,353.21",108.28,--,"7,600,000.00"
"Jan 16, 2019","1,341.15",107.32,--,"7,600,000.00"
"Jan 15, 2019","1,339.06",107.16,--,"7,600,000.00"
"Jan 14, 2019","1,325.92",106.11,--,"7,650,000.00"
"Jan 11, 2019","1,333.68",106.73,--,"7,650,000.00"
"Jan 10, 2019","1,334.11",106.76,--,"7,650,000.00"
"Jan 09, 2019","1,326.41",106.15,--,"7,650,000.00"
"Jan 08, 2019","1,320.40",105.67,--,"7,650,000.00"
"Jan 07, 2019","1,306.09",104.53,--,"7,650,000.00"
"Jan 04, 2019","1,295.40",103.68,--,"7,600,000.00"
"Jan 03, 2019","1,250.34",100.08,--,"7,600,000.00"
"Jan 02, 2019","1,283.61",102.74,--,"7,600,000.00"
"Dec 31, 2018","1,288.95",103.16,--,"7,600,000.00"
"Dec 28, 2018","1,276.32",102.16,--,"7,550,000.00"
"Dec 27, 2018","1,278.92",102.37,--,"7,500,000.00"
"Dec 26, 2018","1,267.10",101.42,--,"7,400,000.00"
"Dec 24, 2018","1,208.86",96.77,--,"7,350,000.00"
"Dec 21, 2018","1,245.66",99.71,--,"7,600,000.00"
"Dec 20, 2018","1,269.79",101.64,--,"7,600,000.00"
"Dec 19, 2018","1,289.60",103.22,--,"7,600,000.00"
"Dec 18, 2018","1,309.65",104.83,--,"7,600,000.00"
"Dec 17, 2018","1,309.03",104.78,0.51,"7,600,000.00"
"Dec 14, 2018","1,340.17",107.78,--,"7,550,000.00"
"Dec 13, 2018","1,363.33",109.64,--,"7,550,000.00"
"Dec 12, 2018","1,363.94",109.69,--,"7,550,000.00"
"Dec 11, 2018","1,357.36",109.17,--,"7,550,000.00"
"Dec 10, 2018","1,356.63",109.11,--,"7,550,000.00"
"Dec 07, 2018","1,353.72",108.88,--,"7,450,000.00"
"Dec 06, 2018","1,387.66",111.60,--,"7,400,000.00"
"Dec 04, 2018","1,391.28",111.89,--,"7,400,000.00"
"Dec 03, 2018","1,435.59",115.45,--,"7,400,000.00"
"Nov 30, 2018","1,419.87",114.19,--,"7,550,000.00"
"Nov 29, 2018","1,404.72",112.98,--,"7,550,000.00"
"Nov 28, 2018","1,409.37",113.35,--,"7,350,000.00"
"Nov 27, 2018","1,383.69",111.26,--,"7,300,000.00"
"Nov 26, 2018","1,381.08",111.08,--,"7,300,000.00"
"Nov 23, 2018","1,360.17",109.41,--,"7,300,000.00"
"Nov 21, 2018","1,363.24",109.66,--,"7,250,000.00"
"Nov 20, 2018","1,359.30",109.34,--,"7,250,000.00"
"Nov 19, 2018","1,380.99",111.08,--,"7,250,000.00"
"Nov 16, 2018","1,404.62",112.98,--,"7,200,000.00"
"Nov 15, 2018","1,400.72",112.67,--,"7,200,000.00"
"Nov 14, 2018","1,382.38",111.20,--,"7,200,000.00"
"Nov 13, 2018","1,391.86",111.96,--,"7,200,000.00"
"Nov 12, 2018","1,391.07",111.90,--,"7,150,000.00"
"Nov 09, 2018","1,416.99",113.98,--,"7,150,000.00"
"Nov 08, 2018","1,431.39",115.14,--,"7,100,000.00"
"Nov 07, 2018","1,432.20",115.20,--,"7,100,000.00"
"Nov 06, 2018","1,401.64",112.75,--,"6,900,000.00"
"Nov 05, 2018","1,393.85",112.13,--,"6,800,000.00"
"Nov 02, 2018","1,385.15",111.43,--,"6,800,000.00"
"Nov 01, 2018","1,394.59",112.19,--,"6,800,000.00"
"Oct 31, 2018","1,377.33",110.80,--,"6,800,000.00"
"Oct 30, 2018","1,368.31",110.08,--,"6,750,000.00"
"Oct 29, 2018","1,344.41",108.16,--,"6,750,000.00"
"Oct 26, 2018","1,350.03",108.62,--,"6,750,000.00"
"Oct 25, 2018","1,368.17",110.07,--,"6,750,000.00"
"Oct 24, 2018","1,341.91",107.97,--,"6,750,000.00"
"Oct 23, 2018","1,380.32",111.05,--,"6,750,000.00"
"Oct 22, 2018","1,389.84",111.82,--,"6,750,000.00"
"Oct 19, 2018","1,392.67",112.05,--,"6,750,000.00"
"Oct 18, 2018","1,394.25",112.17,--,"6,750,000.00"
"Oct 17, 2018","1,416.62",113.97,--,"6,700,000.00"
"Oct 16, 2018","1,422.07",114.41,--,"6,700,000.00"
"Oct 15, 2018","1,394.86",112.22,--,"6,700,000.00"
"Oct 12, 2018","1,401.06",112.72,--,"6,700,000.00"
"Oct 11, 2018","1,382.13",111.21,--,"6,600,000.00"
"Oct 10, 2018","1,410.04",113.45,--,"6,600,000.00"
"Oct 09, 2018","1,460.98",117.53,--,"6,600,000.00"
"Oct 08, 2018","1,466.63",117.99,--,"6,600,000.00"
"Oct 05, 2018","1,469.99",118.26,--,"6,600,000.00"
"Oct 04, 2018","1,477.58",118.87,--,"6,600,000.00"
"Oct 03, 2018","1,491.76",120.01,--,"6,600,000.00"
"Oct 02, 2018","1,490.83",119.94,--,"6,600,000.00"
"Oct 01, 2018","1,492.79",120.09,--,"6,600,000.00"
"Sep 28, 2018","1,485.83",119.54,--,"6,600,000.00"
"Sep 27, 2018","1,485.04",119.48,--,"6,600,000.00"
"Sep 26, 2018","1,483.39",119.34,0.47,"6,600,000.00"
"Sep 25, 2018","1,486.05",120.02,--,"6,600,000.00"
"Sep 24, 2018","1,488.57",120.23,--,"6,600,000.00"
"Sep 21, 2018","1,497.35",120.94,--,"6,600,000.00"
"Sep 20, 2018","1,496.83",120.90,--,"6,600,000.00"
"Sep 19, 2018","1,480.83",119.61,--,"6,600,000.00"
"Sep 18, 2018","1,477.50",119.34,--,"6,600,000.00"
"Sep 17, 2018","1,474.10",119.07,--,"6,600,000.00"
"Sep 14, 2018","1,482.04",119.71,--,"6,600,000.00"
"Sep 13, 2018","1,479.26",119.49,--,"6,600,000.00"
"Sep 12, 2018","1,468.79",118.64,--,"6,600,000.00"
"Sep 11, 2018","1,468.07",118.59,--,"6,600,000.00"
"Sep 10, 2018","1,465.21",118.36,--,"6,600,000.00"
"Sep 07, 2018","1,458.66",117.83,--,"6,600,000.00"
"Sep 06, 2018","1,463.47",118.22,--,"6,550,000.00"
"Sep 05, 2018","1,465.68",118.40,--,"6,550,000.00"
"Sep 04, 2018","1,467.51",118.55,--,"6,550,000.00"
"Aug 31, 2018","1,473.65",119.04,--,"6,650,000.00"
"Aug 30, 2018","1,470.69",118.81,--,"6,650,000.00"
"Aug 29, 2018","1,480.24",119.58,--,"6,550,000.00"
"Aug 28, 2018","1,473.84",119.06,--,"6,550,000.00"
"Aug 27, 2018","1,473.59",119.04,--,"6,500,000.00"
"Aug 24, 2018","1,464.01",118.27,--,"6,500,000.00"
"Aug 23, 2018","1,453.86",117.46,--,"6,500,000.00"
"Aug 22, 2018","1,456.87",117.70,--,"6,500,000.00"
"Aug 21, 2018","1,458.85",117.86,--,"6,500,000.00"
"Aug 20, 2018","1,457.37",117.74,--,"6,500,000.00"
"Aug 17, 2018","1,452.50",117.35,--,"6,500,000.00"
"Aug 16, 2018","1,445.80",116.81,--,"6,500,000.00"
"Aug 15, 2018","1,433.88",115.85,--,"6,500,000.00"
"Aug 14, 2018","1,444.64",116.72,--,"6,450,000.00"
"Aug 13, 2018","1,437.11",116.11,--,"6,450,000.00"
"Aug 10, 2018","1,444.21",116.69,--,"6,450,000.00"
"Aug 09, 2018","1,456.05",117.64,--,"6,450,000.00"
"Aug 08, 2018","1,459.53",117.92,--,"6,450,000.00"
"Aug 07, 2018","1,464.36",118.32,--,"6,450,000.00"
"Aug 06, 2018","1,459.53",117.93,--,"6,450,000.00"
"Aug 03, 2018","1,455.16",117.58,--,"6,450,000.00"
"Aug 02, 2018","1,447.44",116.95,--,"6,450,000.00"
"Aug 01, 2018","1,435.82",116.02,--,"6,450,000.00"
"Jul 31, 2018","1,438.97",116.27,--,"6,450,000.00"
"Jul 30, 2018","1,426.54",115.27,--,"6,450,000.00"
"Jul 27, 2018","1,436.50",116.07,--,"6,400,000.00"
"Jul 26, 2018","1,449.65",117.14,--,"6,400,000.00"
"Jul 25, 2018","1,446.89",116.92,--,"6,400,000.00"
"Jul 24, 2018","1,431.58",115.68,--,"6,400,000.00"
"Jul 23, 2018","1,428.56",115.44,--,"6,400,000.00"
"Jul 20, 2018","1,427.08",115.32,--,"6,400,000.00"
"Jul 19, 2018","1,431.16",115.65,--,"6,400,000.00"
"Jul 18, 2018","1,433.29",115.82,--,"6,400,000.00"
"Jul 17, 2018","1,433.01",115.80,--,"6,350,000.00"
"Jul 16, 2018","1,426.55",115.28,--,"6,350,000.00"
"Jul 13, 2018","1,432.15",115.73,--,"6,350,000.00"
"Jul 12, 2018","1,428.81",115.47,--,"6,350,000.00"
"Jul 11, 2018","1,415.34",114.38,--,"6,350,000.00"
"Jul 10, 2018","1,428.21",115.42,--,"6,350,000.00"
"Jul 09, 2018","1,422.70",114.97,--,"6,350,000.00"
"Jul 06, 2018","1,411.88",114.10,--,"6,350,000.00"
"Jul 05, 2018","1,401.46",113.26,--,"6,350,000.00"
"Jul 03, 2018","1,388.33",112.21,--,"6,350,000.00"
"Jul 02, 2018","1,395.80",112.81,--,"6,350,000.00"
"Jun 29, 2018","1,393.98",112.67,--,"6,350,000.00"
"Jun 28, 2018","1,388.37",112.21,--,"6,350,000.00"
"Jun 27, 2018","1,379.50",111.50,--,"6,350,000.00"
"Jun 26, 2018","1,391.85",112.50,0.51,"6,350,000.00"
"Jun 25, 2018","1,389.91",112.84,--,"6,250,000.00"
"Jun 22, 2018","1,404.81",114.05,--,"6,250,000.00"
"Jun 21, 2018","1,403.95",113.99,--,"6,250,000.00"
"Jun 20, 2018","1,413.20",114.74,--,"6,250,000.00"
"Jun 19, 2018","1,413.65",114.77,--,"6,250,000.00"
"Jun 18, 2018","1,421.88",115.45,--,"6,250,000.00"
"Jun 15, 2018","1,424.03",115.63,--,"6,250,000.00"
"Jun 14, 2018","1,423.86",115.60,--,"6,250,000.00"
"Jun 13, 2018","1,421.76",115.43,--,"6,250,000.00"
"Jun 12, 2018","1,428.02",115.94,--,"6,250,000.00"
"Jun 11, 2018","1,424.39",115.65,--,"6,250,000.00"
"Jun 08, 2018","1,420.17",115.31,--,"6,250,000.00"
"Jun 07, 2018","1,415.02",114.89,--,"6,250,000.00"
"Jun 06, 2018","1,417.64",115.11,--,"6,250,000.00"
"Jun 05, 2018","1,403.91",113.99,--,"6,250,000.00"
"Jun 04, 2018","1,402.89",113.91,--,"6,250,000.00"
"Jun 01, 2018","1,396.35",113.38,--,"6,250,000.00"
"May 31, 2018","1,379.36",112.01,--,"6,300,000.00"
"May 30, 2018","1,390.93",112.94,--,"6,300,000.00"
"May 29, 2018","1,373.24",111.51,--,"6,200,000.00"
"May 25, 2018","1,388.75",112.77,--,"6,250,000.00"
"May 24, 2018","1,392.30",113.06,--,"6,200,000.00"
"May 23, 2018","1,394.95",113.27,--,"6,200,000.00"
"May 22, 2018","1,387.83",112.70,--,"6,200,000.00"
"May 21, 2018","1,393.44",113.15,--,"6,200,000.00"
"May 18, 2018","1,383.70",112.37,--,"6,200,000.00"
"May 17, 2018","1,388.21",112.73,--,"6,200,000.00"
"May 16, 2018","1,388.79",112.78,--,"6,200,000.00"
"May 15, 2018","1,383.87",112.38,--,"6,200,000.00"
"May 14, 2018","1,396.47",113.40,--,"6,200,000.00"
"May 11, 2018","1,397.65",113.50,--,"6,150,000.00"
"May 10, 2018","1,397.50",113.49,--,"6,150,000.00"
"May 09, 2018","1,385.59",112.52,--,"6,150,000.00"
"May 08, 2018","1,372.96",111.50,--,"6,150,000.00"
"May 07, 2018","1,375.57",111.71,--,"6,150,000.00"
